-17.374065,-66.158862, Calle San Martín #100, Tupuraya, D12
-17.374012,-66.140710, Calle Canelas #1144, Tupuraya, D12
-17.370522,-66.153466, Calle San Martín #1145, Queru Queru Bajo, D12
-17.372496,-66.150077, Calle Bustillos #1146, Cala Cala Este, D12
-17.381500,-66.165969, Calle Falsuri #1147, Tupuraya, D12
-17.379354,-66.171715, Av. Blanco Galindo #1148, Queru Queru Bajo, D12
-17.369193,-66.165000, Calle Canelas #1149, Cala Cala Este, D12
-17.374961,-66.167146, Calle San Martín #1150, Tupuraya, D12
-17.380791,-66.171016, Calle Bustillos #1151, Queru Queru Bajo, D12
-17.386103,-66.176128, Calle Falsuri #1152, Cala Cala Este, D12
-17.392261,-66.168688, Av. Blanco Galindo #1153, Tupuraya, D12
-17.387907,-66.167045, Calle Canelas #1154, Queru Queru Bajo, D12
-17.383675,-66.171433, Calle San Martín #1155, Cala Cala Este, D12
-17.380301,-66.165315, Calle Bustillos #1156, Tupuraya, D12
-17.381407,-66.174383, Calle Falsuri #1157, Queru Queru Bajo, D12
-17.372030,-66.159111, Av. Blanco Galindo #1158, Cala Cala Este, D12
-17.376573,-66.155464, Calle Canelas #1159, Tupuraya, D12
-17.373082,-66.160292, Calle San Martín #1160, Queru Queru Bajo, D12
-17.378463,-66.162066, Calle Bustillos #1161, Cala Cala Este, D12
-17.375023,-66.140663, Calle Falsuri #1162, Tupuraya, D12
-17.369974,-66.166805, Av. Blanco Galindo #1163, Queru Queru Bajo, D12
-17.370634,-66.168501, Calle Canelas #1164, Cala Cala Este, D12
-17.382851,-66.166823, Calle San Martín #1165, Tupuraya, D12
-17.376239,-66.166287, Calle Bustillos #1166, Queru Queru Bajo, D12
-17.387546,-66.167471, Calle Falsuri #1167, Cala Cala Este, D12
-17.375471,-66.167565, Av. Blanco Galindo #1168, Tupuraya, D12
-17.367013,-66.163506, Calle Canelas #1169, Queru Queru Bajo, D12
-17.369801,-66.149467, Calle San Martín #1170, Cala Cala Este, D12
-17.377216,-66.167755, Calle Bustillos #1171, Tupuraya, D12
-17.377565,-66.158349, Calle Falsuri #1172, Queru Queru Bajo, D12
-17.371551,-66.157336, Av. Blanco Galindo #1173, Cala Cala Este, D12
-17.372000,-66.142189, Calle Canelas #1174, Tupuraya, D12
-17.374527,-66.156697, Calle San Martín #1175, Queru Queru Bajo, D12
-17.367574,-66.163106, Calle Bustillos #1176, Cala Cala Este, D12
-17.391179,-66.173588, Calle Falsuri #1177, Tupuraya, D12
-17.388535,-66.172868, Av. Blanco Galindo #1178, Queru Queru Bajo, D12
-17.374467,-66.161207, Calle Canelas #1179, Cala Cala Este, D12
-17.368913,-66.171003, Calle San Martín #1180, Tupuraya, D12
-17.376752,-66.161674, Calle Bustillos #1181, Queru Queru Bajo, D12
-17.374075,-66.146392, Calle Falsuri #1182, Cala Cala Este, D12
-17.382065,-66.164706, Av. Blanco Galindo #1183, Tupuraya, D12
-17.382803,-66.169126, Calle Canelas #1184, Queru Queru Bajo, D12
-17.377310,-66.160350, Calle San Martín #1185, Cala Cala Este, D12
-17.375357,-66.159417, Calle Bustillos #1186, Tupuraya, D12
-17.386416,-66.177117, Calle Falsuri #1187, Queru Queru Bajo, D12
-17.368401,-66.150998, Av. Blanco Galindo #1188, Cala Cala Este, D12
-17.387436,-66.173238, Calle Canelas #1189, Tupuraya, D12
-17.371285,-66.163046, Calle San Martín #1190, Queru Queru Bajo, D12
-17.366920,-66.160495, Calle Bustillos #1191, Cala Cala Este, D12
-17.381510,-66.162416, Calle Falsuri #1192, Tupuraya, D12
-17.368103,-66.151574, Av. Blanco Galindo #1193, Queru Queru Bajo, D12
-17.377365,-66.162950, Calle Canelas #1194, Cala Cala Este, D12
-17.383308,-66.166393, Calle San Martín #1195, Tupuraya, D12
-17.389319,-66.166823, Calle Bustillos #1196, Queru Queru Bajo, D12
-17.370860,-66.151096, Calle Falsuri #1197, Cala Cala Este, D12
-17.371024,-66.167195, Av. Blanco Galindo #1198, Tupuraya, D12
-17.373469,-66.149860, Calle Canelas #1199, Queru Queru Bajo, D12
-17.367641,-66.158186, Calle San Martín #1200, Cala Cala Este, D12
-17.381333,-66.164735, Calle Bustillos #1201, Tupuraya, D12
-17.368119,-66.165753, Calle Falsuri #1202, Queru Queru Bajo, D12
-17.371596,-66.170918, Av. Blanco Galindo #1203, Cala Cala Este, D12
-17.380699,-66.172036, Calle Canelas #1204, Tupuraya, D12
-17.391216,-66.173231, Calle San Martín #1205, Queru Queru Bajo, D12
-17.375944,-66.175584, Calle Bustillos #1206, Cala Cala Este, D12
-17.376265,-66.154107, Calle Falsuri #1207, Tupuraya, D12
-17.372113,-66.151576, Av. Blanco Galindo #1208, Queru Queru Bajo, D12
-17.380722,-66.174101, Calle Canelas #1209, Cala Cala Este, D12
-17.374219,-66.175120, Calle San Martín #1210, Tupuraya, D12
-17.377829,-66.153104, Calle Bustillos #1211, Queru Queru Bajo, D12
-17.389065,-66.175170, Calle Falsuri #1212, Cala Cala Este, D12
-17.374235,-66.174539, Av. Blanco Galindo #1213, Tupuraya, D12
-17.372882,-66.171851, Calle Canelas #1214, Queru Queru Bajo, D12
-17.381702,-66.166866, Calle San Martín #1215, Cala Cala Este, D12
-17.381495,-66.168228, Calle Bustillos #1216, Tupuraya, D12
-17.374215,-66.170873, Calle Falsuri #1217, Queru Queru Bajo, D12
-17.373207,-66.147917, Av. Blanco Galindo #1218, Cala Cala Este, D12
-17.370058,-66.171110, Calle Canelas #1219, Tupuraya, D12
-17.372514,-66.168441, Calle San Martín #1220, Queru Queru Bajo, D12
-17.384113,-66.168222, Calle Bustillos #1221, Cala Cala Este, D12
-17.377255,-66.163702, Calle Falsuri #1222, Tupuraya, D12
-17.371691,-66.149354, Av. Blanco Galindo #1223, Queru Queru Bajo, D12
-17.370559,-66.172016, Calle Canelas #1224, Cala Cala Este, D12
-17.385660,-66.174092, Calle San Martín #1225, Tupuraya, D12
-17.369624,-66.153371, Calle Bustillos #1226, Queru Queru Bajo, D12
-17.367902,-66.155791, Calle Falsuri #1227, Cala Cala Este, D12
-17.368548,-66.156140, Av. Blanco Galindo #1228, Tupuraya, D12
-17.374026,-66.169615, Calle Canelas #1229, Queru Queru Bajo, D12
-17.380397,-66.171241, Calle San Martín #1230, Cala Cala Este, D12
-17.380261,-66.163519, Calle Bustillos #1231, Tupuraya, D12
-17.372145,-66.152579, Calle Falsuri #1232, Queru Queru Bajo, D12
-17.370783,-66.153391, Av. Blanco Galindo #1233, Cala Cala Este, D12
-17.367735,-66.167897, Calle Canelas #1234, Tupuraya, D12
-17.374829,-66.165676, Calle San Martín #1235, Queru Queru Bajo, D12
-17.367436,-66.158985, Calle Bustillos #1236, Cala Cala Este, D12
-17.388718,-66.170979, Calle Falsuri #1237, Tupuraya, D12
-17.388235,-66.169507, Av. Blanco Galindo #1238, Queru Queru Bajo, D12
-17.375510,-66.167818, Calle Canelas #1239, Cala Cala Este, D12
-17.379573,-66.169341, Calle San Martín #1240, Tupuraya, D12
-17.380488,-66.168143, Calle Bustillos #1241, Queru Queru Bajo, D12
-17.372236,-66.144758, Calle Falsuri #1242, Cala Cala Este, D12
-17.368823,-66.152317, Av. Blanco Galindo #1243, Tupuraya, D12
-17.387932,-66.176770, Calle Canelas #1244, Queru Queru Bajo, D12
-17.383125,-66.171480, Calle San Martín #1245, Cala Cala Este, D12
-17.384737,-66.167125, Calle Bustillos #1246, Tupuraya, D12
-17.377331,-66.154361, Calle Falsuri #1247, Queru Queru Bajo, D12
-17.376101,-66.145086, Av. Blanco Galindo #1248, Cala Cala Este, D12
-17.374398,-66.140168, Calle Canelas #1249, Tupuraya, D12
-17.383811,-66.176439, Calle San Martín #1250, Queru Queru Bajo, D12
-17.373287,-66.148205, Calle Bustillos #1251, Cala Cala Este, D12
-17.376685,-66.162498, Calle Falsuri #1252, Tupuraya, D12
-17.385864,-66.171351, Av. Blanco Galindo #1253, Queru Queru Bajo, D12
-17.375966,-66.175729, Calle Canelas #1254, Cala Cala Este, D12
-17.375838,-66.168269, Calle San Martín #1255, Tupuraya, D12
-17.375318,-66.149258, Calle Bustillos #1256, Queru Queru Bajo, D12
-17.370605,-66.171456, Calle Falsuri #1257, Cala Cala Este, D12
-17.369582,-66.149402, Av. Blanco Galindo #1258, Tupuraya, D12
-17.374496,-66.174741, Calle Canelas #1259, Queru Queru Bajo, D12
-17.375045,-66.152248, Calle San Martín #1260, Cala Cala Este, D12
-17.370863,-66.151349, Calle Bustillos #1261, Tupuraya, D12
-17.374497,-66.159441, Calle Falsuri #1262, Queru Queru Bajo, D12
-17.372320,-66.154687, Av. Blanco Galindo #1263, Cala Cala Este, D12
-17.370843,-66.153505, Calle Canelas #1264, Tupuraya, D12
-17.371206,-66.145896, Calle San Martín #1265, Queru Queru Bajo, D12
-17.370624,-66.169435, Calle Bustillos #1266, Cala Cala Este, D12
-17.390489,-66.167522, Calle Falsuri #1267, Tupuraya, D12
-17.375257,-66.155433, Av. Blanco Galindo #1268, Queru Queru Bajo, D12
-17.367838,-66.160106, Calle Canelas #1269, Cala Cala Este, D12
-17.388624,-66.176734, Calle San Martín #1270, Tupuraya, D12
-17.384179,-66.169431, Calle Bustillos #1271, Queru Queru Bajo, D12
-17.376282,-66.162042, Calle Falsuri #1272, Cala Cala Este, D12
-17.391946,-66.177065, Av. Blanco Galindo #1273, Tupuraya, D12
-17.375134,-66.148107, Calle Canelas #1274, Queru Queru Bajo, D12
-17.369605,-66.170395, Calle San Martín #1275, Cala Cala Este, D12
-17.377830,-66.151791, Calle Bustillos #1276, Tupuraya, D12
-17.382194,-66.166516, Calle Falsuri #1277, Queru Queru Bajo, D12
-17.370817,-66.173248, Av. Blanco Galindo #1278, Cala Cala Este, D12
-17.378457,-66.172664, Calle Canelas #1279, Tupuraya, D12
-17.379462,-66.165476, Calle San Martín #1280, Queru Queru Bajo, D12
-17.372038,-66.141620, Calle Bustillos #1281, Cala Cala Este, D12
-17.365991,-66.164062, Calle Falsuri #1282, Tupuraya, D12
-17.374916,-66.158989, Av. Blanco Galindo #1283, Queru Queru Bajo, D12
-17.389862,-66.170278, Calle Canelas #1284, Cala Cala Este, D12
-17.391568,-66.170599, Calle San Martín #1285, Tupuraya, D12
-17.372116,-66.153800, Calle Bustillos #1286, Queru Queru Bajo, D12
-17.374696,-66.139259, Calle Falsuri #1287, Cala Cala Este, D12
-17.372502,-66.151021, Av. Blanco Galindo #1288, Tupuraya, D12
-17.370404,-66.147156, Calle Canelas #1289, Queru Queru Bajo, D12
-17.370247,-66.173657, Calle San Martín #1290, Cala Cala Este, D12
-17.390467,-66.172757, Calle Bustillos #1291, Tupuraya, D12
-17.369592,-66.152800, Calle Falsuri #1292, Queru Queru Bajo, D12
-17.366942,-66.160025, Av. Blanco Galindo #1293, Cala Cala Este, D12
-17.371364,-66.167681, Calle Canelas #1294, Tupuraya, D12
-17.376149,-66.150296, Calle San Martín #1295, Queru Queru Bajo, D12
-17.385898,-66.169782, Calle Bustillos #1296, Cala Cala Este, D12
-17.392793,-66.169954, Calle Falsuri #1297, Tupuraya, D12
-17.368764,-66.156739, Av. Blanco Galindo #1298, Queru Queru Bajo, D12
-17.382255,-66.175111, Calle Canelas #1299, Cala Cala Este, D12
-17.380147,-66.163148, Calle San Martín #1300, Tupuraya, D12
-17.369614,-66.170733, Calle Bustillos #1301, Queru Queru Bajo, D12
-17.371247,-66.148455, Calle Falsuri #1302, Cala Cala Este, D12
-17.375321,-66.166426, Av. Blanco Galindo #1303, Tupuraya, D12
-17.374285,-66.150483, Calle Canelas #1304, Queru Queru Bajo, D12
-17.381630,-66.164866, Calle San Martín #1305, Cala Cala Este, D12
-17.372185,-66.157844, Calle Bustillos #1306, Tupuraya, D12
-17.371753,-66.173002, Calle Falsuri #1307, Queru Queru Bajo, D12
-17.381695,-66.168899, Av. Blanco Galindo #1308, Cala Cala Este, D12
-17.368486,-66.149263, Calle Canelas #1309, Tupuraya, D12
-17.382634,-66.175158, Calle San Martín #1310, Queru Queru Bajo, D12
-17.380675,-66.165567, Calle Bustillos #1311, Cala Cala Este, D12
-17.379430,-66.167280, Calle Falsuri #1312, Tupuraya, D12
-17.383640,-66.170720, Av. Blanco Galindo #1313, Queru Queru Bajo, D12
-17.387083,-66.174950, Calle Canelas #1314, Cala Cala Este, D12
-17.373495,-66.175066, Calle San Martín #1315, Tupuraya, D12
-17.377062,-66.167470, Calle Bustillos #1316, Queru Queru Bajo, D12
-17.375611,-66.167005, Calle Falsuri #1317, Cala Cala Este, D12
-17.378948,-66.157333, Av. Blanco Galindo #1318, Tupuraya, D12
-17.371086,-66.165126, Calle Canelas #1319, Queru Queru Bajo, D12
-17.390808,-66.168943, Calle San Martín #1320, Cala Cala Este, D12
-17.373155,-66.172100, Calle Bustillos #1321, Tupuraya, D12
-17.370965,-66.165839, Calle Falsuri #1322, Queru Queru Bajo, D12
-17.371213,-66.160727, Av. Blanco Galindo #1323, Cala Cala Este, D12
-17.370404,-66.173762, Calle Canelas #1324, Tupuraya, D12
-17.391038,-66.176298, Calle San Martín #1325, Queru Queru Bajo, D12
-17.390783,-66.170215, Calle Bustillos #1326, Cala Cala Este, D12
-17.386636,-66.174096, Calle Falsuri #1327, Tupuraya, D12
-17.380580,-66.160630, Av. Blanco Galindo #1328, Queru Queru Bajo, D12
-17.370959,-66.149609, Calle Canelas #1329, Cala Cala Este, D12
-17.380119,-66.174358, Calle San Martín #1330, Tupuraya, D12
-17.381602,-66.175281, Calle Bustillos #1331, Queru Queru Bajo, D12
-17.383579,-66.169648, Calle Falsuri #1332, Cala Cala Este, D12
-17.386454,-66.166851, Av. Blanco Galindo #1333, Tupuraya, D12
-17.371886,-66.144225, Calle Canelas #1334, Queru Queru Bajo, D12
-17.383984,-66.170015, Calle San Martín #1335, Cala Cala Este, D12
-17.373946,-66.142116, Calle Bustillos #1336, Tupuraya, D12
-17.388628,-66.168442, Calle Falsuri #1337, Queru Queru Bajo, D12
-17.381355,-66.174760, Av. Blanco Galindo #1338, Cala Cala Este, D12
-17.383063,-66.164434, Calle Canelas #1339, Tupuraya, D12
-17.369746,-66.163051, Calle San Martín #1340, Queru Queru Bajo, D12
-17.376655,-66.162918, Calle Bustillos #1341, Cala Cala Este, D12
-17.368227,-66.171641, Calle Falsuri #1342, Tupuraya, D12
-17.369389,-66.162920, Av. Blanco Galindo #1343, Queru Queru Bajo, D12
-17.370635,-66.150810, Calle Canelas #1344, Cala Cala Este, D12
-17.375201,-66.144073, Calle San Martín #1345, Tupuraya, D12
-17.375080,-66.175764, Calle Bustillos #1346, Queru Queru Bajo, D12
-17.368836,-66.148739, Calle Falsuri #1347, Cala Cala Este, D12
-17.370166,-66.162157, Av. Blanco Galindo #1348, Tupuraya, D12
-17.374131,-66.141118, Calle Canelas #1349, Queru Queru Bajo, D12
-17.372520,-66.144256, Calle San Martín #1350, Cala Cala Este, D12
-17.386787,-66.168138, Calle Bustillos #1351, Tupuraya, D12
-17.385385,-66.170901, Calle Falsuri #1352, Queru Queru Bajo, D12
-17.369867,-66.169948, Av. Blanco Galindo #1353, Cala Cala Este, D12
-17.369617,-66.163820, Calle Canelas #1354, Tupuraya, D12
-17.376654,-66.148328, Calle San Martín #1355, Queru Queru Bajo, D12
-17.392529,-66.170027, Calle Bustillos #1356, Cala Cala Este, D12
-17.368788,-66.172839, Calle Falsuri #1357, Tupuraya, D12
-17.378127,-66.171496, Av. Blanco Galindo #1358, Queru Queru Bajo, D12
-17.374254,-66.148453, Calle Canelas #1359, Cala Cala Este, D12
-17.367863,-66.154163, Calle San Martín #1360, Tupuraya, D12
-17.392721,-66.172266, Calle Bustillos #1361, Queru Queru Bajo, D12
-17.369867,-66.158680, Calle Falsuri #1362, Cala Cala Este, D12
-17.367526,-66.169909, Av. Blanco Galindo #1363, Tupuraya, D12
-17.382953,-66.172490, Calle Canelas #1364, Queru Queru Bajo, D12
-17.379156,-66.162284, Calle San Martín #1365, Cala Cala Este, D12
-17.388915,-66.173828, Calle Bustillos #1366, Tupuraya, D12
-17.375665,-66.153766, Calle Falsuri #1367, Queru Queru Bajo, D12
-17.377902,-66.152725, Av. Blanco Galindo #1368, Cala Cala Este, D12
-17.391184,-66.170433, Calle Canelas #1369, Tupuraya, D12
-17.375591,-66.151938, Calle San Martín #1370, Queru Queru Bajo, D12
-17.375410,-66.152476, Calle Bustillos #1371, Cala Cala Este, D12
-17.375471,-66.166234, Calle Falsuri #1372, Tupuraya, D12
-17.370295,-66.165736, Av. Blanco Galindo #1373, Queru Queru Bajo, D12
-17.375628,-66.166659, Calle Canelas #1374, Cala Cala Este, D12
-17.390068,-66.170969, Calle San Martín #1375, Tupuraya, D12
-17.374259,-66.165455, Calle Bustillos #1376, Queru Queru Bajo, D12
-17.381768,-66.165451, Calle Falsuri #1377, Cala Cala Este, D12
-17.373055,-66.167563, Av. Blanco Galindo #1378, Tupuraya, D12
-17.367832,-66.171639, Calle Canelas #1379, Queru Queru Bajo, D12
-17.369454,-66.162598, Calle San Martín #1380, Cala Cala Este, D12
-17.367996,-66.155485, Calle Bustillos #1381, Tupuraya, D12
-17.375018,-66.155823, Calle Falsuri #1382, Queru Queru Bajo, D12
-17.372702,-66.148114, Av. Blanco Galindo #1383, Cala Cala Este, D12
-17.383764,-66.168413, Calle Canelas #1384, Tupuraya, D12
-17.367976,-66.158430, Calle San Martín #1385, Queru Queru Bajo, D12
-17.370913,-66.148183, Calle Bustillos #1386, Cala Cala Este, D12
-17.377073,-66.165016, Calle Falsuri #1387, Tupuraya, D12
-17.374619,-66.138552, Av. Blanco Galindo #1388, Queru Queru Bajo, D12
-17.378825,-66.172774, Calle Canelas #1389, Cala Cala Este, D12
-17.371483,-66.150710, Calle San Martín #1390, Tupuraya, D12
-17.371540,-66.169216, Calle Bustillos #1391, Queru Queru Bajo, D12
-17.383840,-66.169242, Calle Falsuri #1392, Cala Cala Este, D12
-17.370923,-66.144662, Av. Blanco Galindo #1393, Tupuraya, D12
-17.378285,-66.157027, Calle Canelas #1394, Queru Queru Bajo, D12
-17.383575,-66.167364, Calle San Martín #1395, Cala Cala Este, D12
-17.371112,-66.144482, Calle Bustillos #1396, Tupuraya, D12
-17.366400,-66.162674, Calle Falsuri #1397, Queru Queru Bajo, D12
-17.370117,-66.170208, Av. Blanco Galindo #1398, Cala Cala Este, D12
-17.370925,-66.154524, Calle Canelas #1399, Tupuraya, D12
-17.371653,-66.172640, Calle San Martín #1400, Queru Queru Bajo, D12
-17.373101,-66.148095, Calle Bustillos #1401, Cala Cala Este, D12
-17.380966,-66.171450, Calle Falsuri #1402, Tupuraya, D12
-17.389890,-66.171785, Av. Blanco Galindo #1403, Queru Queru Bajo, D12
-17.391186,-66.170628, Calle Canelas #1404, Cala Cala Este, D12
-17.383152,-66.174378, Calle San Martín #1405, Tupuraya, D12
-17.373375,-66.154883, Calle Bustillos #1406, Queru Queru Bajo, D12
-17.370816,-66.151035, Calle Falsuri #1407, Cala Cala Este, D12
-17.374136,-66.145121, Av. Blanco Galindo #1408, Tupuraya, D12
-17.375172,-66.164204, Calle Canelas #1409, Queru Queru Bajo, D12
-17.387123,-66.174633, Calle San Martín #1410, Cala Cala Este, D12
-17.375737,-66.149285, Calle Bustillos #1411, Tupuraya, D12
-17.376410,-66.165569, Calle Falsuri #1412, Queru Queru Bajo, D12
-17.379918,-66.173758, Av. Blanco Galindo #1413, Cala Cala Este, D12
-17.376031,-66.142978, Calle Canelas #1414, Tupuraya, D12
-17.375061,-66.151781, Calle San Martín #1415, Queru Queru Bajo, D12
-17.374877,-66.143247, Calle Bustillos #1416, Cala Cala Este, D12
-17.370227,-66.147719, Calle Falsuri #1417, Tupuraya, D12
-17.376142,-66.148045, Av. Blanco Galindo #1418, Queru Queru Bajo, D12
-17.392158,-66.177346, Calle Canelas #1419, Cala Cala Este, D12
-17.374472,-66.153957, Calle San Martín #1420, Tupuraya, D12
-17.375205,-66.142532, Calle Bustillos #1421, Queru Queru Bajo, D12
-17.381520,-66.173750, Calle Falsuri #1422, Cala Cala Este, D12
-17.376603,-66.150861, Av. Blanco Galindo #1423, Tupuraya, D12
-17.373837,-66.150895, Calle Canelas #1424, Queru Queru Bajo, D12
-17.378802,-66.165332, Calle San Martín #1425, Cala Cala Este, D12
-17.372786,-66.151380, Calle Bustillos #1426, Tupuraya, D12
-17.368336,-66.159341, Calle Falsuri #1427, Queru Queru Bajo, D12
-17.392790,-66.170881, Av. Blanco Galindo #1428, Cala Cala Este, D12
-17.382548,-66.168146, Calle Canelas #1429, Tupuraya, D12
-17.392900,-66.169200, Calle San Martín #1430, Queru Queru Bajo, D12
-17.387910,-66.167239, Calle Bustillos #1431, Cala Cala Este, D12
-17.367290,-66.171530, Calle Falsuri #1432, Tupuraya, D12
-17.367525,-66.158874, Av. Blanco Galindo #1433, Queru Queru Bajo, D12
-17.383021,-66.171451, Calle Canelas #1434, Cala Cala Este, D12
-17.383639,-66.172603, Calle San Martín #1435, Tupuraya, D12
-17.378197,-66.174298, Calle Bustillos #1436, Queru Queru Bajo, D12
-17.371081,-66.149744, Calle Falsuri #1437, Cala Cala Este, D12
-17.385494,-66.167975, Av. Blanco Galindo #1438, Tupuraya, D12
-17.375438,-66.164875, Calle Canelas #1439, Queru Queru Bajo, D12
-17.372029,-66.143483, Calle San Martín #1440, Cala Cala Este, D12
-17.375559,-66.143211, Calle Bustillos #1441, Tupuraya, D12
-17.391991,-66.176673, Calle Falsuri #1442, Queru Queru Bajo, D12
-17.390639,-66.173960, Av. Blanco Galindo #1443, Cala Cala Este, D12
-17.368566,-66.152880, Calle Canelas #1444, Tupuraya, D12
-17.377362,-66.174614, Calle San Martín #1445, Queru Queru Bajo, D12
-17.380511,-66.173132, Calle Bustillos #1446, Cala Cala Este, D12
-17.383952,-66.172803, Calle Falsuri #1447, Tupuraya, D12
-17.377328,-66.156238, Av. Blanco Galindo #1448, Queru Queru Bajo, D12
-17.367846,-66.164370, Calle Canelas #1449, Cala Cala Este, D12
-17.371139,-66.157819, Calle San Martín #1450, Tupuraya, D12
-17.383853,-66.165395, Calle Bustillos #1451, Queru Queru Bajo, D12
-17.373928,-66.159880, Calle Falsuri #1452, Cala Cala Este, D12
-17.376992,-66.159737, Av. Blanco Galindo #1453, Tupuraya, D12
-17.378249,-66.164316, Calle Canelas #1454, Queru Queru Bajo, D12
-17.376448,-66.150873, Calle San Martín #1455, Cala Cala Este, D12
-17.381821,-66.164695, Calle Bustillos #1456, Tupuraya, D12
-17.373697,-66.169133, Calle Falsuri #1457, Queru Queru Bajo, D12
-17.386757,-66.168187, Av. Blanco Galindo #1458, Cala Cala Este, D12
-17.373406,-66.164421, Calle Canelas #1459, Tupuraya, D12
-17.391369,-66.174615, Calle San Martín #1460, Queru Queru Bajo, D12
-17.379956,-66.161053, Calle Bustillos #1461, Cala Cala Este, D12
-17.366910,-66.171961, Calle Falsuri #1462, Tupuraya, D12
-17.372113,-66.139879, Av. Blanco Galindo #1463, Queru Queru Bajo, D12
-17.374049,-66.150700, Calle Canelas #1464, Cala Cala Este, D12
-17.370317,-66.162035, Calle San Martín #1465, Tupuraya, D12
-17.383072,-66.176155, Calle Bustillos #1466, Queru Queru Bajo, D12
-17.367111,-66.167571, Calle Falsuri #1467, Cala Cala Este, D12
-17.378993,-66.171807, Av. Blanco Galindo #1468, Tupuraya, D12
-17.373590,-66.163081, Calle Canelas #1469, Queru Queru Bajo, D12
-17.379215,-66.159831, Calle San Martín #1470, Cala Cala Este, D12
-17.375479,-66.168483, Calle Bustillos #1471, Tupuraya, D12
-17.375765,-66.147279, Calle Falsuri #1472, Queru Queru Bajo, D12
-17.370929,-66.148768, Av. Blanco Galindo #1473, Cala Cala Este, D12
-17.368993,-66.162461, Calle Canelas #1474, Tupuraya, D12
-17.381846,-66.171241, Calle San Martín #1475, Queru Queru Bajo, D12
-17.369866,-66.172410, Calle Bustillos #1476, Cala Cala Este, D12
-17.372818,-66.154405, Calle Falsuri #1477, Tupuraya, D12
-17.375948,-66.174063, Av. Blanco Galindo #1478, Queru Queru Bajo, D12
-17.372855,-66.155816, Calle Canelas #1479, Cala Cala Este, D12
-17.376640,-66.166885, Calle San Martín #1480, Tupuraya, D12
-17.375106,-66.150658, Calle Bustillos #1481, Queru Queru Bajo, D12
-17.382709,-66.176439, Calle Falsuri #1482, Cala Cala Este, D12
-17.367889,-66.155111, Av. Blanco Galindo #1483, Tupuraya, D12
-17.386248,-66.166501, Calle Canelas #1484, Queru Queru Bajo, D12
-17.367533,-66.161892, Calle San Martín #1485, Cala Cala Este, D12
-17.382033,-66.167002, Calle Bustillos #1486, Tupuraya, D12
-17.369140,-66.153971, Calle Falsuri #1487, Queru Queru Bajo, D12
-17.367489,-66.164817, Av. Blanco Galindo #1488, Cala Cala Este, D12
-17.378686,-66.156705, Calle Canelas #1489, Tupuraya, D12
-17.375361,-66.149646, Calle San Martín #1490, Queru Queru Bajo, D12
-17.388172,-66.174380, Calle Bustillos #1491, Cala Cala Este, D12
-17.379484,-66.172812, Calle Falsuri #1492, Tupuraya, D12
-17.375024,-66.161953, Av. Blanco Galindo #1493, Queru Queru Bajo, D12
-17.389949,-66.172279, Calle Canelas #1494, Cala Cala Este, D12
-17.374725,-66.150415, Calle San Martín #1495, Tupuraya, D12
-17.380989,-66.162214, Calle Bustillos #1496, Queru Queru Bajo, D12
-17.382265,-66.174116, Calle Falsuri #1497, Cala Cala Este, D12
-17.376120,-66.173623, Av. Blanco Galindo #1498, Tupuraya, D12
-17.375104,-66.145574, Calle Canelas #1499, Queru Queru Bajo, D12
-17.386392,-66.168850, Calle San Martín #1500, Cala Cala Este, D12
-17.383487,-66.165799, Calle Bustillos #1501, Tupuraya, D12
-17.367599,-66.169839, Calle Falsuri #1502, Queru Queru Bajo, D12
-17.375995,-66.161645, Av. Blanco Galindo #1503, Cala Cala Este, D12
-17.377673,-66.171146, Calle Canelas #1504, Tupuraya, D12
-17.368628,-66.175043, Calle San Martín #1505, Queru Queru Bajo, D12
-17.371898,-66.160758, Calle Bustillos #1506, Cala Cala Este, D12
-17.385723,-66.171822, Calle Falsuri #1507, Tupuraya, D12
-17.375531,-66.154365, Av. Blanco Galindo #1508, Queru Queru Bajo, D12
-17.378920,-66.173050, Calle Canelas #1509, Cala Cala Este, D12
-17.370604,-66.154492, Calle San Martín #1510, Tupuraya, D12
-17.382442,-66.175285, Calle Bustillos #1511, Queru Queru Bajo, D12
-17.387037,-66.173352, Calle Falsuri #1512, Cala Cala Este, D12
-17.368476,-66.164253, Av. Blanco Galindo #1513, Tupuraya, D12
-17.378190,-66.174493, Calle Canelas #1514, Queru Queru Bajo, D12
-17.379461,-66.174416, Calle San Martín #1515, Cala Cala Este, D12
-17.381573,-66.161951, Calle Bustillos #1516, Tupuraya, D12
-17.372622,-66.159459, Calle Falsuri #1517, Queru Queru Bajo, D12
-17.371039,-66.156684, Av. Blanco Galindo #1518, Cala Cala Este, D12
-17.370558,-66.155509, Calle Canelas #1519, Tupuraya, D12
-17.374542,-66.161707, Calle San Martín #1520, Queru Queru Bajo, D12
-17.372397,-66.151602, Calle Bustillos #1521, Cala Cala Este, D12
-17.378145,-66.162432, Calle Falsuri #1522, Tupuraya, D12
-17.378832,-66.163775, Av. Blanco Galindo #1523, Queru Queru Bajo, D12
-17.370047,-66.167643, Calle Canelas #1524, Cala Cala Este, D12
-17.375147,-66.142497, Calle San Martín #1525, Tupuraya, D12
-17.377230,-66.153682, Calle Bustillos #1526, Queru Queru Bajo, D12
-17.372888,-66.166458, Calle Falsuri #1527, Cala Cala Este, D12
-17.367346,-66.171158, Av. Blanco Galindo #1528, Tupuraya, D12
