-17.360417,-66.151182, Calle Alemania #100, Cala Cala, D2
-17.338628,-66.191594, Calle Ecuador #1221, Mayorazgo, D2
-17.343454,-66.176194, Av. Circunvalación #1222, Cala Cala, D2
-17.362382,-66.152689, Calle Mendoza #1223, Temporal Pampa, D2
-17.350942,-66.182915, Calle Litoral #1224, Mayorazgo, D2
-17.355337,-66.185009, Calle Alemania #1225, Cala Cala, D2
-17.359069,-66.173214, Calle Ecuador #1226, Temporal Pampa, D2
-17.337459,-66.185233, Av. Circunvalación #1227, Mayorazgo, D2
-17.358453,-66.171812, Calle Mendoza #1228, Cala Cala, D2
-17.354669,-66.178675, Calle Litoral #1229, Temporal Pampa, D2
-17.357507,-66.173425, Calle Alemania #1230, Mayorazgo, D2
-17.348064,-66.172277, Calle Ecuador #1231, Cala Cala, D2
-17.358291,-66.160138, Av. Circunvalación #1232, Temporal Pampa, D2
-17.345686,-66.188852, Calle Mendoza #1233, Mayorazgo, D2
-17.356634,-66.162180, Calle Litoral #1234, Cala Cala, D2
-17.354516,-66.181525, Calle Alemania #1235, Temporal Pampa, D2
-17.345469,-66.188993, Calle Ecuador #1236, Mayorazgo, D2
-17.353825,-66.179913, Av. Circunvalación #1237, Cala Cala, D2
-17.345187,-66.191234, Calle Mendoza #1238, Temporal Pampa, D2
-17.352561,-66.176386, Calle Litoral #1239, Mayorazgo, D2
-17.350500,-66.170305, Calle Alemania #1240, Cala Cala, D2
-17.340253,-66.182880, Calle Ecuador #1241, Temporal Pampa, D2
-17.337619,-66.191720, Av. Circunvalación #1242, Mayorazgo, D2
-17.342110,-66.174007, Calle Mendoza #1243, Cala Cala, D2
-17.348626,-66.179831, Calle Litoral #1244, Temporal Pampa, D2
-17.338558,-66.186642, Calle Alemania #1245, Mayorazgo, D2
-17.342879,-66.192422, Calle Ecuador #1246, Cala Cala, D2
-17.357429,-66.164048, Av. Circunvalación #1247, Temporal Pampa, D2
-17.345586,-66.182468, Calle Mendoza #1248, Mayorazgo, D2
-17.338136,-66.188399, Calle Litoral #1249, Cala Cala, D2
-17.348129,-66.193052, Calle Alemania #1250, Temporal Pampa, D2
-17.344708,-66.195606, Calle Ecuador #1251, Mayorazgo, D2
-17.360572,-66.171862, Av. Circunvalación #1252, Cala Cala, D2
-17.363547,-66.169177, Calle Mendoza #1253, Temporal Pampa, D2
-17.363175,-66.165130, Calle Litoral #1254, Mayorazgo, D2
-17.352251,-66.174816, Calle Alemania #1255, Cala Cala, D2
-17.354959,-66.170716, Calle Ecuador #1256, Temporal Pampa, D2
-17.356871,-66.169456, Av. Circunvalación #1257, Mayorazgo, D2
-17.352588,-66.164405, Calle Mendoza #1258, Cala Cala, D2
-17.337813,-66.187480, Calle Litoral #1259, Temporal Pampa, D2
-17.354261,-66.180415, Calle Alemania #1260, Mayorazgo, D2
-17.345916,-66.188939, Calle Ecuador #1261, Cala Cala, D2
-17.346062,-66.193997, Av. Circunvalación #1262, Temporal Pampa, D2
-17.352395,-66.179795, Calle Mendoza #1263, Mayorazgo, D2
-17.347407,-66.175595, Calle Litoral #1264, Cala Cala, D2
-17.357298,-66.169313, Calle Alemania #1265, Temporal Pampa, D2
-17.344696,-66.185232, Calle Ecuador #1266, Mayorazgo, D2
-17.345097,-66.184680, Av. Circunvalación #1267, Cala Cala, D2
-17.338108,-66.183488, Calle Mendoza #1268, Temporal Pampa, D2
-17.353997,-66.179075, Calle Litoral #1269, Mayorazgo, D2
-17.361742,-66.151016, Calle Alemania #1270, Cala Cala, D2
-17.347749,-66.170023, Calle Ecuador #1271, Temporal Pampa, D2
-17.362600,-66.171666, Av. Circunvalación #1272, Mayorazgo, D2
-17.348945,-66.190399, Calle Mendoza #1273, Cala Cala, D2
-17.351619,-66.185284, Calle Litoral #1274, Temporal Pampa, D2
-17.346658,-66.174883, Calle Alemania #1275, Mayorazgo, D2
-17.360081,-66.154460, Calle Ecuador #1276, Cala Cala, D2
-17.347933,-66.183096, Av. Circunvalación #1277, Temporal Pampa, D2
-17.340086,-66.177441, Calle Mendoza #1278, Mayorazgo, D2
-17.353873,-66.165675, Calle Litoral #1279, Cala Cala, D2
-17.353580,-66.184307, Calle Alemania #1280, Temporal Pampa, D2
-17.342348,-66.194617, Calle Ecuador #1281, Mayorazgo, D2
-17.347021,-66.188478, Av. Circunvalación #1282, Cala Cala, D2
-17.348358,-66.174018, Calle Mendoza #1283, Temporal Pampa, D2
-17.362942,-66.179942, Calle Litoral #1284, Mayorazgo, D2
-17.346582,-66.196200, Calle Alemania #1285, Cala Cala, D2
-17.349406,-66.182209, Calle Ecuador #1286, Temporal Pampa, D2
-17.341551,-66.195820, Av. Circunvalación #1287, Mayorazgo, D2
-17.352882,-66.170568, Calle Mendoza #1288, Cala Cala, D2
-17.362345,-66.164241, Calle Litoral #1289, Temporal Pampa, D2
-17.349031,-66.189256, Calle Alemania #1290, Mayorazgo, D2
-17.342121,-66.179061, Calle Ecuador #1291, Cala Cala, D2
-17.357742,-66.162074, Av. Circunvalación #1292, Temporal Pampa, D2
-17.348204,-66.184085, Calle Mendoza #1293, Mayorazgo, D2
-17.345092,-66.191607, Calle Litoral #1294, Cala Cala, D2
-17.351839,-66.174444, Calle Alemania #1295, Temporal Pampa, D2
-17.356674,-66.155835, Calle Ecuador #1296, Mayorazgo, D2
-17.343301,-66.182951, Av. Circunvalación #1297, Cala Cala, D2
-17.359187,-66.171977, Calle Mendoza #1298, Temporal Pampa, D2
-17.344208,-66.191262, Calle Litoral #1299, Mayorazgo, D2
-17.344721,-66.190018, Calle Alemania #1300, Cala Cala, D2
-17.351818,-66.174639, Calle Ecuador #1301, Temporal Pampa, D2
-17.354507,-66.177332, Av. Circunvalación #1302, Mayorazgo, D2
-17.342939,-66.185377, Calle Mendoza #1303, Cala Cala, D2
-17.354736,-66.179792, Calle Litoral #1304, Temporal Pampa, D2
-17.346228,-66.179405, Calle Alemania #1305, Mayorazgo, D2
-17.359469,-66.159051, Calle Ecuador #1306, Cala Cala, D2
-17.350814,-66.172807, Av. Circunvalación #1307, Temporal Pampa, D2
-17.355934,-66.178338, Calle Mendoza #1308, Mayorazgo, D2
-17.355352,-66.180326, Calle Litoral #1309, Cala Cala, D2
-17.341318,-66.188858, Calle Alemania #1310, Temporal Pampa, D2
-17.338704,-66.182057, Calle Ecuador #1311, Mayorazgo, D2
-17.350297,-66.190090, Av. Circunvalación #1312, Cala Cala, D2
-17.347459,-66.196496, Calle Mendoza #1313, Temporal Pampa, D2
-17.362736,-66.159561, Calle Litoral #1314, Mayorazgo, D2
-17.350429,-66.185211, Calle Alemania #1315, Cala Cala, D2
-17.354799,-66.165489, Calle Ecuador #1316, Temporal Pampa, D2
-17.349191,-66.186748, Av. Circunvalación #1317, Mayorazgo, D2
-17.358876,-66.156381, Calle Mendoza #1318, Cala Cala, D2
-17.342863,-66.186354, Calle Litoral #1319, Temporal Pampa, D2
-17.360494,-66.167428, Calle Alemania #1320, Mayorazgo, D2
-17.363409,-66.173145, Calle Ecuador #1321, Cala Cala, D2
-17.349526,-66.177720, Av. Circunvalación #1322, Temporal Pampa, D2
-17.356756,-66.165857, Calle Mendoza #1323, Mayorazgo, D2
-17.349783,-66.173558, Calle Litoral #1324, Cala Cala, D2
-17.346805,-66.176991, Calle Alemania #1325, Temporal Pampa, D2
-17.350812,-66.182842, Calle Ecuador #1326, Mayorazgo, D2
-17.341380,-66.176322, Av. Circunvalación #1327, Cala Cala, D2
-17.345313,-66.187477, Calle Mendoza #1328, Temporal Pampa, D2
-17.347758,-66.167649, Calle Litoral #1329, Mayorazgo, D2
-17.352241,-66.174992, Calle Alemania #1330, Cala Cala, D2
-17.363231,-66.160821, Calle Ecuador #1331, Temporal Pampa, D2
-17.361185,-66.157467, Av. Circunvalación #1332, Mayorazgo, D2
-17.358933,-66.179481, Calle Mendoza #1333, Cala Cala, D2
-17.345393,-66.194438, Calle Litoral #1334, Temporal Pampa, D2
-17.358016,-66.179238, Calle Alemania #1335, Mayorazgo, D2
-17.344931,-66.181081, Calle Ecuador #1336, Cala Cala, D2
-17.344975,-66.195400, Av. Circunvalación #1337, Temporal Pampa, D2
-17.354293,-66.168908, Calle Mendoza #1338, Mayorazgo, D2
-17.347226,-66.177301, Calle Litoral #1339, Cala Cala, D2
-17.355415,-66.165631, Calle Alemania #1340, Temporal Pampa, D2
-17.362271,-66.165890, Calle Ecuador #1341, Mayorazgo, D2
-17.343973,-66.182939, Av. Circunvalación #1342, Cala Cala, D2
-17.339829,-66.192021, Calle Mendoza #1343, Temporal Pampa, D2
-17.348941,-66.171266, Calle Litoral #1344, Mayorazgo, D2
-17.351598,-66.184483, Calle Alemania #1345, Cala Cala, D2
-17.348688,-66.194524, Calle Ecuador #1346, Temporal Pampa, D2
-17.355912,-66.180987, Av. Circunvalación #1347, Mayorazgo, D2
-17.359019,-66.153099, Calle Mendoza #1348, Cala Cala, D2
-17.339675,-66.183966, Calle Litoral #1349, Temporal Pampa, D2
-17.357701,-66.154849, Calle Alemania #1350, Mayorazgo, D2
-17.364575,-66.172084, Calle Ecuador #1351, Cala Cala, D2
-17.344724,-66.191252, Av. Circunvalación #1352, Temporal Pampa, D2
-17.365880,-66.154970, Calle Mendoza #1353, Mayorazgo, D2
-17.353060,-66.176216, Calle Litoral #1354, Cala Cala, D2
-17.359456,-66.163160, Calle Alemania #1355, Temporal Pampa, D2
-17.348307,-66.196296, Calle Ecuador #1356, Mayorazgo, D2
-17.356577,-66.161874, Av. Circunvalación #1357, Cala Cala, D2
-17.362119,-66.160810, Calle Mendoza #1358, Temporal Pampa, D2
-17.364396,-66.150946, Calle Litoral #1359, Mayorazgo, D2
-17.351300,-66.167273, Calle Alemania #1360, Cala Cala, D2
-17.353188,-66.162742, Calle Ecuador #1361, Temporal Pampa, D2
-17.342927,-66.173560, Av. Circunvalación #1362, Mayorazgo, D2
-17.341313,-66.192602, Calle Mendoza #1363, Cala Cala, D2
-17.362785,-66.157424, Calle Litoral #1364, Temporal Pampa, D2
-17.350918,-66.167421, Calle Alemania #1365, Mayorazgo, D2
-17.359530,-66.166820, Calle Ecuador #1366, Cala Cala, D2
-17.346783,-66.186300, Av. Circunvalación #1367, Temporal Pampa, D2
-17.343954,-66.191032, Calle Mendoza #1368, Mayorazgo, D2
-17.343200,-66.180615, Calle Litoral #1369, Cala Cala, D2
-17.355463,-66.161563, Calle Alemania #1370, Temporal Pampa, D2
-17.338243,-66.193080, Calle Ecuador #1371, Mayorazgo, D2
-17.354114,-66.171282, Av. Circunvalación #1372, Cala Cala, D2
-17.353791,-66.168363, Calle Mendoza #1373, Temporal Pampa, D2
-17.347238,-66.183226, Calle Litoral #1374, Mayorazgo, D2
-17.342721,-66.189832, Calle Alemania #1375, Cala Cala, D2
-17.361630,-66.162940, Calle Ecuador #1376, Temporal Pampa, D2
-17.340148,-66.194147, Av. Circunvalación #1377, Mayorazgo, D2
-17.364190,-66.173686, Calle Mendoza #1378, Cala Cala, D2
-17.359887,-66.162678, Calle Litoral #1379, Temporal Pampa, D2
-17.351034,-66.178653, Calle Alemania #1380, Mayorazgo, D2
-17.352479,-66.189215, Calle Ecuador #1381, Cala Cala, D2
-17.344603,-66.195591, Av. Circunvalación #1382, Temporal Pampa, D2
-17.347209,-66.180458, Calle Mendoza #1383, Mayorazgo, D2
-17.353802,-66.175043, Calle Litoral #1384, Cala Cala, D2
-17.360222,-66.168606, Calle Alemania #1385, Temporal Pampa, D2
-17.347596,-66.180704, Calle Ecuador #1386, Mayorazgo, D2
-17.343056,-66.177780, Av. Circunvalación #1387, Cala Cala, D2
-17.337276,-66.194203, Calle Mendoza #1388, Temporal Pampa, D2
-17.352884,-66.164917, Calle Litoral #1389, Mayorazgo, D2
-17.345021,-66.180908, Calle Alemania #1390, Cala Cala, D2
-17.339897,-66.192199, Calle Ecuador #1391, Temporal Pampa, D2
-17.357549,-66.163881, Av. Circunvalación #1392, Mayorazgo, D2
-17.352296,-66.160121, Calle Mendoza #1393, Cala Cala, D2
-17.356847,-66.162981, Calle Litoral #1394, Temporal Pampa, D2
-17.344621,-66.172745, Calle Alemania #1395, Mayorazgo, D2
-17.348689,-66.189872, Calle Ecuador #1396, Cala Cala, D2
-17.357193,-66.159635, Av. Circunvalación #1397, Temporal Pampa, D2
-17.353412,-66.186093, Calle Mendoza #1398, Mayorazgo, D2
-17.346773,-66.191246, Calle Litoral #1399, Cala Cala, D2
-17.362331,-66.150107, Calle Alemania #1400, Temporal Pampa, D2
-17.341773,-66.194684, Calle Ecuador #1401, Mayorazgo, D2
-17.337842,-66.191889, Av. Circunvalación #1402, Cala Cala, D2
-17.341868,-66.180956, Calle Mendoza #1403, Temporal Pampa, D2
-17.362306,-66.176878, Calle Litoral #1404, Mayorazgo, D2
-17.344356,-66.179646, Calle Alemania #1405, Cala Cala, D2
-17.345575,-66.170238, Calle Ecuador #1406, Temporal Pampa, D2
-17.358528,-66.157899, Av. Circunvalación #1407, Mayorazgo, D2
-17.344940,-66.195152, Calle Mendoza #1408, Cala Cala, D2
-17.350565,-66.185704, Calle Litoral #1409, Temporal Pampa, D2
-17.355239,-66.182179, Calle Alemania #1410, Mayorazgo, D2
-17.353285,-66.168651, Calle Ecuador #1411, Cala Cala, D2
-17.351598,-66.189470, Av. Circunvalación #1412, Temporal Pampa, D2
-17.344977,-66.197852, Calle Mendoza #1413, Mayorazgo, D2
-17.343748,-66.172516, Calle Litoral #1414, Cala Cala, D2
-17.357772,-66.178799, Calle Alemania #1415, Temporal Pampa, D2
-17.353808,-66.167685, Calle Ecuador #1416, Mayorazgo, D2
-17.356719,-66.154494, Av. Circunvalación #1417, Cala Cala, D2
-17.339243,-66.183578, Calle Mendoza #1418, Temporal Pampa, D2
-17.352724,-66.169370, Calle Litoral #1419, Mayorazgo, D2
-17.361349,-66.164937, Calle Alemania #1420, Cala Cala, D2
-17.350324,-66.185200, Calle Ecuador #1421, Temporal Pampa, D2
-17.343690,-66.192269, Av. Circunvalación #1422, Mayorazgo, D2
-17.363197,-66.164196, Calle Mendoza #1423, Cala Cala, D2
-17.358191,-66.159090, Calle Litoral #1424, Temporal Pampa, D2
-17.360838,-66.178782, Calle Alemania #1425, Mayorazgo, D2
-17.362620,-66.169615, Calle Ecuador #1426, Cala Cala, D2
-17.355359,-66.183854, Av. Circunvalación #1427, Temporal Pampa, D2
-17.362207,-66.180661, Calle Mendoza #1428, Mayorazgo, D2
-17.345036,-66.192335, Calle Litoral #1429, Cala Cala, D2
-17.358948,-66.164770, Calle Alemania #1430, Temporal Pampa, D2
-17.353458,-66.170229, Calle Ecuador #1431, Mayorazgo, D2
-17.363326,-66.168589, Av. Circunvalación #1432, Cala Cala, D2
-17.344456,-66.193017, Calle Mendoza #1433, Temporal Pampa, D2
-17.363712,-66.164657, Calle Litoral #1434, Mayorazgo, D2
-17.359107,-66.164756, Calle Alemania #1435, Cala Cala, D2
-17.353511,-66.179186, Calle Ecuador #1436, Temporal Pampa, D2
-17.365025,-66.158219, Av. Circunvalación #1437, Mayorazgo, D2
-17.358574,-66.170922, Calle Mendoza #1438, Cala Cala, D2
-17.343869,-66.175873, Calle Litoral #1439, Temporal Pampa, D2
-17.348830,-66.170026, Calle Alemania #1440, Mayorazgo, D2
-17.346574,-66.172990, Calle Ecuador #1441, Cala Cala, D2
-17.359234,-66.164243, Av. Circunvalación #1442, Temporal Pampa, D2
-17.339325,-66.193738, Calle Mendoza #1443, Mayorazgo, D2
-17.355550,-66.181376, Calle Litoral #1444, Cala Cala, D2
-17.364434,-66.172510, Calle Alemania #1445, Temporal Pampa, D2
-17.363423,-66.159074, Calle Ecuador #1446, Mayorazgo, D2
-17.345997,-66.183280, Av. Circunvalación #1447, Cala Cala, D2
-17.351365,-66.174037, Calle Mendoza #1448, Temporal Pampa, D2
-17.361997,-66.163135, Calle Litoral #1449, Mayorazgo, D2
-17.360423,-66.154400, Calle Alemania #1450, Cala Cala, D2
-17.360650,-66.175988, Calle Ecuador #1451, Temporal Pampa, D2
-17.345869,-66.177062, Av. Circunvalación #1452, Mayorazgo, D2
-17.364460,-66.154622, Calle Mendoza #1453, Cala Cala, D2
-17.357793,-66.161932, Calle Litoral #1454, Temporal Pampa, D2
-17.346908,-66.175354, Calle Alemania #1455, Mayorazgo, D2
-17.361299,-66.168808, Calle Ecuador #1456, Cala Cala, D2
-17.342419,-66.174234, Av. Circunvalación #1457, Temporal Pampa, D2
-17.355856,-66.178075, Calle Mendoza #1458, Mayorazgo, D2
-17.361787,-66.180144, Calle Litoral #1459, Cala Cala, D2
-17.359765,-66.159360, Calle Alemania #1460, Temporal Pampa, D2
-17.338821,-66.180012, Calle Ecuador #1461, Mayorazgo, D2
-17.362225,-66.176745, Av. Circunvalación #1462, Cala Cala, D2
-17.362441,-66.157068, Calle Mendoza #1463, Temporal Pampa, D2
-17.362136,-66.158048, Calle Litoral #1464, Mayorazgo, D2
-17.359331,-66.168007, Calle Alemania #1465, Cala Cala, D2
-17.347572,-66.192076, Calle Ecuador #1466, Temporal Pampa, D2
-17.346115,-66.177861, Av. Circunvalación #1467, Mayorazgo, D2
-17.350338,-66.191788, Calle Mendoza #1468, Cala Cala, D2
-17.340964,-66.181995, Calle Litoral #1469, Temporal Pampa, D2
-17.340625,-66.188311, Calle Alemania #1470, Mayorazgo, D2
-17.343548,-66.182888, Calle Ecuador #1471, Cala Cala, D2
-17.356622,-66.165815, Av. Circunvalación #1472, Temporal Pampa, D2
-17.338350,-66.189831, Calle Mendoza #1473, Mayorazgo, D2
-17.364238,-66.160794, Calle Litoral #1474, Cala Cala, D2
-17.347412,-66.186812, Calle Alemania #1475, Temporal Pampa, D2
-17.343860,-66.175089, Calle Ecuador #1476, Mayorazgo, D2
-17.364186,-66.169522, Av. Circunvalación #1477, Cala Cala, D2
-17.359729,-66.166132, Calle Mendoza #1478, Temporal Pampa, D2
-17.339206,-66.192592, Calle Litoral #1479, Mayorazgo, D2
-17.358803,-66.171523, Calle Alemania #1480, Cala Cala, D2
-17.355383,-66.172131, Calle Ecuador #1481, Temporal Pampa, D2
-17.359687,-66.155758, Av. Circunvalación #1482, Mayorazgo, D2
-17.358864,-66.159117, Calle Mendoza #1483, Cala Cala, D2
-17.353543,-66.159189, Calle Litoral #1484, Temporal Pampa, D2
-17.348291,-66.195476, Calle Alemania #1485, Mayorazgo, D2
-17.350908,-66.167932, Calle Ecuador #1486, Cala Cala, D2
-17.349298,-66.186809, Av. Circunvalación #1487, Temporal Pampa, D2
-17.349010,-66.171841, Calle Mendoza #1488, Mayorazgo, D2
-17.346310,-66.175166, Calle Litoral #1489, Cala Cala, D2
-17.364323,-66.170093, Calle Alemania #1490, Temporal Pampa, D2
-17.347415,-66.192620, Calle Ecuador #1491, Mayorazgo, D2
-17.366330,-66.151672, Av. Circunvalación #1492, Cala Cala, D2
-17.351299,-66.186577, Calle Mendoza #1493, Temporal Pampa, D2
-17.356960,-66.173867, Calle Litoral #1494, Mayorazgo, D2
-17.338601,-66.183600, Calle Alemania #1495, Cala Cala, D2
-17.356457,-66.153096, Calle Ecuador #1496, Temporal Pampa, D2
-17.346373,-66.187085, Av. Circunvalación #1497, Mayorazgo, D2
-17.345181,-66.185295, Calle Mendoza #1498, Cala Cala, D2
-17.365218,-66.153704, Calle Litoral #1499, Temporal Pampa, D2
-17.347260,-66.171420, Calle Alemania #1500, Mayorazgo, D2
-17.360835,-66.171369, Calle Ecuador #1501, Cala Cala, D2
-17.350081,-66.182309, Av. Circunvalación #1502, Temporal Pampa, D2
-17.355846,-66.173232, Calle Mendoza #1503, Mayorazgo, D2
-17.349645,-66.189459, Calle Litoral #1504, Cala Cala, D2
-17.342868,-66.174622, Calle Alemania #1505, Temporal Pampa, D2
-17.350119,-66.187688, Calle Ecuador #1506, Mayorazgo, D2
-17.340570,-66.184525, Av. Circunvalación #1507, Cala Cala, D2
-17.343649,-66.195472, Calle Mendoza #1508, Temporal Pampa, D2
-17.345946,-66.171108, Calle Litoral #1509, Mayorazgo, D2
-17.346569,-66.187299, Calle Alemania #1510, Cala Cala, D2
-17.363737,-66.178448, Calle Ecuador #1511, Temporal Pampa, D2
-17.350989,-66.166041, Av. Circunvalación #1512, Mayorazgo, D2
-17.346012,-66.178225, Calle Mendoza #1513, Cala Cala, D2
-17.361397,-66.173993, Calle Litoral #1514, Temporal Pampa, D2
-17.358632,-66.158822, Calle Alemania #1515, Mayorazgo, D2
-17.353879,-66.176963, Calle Ecuador #1516, Cala Cala, D2
-17.360997,-66.166232, Av. Circunvalación #1517, Temporal Pampa, D2
-17.357785,-66.173372, Calle Mendoza #1518, Mayorazgo, D2
-17.347641,-66.174392, Calle Litoral #1519, Cala Cala, D2
-17.355192,-66.172287, Calle Alemania #1520, Temporal Pampa, D2
-17.350783,-66.174605, Calle Ecuador #1521, Mayorazgo, D2
-17.341269,-66.179350, Av. Circunvalación #1522, Cala Cala, D2
-17.356677,-66.163887, Calle Mendoza #1523, Temporal Pampa, D2
-17.352205,-66.162581, Calle Litoral #1524, Mayorazgo, D2
-17.356671,-66.151491, Calle Alemania #1525, Cala Cala, D2
-17.340835,-66.190229, Calle Ecuador #1526, Temporal Pampa, D2
-17.348271,-66.173209, Av. Circunvalación #1527, Mayorazgo, D2
-17.364386,-66.155504, Calle Mendoza #1528, Cala Cala, D2
-17.357883,-66.150802, Calle Litoral #1529, Temporal Pampa, D2
-17.346357,-66.196753, Calle Alemania #1530, Mayorazgo, D2
-17.345980,-66.191736, Calle Ecuador #1531, Cala Cala, D2
-17.363558,-66.159373, Av. Circunvalación #1532, Temporal Pampa, D2
-17.344004,-66.173024, Calle Mendoza #1533, Mayorazgo, D2
-17.363202,-66.166099, Calle Litoral #1534, Cala Cala, D2
-17.351644,-66.166201, Calle Alemania #1535, Temporal Pampa, D2
-17.349917,-66.168552, Calle Ecuador #1536, Mayorazgo, D2
-17.361473,-66.165221, Av. Circunvalación #1537, Cala Cala, D2
-17.338343,-66.185386, Calle Mendoza #1538, Temporal Pampa, D2
-17.353020,-66.177092, Calle Litoral #1539, Mayorazgo, D2
-17.349440,-66.177854, Calle Alemania #1540, Cala Cala, D2
-17.342177,-66.190586, Calle Ecuador #1541, Temporal Pampa, D2
-17.352692,-66.172423, Av. Circunvalación #1542, Mayorazgo, D2
-17.363195,-66.170815, Calle Mendoza #1543, Cala Cala, D2
-17.350735,-66.177978, Calle Litoral #1544, Temporal Pampa, D2
-17.354618,-66.183144, Calle Alemania #1545, Mayorazgo, D2
-17.364126,-66.168076, Calle Ecuador #1546, Cala Cala, D2
-17.357889,-66.157685, Av. Circunvalación #1547, Temporal Pampa, D2
-17.366233,-66.151497, Calle Mendoza #1548, Mayorazgo, D2
-17.351675,-66.177151, Calle Litoral #1549, Cala Cala, D2
-17.351944,-66.180241, Calle Alemania #1550, Temporal Pampa, D2
-17.349117,-66.183830, Calle Ecuador #1551, Mayorazgo, D2
-17.359748,-66.154194, Av. Circunvalación #1552, Cala Cala, D2
-17.352838,-66.184003, Calle Mendoza #1553, Temporal Pampa, D2
-17.338351,-66.182078, Calle Litoral #1554, Mayorazgo, D2
-17.362744,-66.171945, Calle Alemania #1555, Cala Cala, D2
-17.340100,-66.193234, Calle Ecuador #1556, Temporal Pampa, D2
-17.345100,-66.196510, Av. Circunvalación #1557, Mayorazgo, D2
-17.337392,-66.184582, Calle Mendoza #1558, Cala Cala, D2
-17.346168,-66.186869, Calle Litoral #1559, Temporal Pampa, D2
-17.365404,-66.155330, Calle Alemania #1560, Mayorazgo, D2
-17.354312,-66.181972, Calle Ecuador #1561, Cala Cala, D2
-17.340539,-66.193197, Av. Circunvalación #1562, Temporal Pampa, D2
-17.365661,-66.169088, Calle Mendoza #1563, Mayorazgo, D2
-17.346837,-66.173112, Calle Litoral #1564, Cala Cala, D2
-17.351669,-66.176819, Calle Alemania #1565, Temporal Pampa, D2
-17.359873,-66.176366, Calle Ecuador #1566, Mayorazgo, D2
-17.361686,-66.163617, Av. Circunvalación #1567, Cala Cala, D2
-17.353380,-66.167001, Calle Mendoza #1568, Temporal Pampa, D2
-17.354708,-66.171391, Calle Litoral #1569, Mayorazgo, D2
-17.350277,-66.177726, Calle Alemania #1570, Cala Cala, D2
-17.352596,-66.161901, Calle Ecuador #1571, Temporal Pampa, D2
-17.345296,-66.182710, Av. Circunvalación #1572, Mayorazgo, D2
-17.339002,-66.180024, Calle Mendoza #1573, Cala Cala, D2
-17.340269,-66.178859, Calle Litoral #1574, Temporal Pampa, D2
-17.340924,-66.192659, Calle Alemania #1575, Mayorazgo, D2
-17.351086,-66.164242, Calle Ecuador #1576, Cala Cala, D2
-17.358275,-66.164401, Av. Circunvalación #1577, Temporal Pampa, D2
-17.345605,-66.178585, Calle Mendoza #1578, Mayorazgo, D2
-17.362824,-66.166522, Calle Litoral #1579, Cala Cala, D2
-17.361382,-66.157220, Calle Alemania #1580, Temporal Pampa, D2
-17.343411,-66.190037, Calle Ecuador #1581, Mayorazgo, D2
-17.352288,-66.187540, Av. Circunvalación #1582, Cala Cala, D2
-17.358802,-66.181982, Calle Mendoza #1583, Temporal Pampa, D2
-17.348090,-66.193433, Calle Litoral #1584, Mayorazgo, D2
-17.347381,-66.182546, Calle Alemania #1585, Cala Cala, D2
-17.342249,-66.178126, Calle Ecuador #1586, Temporal Pampa, D2
-17.362108,-66.169033, Av. Circunvalación #1587, Mayorazgo, D2
-17.338011,-66.192993, Calle Mendoza #1588, Cala Cala, D2
-17.359137,-66.161216, Calle Litoral #1589, Temporal Pampa, D2
-17.339653,-66.189582, Calle Alemania #1590, Mayorazgo, D2
-17.362594,-66.165649, Calle Ecuador #1591, Cala Cala, D2
-17.349527,-66.168852, Av. Circunvalación #1592, Temporal Pampa, D2
-17.347089,-66.173926, Calle Mendoza #1593, Mayorazgo, D2
-17.361687,-66.171869, Calle Litoral #1594, Cala Cala, D2
-17.357133,-66.182221, Calle Alemania #1595, Temporal Pampa, D2
-17.339015,-66.179290, Calle Ecuador #1596, Mayorazgo, D2
-17.363123,-66.160116, Av. Circunvalación #1597, Cala Cala, D2
-17.359510,-66.158462, Calle Mendoza #1598, Temporal Pampa, D2
-17.358072,-66.161885, Calle Litoral #1599, Mayorazgo, D2
-17.354128,-66.162973, Calle Alemania #1600, Cala Cala, D2
-17.361542,-66.155489, Calle Ecuador #1601, Temporal Pampa, D2
-17.355670,-66.159703, Av. Circunvalación #1602, Mayorazgo, D2
-17.351359,-66.172905, Calle Mendoza #1603, Cala Cala, D2
-17.349354,-66.181675, Calle Litoral #1604, Temporal Pampa, D2
-17.344322,-66.195264, Calle Alemania #1605, Mayorazgo, D2
-17.342076,-66.177458, Calle Ecuador #1606, Cala Cala, D2
-17.345448,-66.171247, Av. Circunvalación #1607, Temporal Pampa, D2
-17.360706,-66.157276, Calle Mendoza #1608, Mayorazgo, D2
-17.349913,-66.175521, Calle Litoral #1609, Cala Cala, D2
-17.350259,-66.172165, Calle Alemania #1610, Temporal Pampa, D2
-17.339928,-66.181249, Calle Ecuador #1611, Mayorazgo, D2
-17.339936,-66.179524, Av. Circunvalación #1612, Cala Cala, D2
-17.346814,-66.180945, Calle Mendoza #1613, Temporal Pampa, D2
-17.337192,-66.185630, Calle Litoral #1614, Mayorazgo, D2
-17.348312,-66.194846, Calle Alemania #1615, Cala Cala, D2
-17.362234,-66.152423, Calle Ecuador #1616, Temporal Pampa, D2
-17.350750,-66.165540, Av. Circunvalación #1617, Mayorazgo, D2
-17.360519,-66.154370, Calle Mendoza #1618, Cala Cala, D2
-17.340397,-66.185856, Calle Litoral #1619, Temporal Pampa, D2
-17.361398,-66.168871, Calle Alemania #1620, Mayorazgo, D2
-17.363182,-66.152606, Calle Ecuador #1621, Cala Cala, D2
