-17.407483,-66.175647, Av. Blanco Galindo #100, Hipódromo, D4
-17.386771,-66.196634, Av. Blanco Galindo #900, Coña Coña, D4
-17.408537,-66.183412, Calle Tupuraya #901, Hipódromo, D4
-17.394701,-66.185898, Calle Melchor Pérez #902, La Chimba, D4
-17.393989,-66.177786, Calle Jordán #903, Coña Coña, D4
-17.406398,-66.184641, Calle Portales #904, Hipódromo, D4
-17.394084,-66.190862, Av. Blanco Galindo #905, La Chimba, D4
-17.405793,-66.174749, Calle Tupuraya #906, Coña Coña, D4
-17.403790,-66.186425, Calle Melchor Pérez #907, Hipódromo, D4
-17.387821,-66.203551, Calle Jordán #908, La Chimba, D4
-17.407477,-66.183331, Calle Portales #909, Coña Coña, D4
-17.393225,-66.187275, Av. Blanco Galindo #910, Hipódromo, D4
-17.397129,-66.198145, Calle Tupuraya #911, La Chimba, D4
-17.401887,-66.177941, Calle Melchor Pérez #912, Coña Coña, D4
-17.408319,-66.179944, Calle Jordán #913, Hipódromo, D4
-17.401173,-66.175186, Calle Portales #914, La Chimba, D4
-17.394807,-66.200473, Av. Blanco Galindo #915, Coña Coña, D4
-17.404352,-66.175655, Calle Tupuraya #916, Hipódromo, D4
-17.401006,-66.179796, Calle Melchor Pérez #917, La Chimba, D4
-17.399373,-66.203352, Calle Jordán #918, Coña Coña, D4
-17.395382,-66.171737, Calle Portales #919, Hipódromo, D4
-17.399829,-66.172351, Av. Blanco Galindo #920, La Chimba, D4
-17.382705,-66.197231, Calle Tupuraya #921, Coña Coña, D4
-17.398115,-66.189031, Calle Melchor Pérez #922, Hipódromo, D4
-17.397717,-66.206024, Calle Jordán #923, La Chimba, D4
-17.396852,-66.211843, Calle Portales #924, Coña Coña, D4
-17.396454,-66.170355, Av. Blanco Galindo #925, Hipódromo, D4
-17.394196,-66.200963, Calle Tupuraya #926, La Chimba, D4
-17.383685,-66.203399, Calle Melchor Pérez #927, Coña Coña, D4
-17.398286,-66.207438, Calle Jordán #928, Hipódromo, D4
-17.392661,-66.206123, Calle Portales #929, La Chimba, D4
-17.398117,-66.175875, Av. Blanco Galindo #930, Coña Coña, D4
-17.388176,-66.205363, Calle Tupuraya #931, Hipódromo, D4
-17.390943,-66.205519, Calle Melchor Pérez #932, La Chimba, D4
-17.403537,-66.182202, Calle Jordán #933, Coña Coña, D4
-17.399688,-66.172499, Calle Portales #934, Hipódromo, D4
-17.397678,-66.174336, Av. Blanco Galindo #935, La Chimba, D4
-17.394345,-66.198486, Calle Tupuraya #936, Coña Coña, D4
-17.394953,-66.179780, Calle Melchor Pérez #937, Hipódromo, D4
-17.389461,-66.202451, Calle Jordán #938, La Chimba, D4
-17.394169,-66.195850, Calle Portales #939, Coña Coña, D4
-17.402002,-66.183108, Av. Blanco Galindo #940, Hipódromo, D4
-17.400673,-66.181605, Calle Tupuraya #941, La Chimba, D4
-17.396196,-66.178505, Calle Melchor Pérez #942, Coña Coña, D4
-17.388080,-66.197790, Calle Jordán #943, Hipódromo, D4
-17.399108,-66.169377, Calle Portales #944, La Chimba, D4
-17.404502,-66.179550, Av. Blanco Galindo #945, Coña Coña, D4
-17.395444,-66.183195, Calle Tupuraya #946, Hipódromo, D4
-17.406898,-66.189480, Calle Melchor Pérez #947, La Chimba, D4
-17.409536,-66.180623, Calle Jordán #948, Coña Coña, D4
-17.394643,-66.179472, Calle Portales #949, Hipódromo, D4
-17.401082,-66.188334, Av. Blanco Galindo #950, La Chimba, D4
-17.398489,-66.209756, Calle Tupuraya #951, Coña Coña, D4
-17.406171,-66.178102, Calle Melchor Pérez #952, Hipódromo, D4
-17.407758,-66.198655, Calle Jordán #953, La Chimba, D4
-17.409890,-66.177872, Calle Portales #954, Coña Coña, D4
-17.402408,-66.181977, Av. Blanco Galindo #955, Hipódromo, D4
-17.396887,-66.198884, Calle Tupuraya #956, La Chimba, D4
-17.407774,-66.175432, Calle Melchor Pérez #957, Coña Coña, D4
-17.410255,-66.180281, Calle Jordán #958, Hipódromo, D4
-17.396679,-66.211004, Calle Portales #959, La Chimba, D4
-17.393217,-66.185632, Av. Blanco Galindo #960, Coña Coña, D4
-17.396908,-66.177765, Calle Tupuraya #961, Hipódromo, D4
-17.394510,-66.192543, Calle Melchor Pérez #962, La Chimba, D4
-17.399515,-66.170103, Calle Jordán #963, Coña Coña, D4
-17.399238,-66.212761, Calle Portales #964, Hipódromo, D4
-17.403353,-66.170477, Av. Blanco Galindo #965, La Chimba, D4
-17.387853,-66.200946, Calle Tupuraya #966, Coña Coña, D4
-17.395826,-66.196627, Calle Melchor Pérez #967, Hipódromo, D4
-17.404337,-66.198583, Calle Jordán #968, La Chimba, D4
-17.398863,-66.210739, Calle Portales #969, Coña Coña, D4
-17.396946,-66.207307, Av. Blanco Galindo #970, Hipódromo, D4
-17.400061,-66.194570, Calle Tupuraya #971, La Chimba, D4
-17.400275,-66.196030, Calle Melchor Pérez #972, Coña Coña, D4
-17.393023,-66.207181, Calle Jordán #973, Hipódromo, D4
-17.384569,-66.203213, Calle Portales #974, La Chimba, D4
-17.397437,-66.196748, Av. Blanco Galindo #975, Coña Coña, D4
-17.386572,-66.205475, Calle Tupuraya #976, Hipódromo, D4
-17.394251,-66.171691, Calle Melchor Pérez #977, La Chimba, D4
-17.408126,-66.177210, Calle Jordán #978, Coña Coña, D4
-17.396803,-66.204340, Calle Portales #979, Hipódromo, D4
-17.386280,-66.206129, Av. Blanco Galindo #980, La Chimba, D4
-17.395456,-66.168713, Calle Tupuraya #981, Coña Coña, D4
-17.396855,-66.189913, Calle Melchor Pérez #982, Hipódromo, D4
-17.393653,-66.179670, Calle Jordán #983, La Chimba, D4
-17.394289,-66.185569, Calle Portales #984, Coña Coña, D4
-17.402955,-66.174015, Av. Blanco Galindo #985, Hipódromo, D4
-17.391488,-66.198115, Calle Tupuraya #986, La Chimba, D4
-17.394500,-66.198675, Calle Melchor Pérez #987, Coña Coña, D4
-17.394570,-66.206975, Calle Jordán #988, Hipódromo, D4
-17.406357,-66.171920, Calle Portales #989, La Chimba, D4
-17.397197,-66.188741, Av. Blanco Galindo #990, Coña Coña, D4
-17.393255,-66.206641, Calle Tupuraya #991, Hipódromo, D4
-17.397213,-66.180730, Calle Melchor Pérez #992, La Chimba, D4
-17.391281,-66.203637, Calle Jordán #993, Coña Coña, D4
-17.397496,-66.179785, Calle Portales #994, Hipódromo, D4
-17.394182,-66.201456, Av. Blanco Galindo #995, La Chimba, D4
-17.384553,-66.204360, Calle Tupuraya #996, Coña Coña, D4
-17.400561,-66.190590, Calle Melchor Pérez #997, Hipódromo, D4
-17.393556,-66.188078, Calle Jordán #998, La Chimba, D4
-17.401440,-66.187568, Calle Portales #999, Coña Coña, D4
-17.405453,-66.177641, Av. Blanco Galindo #1000, Hipódromo, D4
-17.397346,-66.179346, Calle Tupuraya #1001, La Chimba, D4
-17.397092,-66.198714, Calle Melchor Pérez #1002, Coña Coña, D4
-17.382074,-66.201106, Calle Jordán #1003, Hipódromo, D4
-17.404878,-66.182473, Calle Portales #1004, La Chimba, D4
-17.394071,-66.200792, Av. Blanco Galindo #1005, Coña Coña, D4
-17.383525,-66.207461, Calle Tupuraya #1006, Hipódromo, D4
-17.382821,-66.203276, Calle Melchor Pérez #1007, La Chimba, D4
-17.399536,-66.215098, Calle Jordán #1008, Coña Coña, D4
-17.398916,-66.188379, Calle Portales #1009, Hipódromo, D4
-17.392858,-66.197140, Av. Blanco Galindo #1010, La Chimba, D4
-17.389194,-66.204378, Calle Tupuraya #1011, Coña Coña, D4
-17.397671,-66.182333, Calle Melchor Pérez #1012, Hipódromo, D4
-17.400161,-66.172505, Calle Jordán #1013, La Chimba, D4
-17.398801,-66.211677, Calle Portales #1014, Coña Coña, D4
-17.391066,-66.198408, Av. Blanco Galindo #1015, Hipódromo, D4
-17.397603,-66.189580, Calle Tupuraya #1016, La Chimba, D4
-17.406831,-66.177132, Calle Melchor Pérez #1017, Coña Coña, D4
-17.397101,-66.179718, Calle Jordán #1018, Hipódromo, D4
-17.404628,-66.197215, Calle Portales #1019, La Chimba, D4
-17.392194,-66.203331, Av. Blanco Galindo #1020, Coña Coña, D4
-17.396893,-66.170414, Calle Tupuraya #1021, Hipódromo, D4
-17.403332,-66.172807, Calle Melchor Pérez #1022, La Chimba, D4
-17.387441,-66.201739, Calle Jordán #1023, Coña Coña, D4
-17.394473,-66.191392, Calle Portales #1024, Hipódromo, D4
-17.388154,-66.197825, Av. Blanco Galindo #1025, La Chimba, D4
-17.404404,-66.174674, Calle Tupuraya #1026, Coña Coña, D4
-17.397605,-66.211959, Calle Melchor Pérez #1027, Hipódromo, D4
-17.381668,-66.202587, Calle Jordán #1028, La Chimba, D4
-17.395408,-66.193027, Calle Portales #1029, Coña Coña, D4
-17.397174,-66.196988, Av. Blanco Galindo #1030, Hipódromo, D4
-17.401324,-66.187570, Calle Tupuraya #1031, La Chimba, D4
-17.399397,-66.190292, Calle Melchor Pérez #1032, Coña Coña, D4
-17.388440,-66.203821, Calle Jordán #1033, Hipódromo, D4
-17.403200,-66.175192, Calle Portales #1034, La Chimba, D4
-17.394469,-66.198500, Av. Blanco Galindo #1035, Coña Coña, D4
-17.400713,-66.178907, Calle Tupuraya #1036, Hipódromo, D4
-17.391413,-66.203757, Calle Melchor Pérez #1037, La Chimba, D4
-17.393791,-66.196597, Calle Jordán #1038, Coña Coña, D4
-17.384397,-66.206495, Calle Portales #1039, Hipódromo, D4
-17.398964,-66.210925, Av. Blanco Galindo #1040, La Chimba, D4
-17.385616,-66.206263, Calle Tupuraya #1041, Coña Coña, D4
-17.400120,-66.192584, Calle Melchor Pérez #1042, Hipódromo, D4
-17.396513,-66.175995, Calle Jordán #1043, La Chimba, D4
-17.386279,-66.206093, Calle Portales #1044, Coña Coña, D4
-17.398656,-66.193306, Av. Blanco Galindo #1045, Hipódromo, D4
-17.383195,-66.202190, Calle Tupuraya #1046, La Chimba, D4
-17.407300,-66.182636, Calle Melchor Pérez #1047, Coña Coña, D4
-17.394541,-66.187282, Calle Jordán #1048, Hipódromo, D4
-17.401622,-66.178651, Calle Portales #1049, La Chimba, D4
-17.397349,-66.203621, Av. Blanco Galindo #1050, Coña Coña, D4
-17.400761,-66.184819, Calle Tupuraya #1051, Hipódromo, D4
-17.405546,-66.179629, Calle Melchor Pérez #1052, La Chimba, D4
-17.398106,-66.208672, Calle Jordán #1053, Coña Coña, D4
-17.382212,-66.196841, Calle Portales #1054, Hipódromo, D4
-17.398662,-66.169464, Av. Blanco Galindo #1055, La Chimba, D4
-17.398950,-66.205634, Calle Tupuraya #1056, Coña Coña, D4
-17.409103,-66.184084, Calle Melchor Pérez #1057, Hipódromo, D4
-17.387977,-66.197889, Calle Jordán #1058, La Chimba, D4
-17.404203,-66.174607, Calle Portales #1059, Coña Coña, D4
-17.394306,-66.187497, Av. Blanco Galindo #1060, Hipódromo, D4
-17.387997,-66.203442, Calle Tupuraya #1061, La Chimba, D4
-17.394478,-66.186352, Calle Melchor Pérez #1062, Coña Coña, D4
-17.381551,-66.197539, Calle Jordán #1063, Hipódromo, D4
-17.391414,-66.203778, Calle Portales #1064, La Chimba, D4
-17.393882,-66.195516, Av. Blanco Galindo #1065, Coña Coña, D4
-17.399542,-66.215187, Calle Tupuraya #1066, Hipódromo, D4
-17.403730,-66.197795, Calle Melchor Pérez #1067, La Chimba, D4
-17.399259,-66.176267, Calle Jordán #1068, Coña Coña, D4
-17.397095,-66.173984, Calle Portales #1069, Hipódromo, D4
-17.385513,-66.201697, Av. Blanco Galindo #1070, La Chimba, D4
-17.405609,-66.176681, Calle Tupuraya #1071, Coña Coña, D4
-17.390461,-66.207813, Calle Melchor Pérez #1072, Hipódromo, D4
-17.399683,-66.208456, Calle Jordán #1073, La Chimba, D4
-17.408006,-66.177985, Calle Portales #1074, Coña Coña, D4
-17.394803,-66.205582, Av. Blanco Galindo #1075, Hipódromo, D4
-17.396201,-66.204273, Calle Tupuraya #1076, La Chimba, D4
-17.406229,-66.184763, Calle Melchor Pérez #1077, Coña Coña, D4
-17.394598,-66.196598, Calle Jordán #1078, Hipódromo, D4
-17.394214,-66.189275, Calle Portales #1079, La Chimba, D4
-17.395205,-66.186630, Av. Blanco Galindo #1080, Coña Coña, D4
-17.399072,-66.214423, Calle Tupuraya #1081, Hipódromo, D4
-17.393297,-66.206460, Calle Melchor Pérez #1082, La Chimba, D4
-17.410606,-66.178843, Calle Jordán #1083, Coña Coña, D4
-17.401068,-66.187365, Calle Portales #1084, Hipódromo, D4
-17.402933,-66.172992, Av. Blanco Galindo #1085, La Chimba, D4
-17.407382,-66.174535, Calle Tupuraya #1086, Coña Coña, D4
-17.396348,-66.209523, Calle Melchor Pérez #1087, Hipódromo, D4
-17.406892,-66.176287, Calle Jordán #1088, La Chimba, D4
-17.404566,-66.187718, Calle Portales #1089, Coña Coña, D4
-17.383135,-66.204669, Av. Blanco Galindo #1090, Hipódromo, D4
-17.406134,-66.183581, Calle Tupuraya #1091, La Chimba, D4
-17.403283,-66.183855, Calle Melchor Pérez #1092, Coña Coña, D4
-17.399768,-66.199547, Calle Jordán #1093, Hipódromo, D4
-17.398134,-66.196647, Calle Portales #1094, La Chimba, D4
-17.398769,-66.207908, Av. Blanco Galindo #1095, Coña Coña, D4
-17.401955,-66.184888, Calle Tupuraya #1096, Hipódromo, D4
-17.401557,-66.196944, Calle Melchor Pérez #1097, La Chimba, D4
-17.402652,-66.178687, Calle Jordán #1098, Coña Coña, D4
-17.394436,-66.185337, Calle Portales #1099, Hipódromo, D4
-17.401471,-66.171937, Av. Blanco Galindo #1100, La Chimba, D4
-17.395575,-66.183636, Calle Tupuraya #1101, Coña Coña, D4
-17.385318,-66.206543, Calle Melchor Pérez #1102, Hipódromo, D4
-17.398695,-66.205193, Calle Jordán #1103, La Chimba, D4
-17.403231,-66.181842, Calle Portales #1104, Coña Coña, D4
-17.389950,-66.202579, Av. Blanco Galindo #1105, Hipódromo, D4
-17.399831,-66.188557, Calle Tupuraya #1106, La Chimba, D4
-17.394747,-66.189446, Calle Melchor Pérez #1107, Coña Coña, D4
-17.397174,-66.208542, Calle Jordán #1108, Hipódromo, D4
-17.405647,-66.198265, Calle Portales #1109, La Chimba, D4
-17.396687,-66.194174, Av. Blanco Galindo #1110, Coña Coña, D4
-17.403790,-66.198606, Calle Tupuraya #1111, Hipódromo, D4
-17.383064,-66.196856, Calle Melchor Pérez #1112, La Chimba, D4
-17.405760,-66.184039, Calle Jordán #1113, Coña Coña, D4
-17.392810,-66.198827, Calle Portales #1114, Hipódromo, D4
-17.397113,-66.192146, Av. Blanco Galindo #1115, La Chimba, D4
-17.397335,-66.191100, Calle Tupuraya #1116, Coña Coña, D4
-17.403435,-66.180245, Calle Melchor Pérez #1117, Hipódromo, D4
-17.398664,-66.200246, Calle Jordán #1118, La Chimba, D4
-17.395576,-66.194291, Calle Portales #1119, Coña Coña, D4
-17.383744,-66.204227, Av. Blanco Galindo #1120, Hipódromo, D4
-17.401420,-66.185469, Calle Tupuraya #1121, La Chimba, D4
-17.394807,-66.205390, Calle Melchor Pérez #1122, Coña Coña, D4
-17.407170,-66.174693, Calle Jordán #1123, Hipódromo, D4
-17.396273,-66.182229, Calle Portales #1124, La Chimba, D4
-17.393428,-66.183144, Av. Blanco Galindo #1125, Coña Coña, D4
-17.399649,-66.215410, Calle Tupuraya #1126, Hipódromo, D4
-17.397283,-66.192110, Calle Melchor Pérez #1127, La Chimba, D4
-17.407226,-66.178748, Calle Jordán #1128, Coña Coña, D4
-17.398713,-66.212092, Calle Portales #1129, Hipódromo, D4
-17.383490,-66.203178, Av. Blanco Galindo #1130, La Chimba, D4
-17.405350,-66.174485, Calle Tupuraya #1131, Coña Coña, D4
-17.408766,-66.180175, Calle Melchor Pérez #1132, Hipódromo, D4
-17.395567,-66.180359, Calle Jordán #1133, La Chimba, D4
-17.389917,-66.197135, Calle Portales #1134, Coña Coña, D4
-17.388144,-66.201735, Av. Blanco Galindo #1135, Hipódromo, D4
-17.392976,-66.204693, Calle Tupuraya #1136, La Chimba, D4
-17.398895,-66.184345, Calle Melchor Pérez #1137, Coña Coña, D4
-17.396721,-66.178078, Calle Jordán #1138, Hipódromo, D4
-17.405461,-66.173574, Calle Portales #1139, La Chimba, D4
-17.393474,-66.198358, Av. Blanco Galindo #1140, Coña Coña, D4
-17.403375,-66.184117, Calle Tupuraya #1141, Hipódromo, D4
-17.395546,-66.190239, Calle Melchor Pérez #1142, La Chimba, D4
-17.406459,-66.188515, Calle Jordán #1143, Coña Coña, D4
-17.390910,-66.202133, Calle Portales #1144, Hipódromo, D4
-17.399987,-66.173864, Av. Blanco Galindo #1145, La Chimba, D4
-17.390532,-66.205044, Calle Tupuraya #1146, Coña Coña, D4
-17.396117,-66.174862, Calle Melchor Pérez #1147, Hipódromo, D4
-17.395622,-66.173423, Calle Jordán #1148, La Chimba, D4
-17.394494,-66.198724, Calle Portales #1149, Coña Coña, D4
-17.398713,-66.188949, Av. Blanco Galindo #1150, Hipódromo, D4
-17.405919,-66.185775, Calle Tupuraya #1151, La Chimba, D4
-17.398104,-66.210291, Calle Melchor Pérez #1152, Coña Coña, D4
-17.394201,-66.179497, Calle Jordán #1153, Hipódromo, D4
-17.401304,-66.171197, Calle Portales #1154, La Chimba, D4
-17.398952,-66.207801, Av. Blanco Galindo #1155, Coña Coña, D4
-17.387031,-66.197774, Calle Tupuraya #1156, Hipódromo, D4
-17.397767,-66.184104, Calle Melchor Pérez #1157, La Chimba, D4
-17.393839,-66.206205, Calle Jordán #1158, Coña Coña, D4
-17.386062,-66.204984, Calle Portales #1159, Hipódromo, D4
-17.393267,-66.196072, Av. Blanco Galindo #1160, La Chimba, D4
-17.398912,-66.171010, Calle Tupuraya #1161, Coña Coña, D4
-17.398408,-66.214386, Calle Melchor Pérez #1162, Hipódromo, D4
-17.402416,-66.188113, Calle Jordán #1163, La Chimba, D4
-17.382230,-66.201188, Calle Portales #1164, Coña Coña, D4
-17.408293,-66.179581, Av. Blanco Galindo #1165, Hipódromo, D4
-17.397562,-66.169343, Calle Tupuraya #1166, La Chimba, D4
-17.393070,-66.189351, Calle Melchor Pérez #1167, Coña Coña, D4
-17.404798,-66.189008, Calle Jordán #1168, Hipódromo, D4
-17.399776,-66.211493, Calle Portales #1169, La Chimba, D4
-17.405688,-66.175773, Av. Blanco Galindo #1170, Coña Coña, D4
-17.397435,-66.193183, Calle Tupuraya #1171, Hipódromo, D4
-17.395875,-66.168584, Calle Melchor Pérez #1172, La Chimba, D4
-17.396845,-66.196002, Calle Jordán #1173, Coña Coña, D4
-17.394998,-66.169591, Calle Portales #1174, Hipódromo, D4
-17.406347,-66.186589, Av. Blanco Galindo #1175, La Chimba, D4
-17.403980,-66.177759, Calle Tupuraya #1176, Coña Coña, D4
-17.402240,-66.181924, Calle Melchor Pérez #1177, Hipódromo, D4
-17.396555,-66.212069, Calle Jordán #1178, La Chimba, D4
-17.394049,-66.194634, Calle Portales #1179, Coña Coña, D4
-17.404052,-66.181404, Av. Blanco Galindo #1180, Hipódromo, D4
-17.400027,-66.169567, Calle Tupuraya #1181, La Chimba, D4
-17.401717,-66.184229, Calle Melchor Pérez #1182, Coña Coña, D4
-17.384239,-66.203907, Calle Jordán #1183, Hipódromo, D4
-17.403622,-66.177160, Calle Portales #1184, La Chimba, D4
-17.384929,-66.198051, Av. Blanco Galindo #1185, Coña Coña, D4
-17.394322,-66.192260, Calle Tupuraya #1186, Hipódromo, D4
-17.398148,-66.200802, Calle Melchor Pérez #1187, La Chimba, D4
-17.391428,-66.208081, Calle Jordán #1188, Coña Coña, D4
-17.399986,-66.196922, Calle Portales #1189, Hipódromo, D4
-17.401227,-66.182742, Av. Blanco Galindo #1190, La Chimba, D4
-17.396385,-66.196912, Calle Tupuraya #1191, Coña Coña, D4
-17.398982,-66.208970, Calle Melchor Pérez #1192, Hipódromo, D4
-17.394064,-66.182909, Calle Jordán #1193, La Chimba, D4
-17.404440,-66.175582, Calle Portales #1194, Coña Coña, D4
-17.404782,-66.174160, Av. Blanco Galindo #1195, Hipódromo, D4
-17.397702,-66.189124, Calle Tupuraya #1196, La Chimba, D4
-17.399724,-66.181399, Calle Melchor Pérez #1197, Coña Coña, D4
-17.382111,-66.200493, Calle Jordán #1198, Hipódromo, D4
-17.384379,-66.202730, Calle Portales #1199, La Chimba, D4
-17.407932,-66.175613, Av. Blanco Galindo #1200, Coña Coña, D4
-17.394980,-66.176834, Calle Tupuraya #1201, Hipódromo, D4
-17.399213,-66.178544, Calle Melchor Pérez #1202, La Chimba, D4
-17.396369,-66.205763, Calle Jordán #1203, Coña Coña, D4
-17.406353,-66.185196, Calle Portales #1204, Hipódromo, D4
-17.390193,-66.201091, Av. Blanco Galindo #1205, La Chimba, D4
-17.399027,-66.193998, Calle Tupuraya #1206, Coña Coña, D4
-17.407827,-66.179260, Calle Melchor Pérez #1207, Hipódromo, D4
-17.394952,-66.189419, Calle Jordán #1208, La Chimba, D4
-17.390713,-66.207707, Calle Portales #1209, Coña Coña, D4
-17.406743,-66.174164, Av. Blanco Galindo #1210, Hipódromo, D4
-17.404209,-66.176865, Calle Tupuraya #1211, La Chimba, D4
-17.389393,-66.199248, Calle Melchor Pérez #1212, Coña Coña, D4
-17.386238,-66.197069, Calle Jordán #1213, Hipódromo, D4
-17.396067,-66.183281, Calle Portales #1214, La Chimba, D4
-17.384323,-66.202101, Av. Blanco Galindo #1215, Coña Coña, D4
-17.385230,-66.203908, Calle Tupuraya #1216, Hipódromo, D4
-17.388394,-66.206100, Calle Melchor Pérez #1217, La Chimba, D4
-17.396890,-66.192473, Calle Jordán #1218, Coña Coña, D4
-17.391981,-66.206485, Calle Portales #1219, Hipódromo, D4
-17.403673,-66.173524, Av. Blanco Galindo #1220, La Chimba, D4
-17.403307,-66.181412, Calle Tupuraya #1221, Coña Coña, D4
-17.392386,-66.199950, Calle Melchor Pérez #1222, Hipódromo, D4
-17.393278,-66.205361, Calle Jordán #1223, La Chimba, D4
-17.397759,-66.196767, Calle Portales #1224, Coña Coña, D4
-17.382304,-66.197992, Av. Blanco Galindo #1225, Hipódromo, D4
-17.397153,-66.177155, Calle Tupuraya #1226, La Chimba, D4
-17.398895,-66.201011, Calle Melchor Pérez #1227, Coña Coña, D4
-17.404166,-66.171476, Calle Jordán #1228, Hipódromo, D4
-17.396880,-66.187185, Calle Portales #1229, La Chimba, D4
-17.395197,-66.202365, Av. Blanco Galindo #1230, Coña Coña, D4
-17.399841,-66.172038, Calle Tupuraya #1231, Hipódromo, D4
-17.382756,-66.202878, Calle Melchor Pérez #1232, La Chimba, D4
-17.391642,-66.206845, Calle Jordán #1233, Coña Coña, D4
-17.397759,-66.184423, Calle Portales #1234, Hipódromo, D4
-17.408017,-66.182358, Av. Blanco Galindo #1235, La Chimba, D4
-17.403913,-66.180142, Calle Tupuraya #1236, Coña Coña, D4
-17.398097,-66.192301, Calle Melchor Pérez #1237, Hipódromo, D4
-17.407069,-66.175673, Calle Jordán #1238, La Chimba, D4
-17.406738,-66.180712, Calle Portales #1239, Coña Coña, D4
-17.404926,-66.186717, Av. Blanco Galindo #1240, Hipódromo, D4
-17.382452,-66.197937, Calle Tupuraya #1241, La Chimba, D4
-17.385563,-66.198795, Calle Melchor Pérez #1242, Coña Coña, D4
-17.382173,-66.202113, Calle Jordán #1243, Hipódromo, D4
-17.395909,-66.171735, Calle Portales #1244, La Chimba, D4
-17.396098,-66.196207, Av. Blanco Galindo #1245, Coña Coña, D4
-17.409272,-66.179082, Calle Tupuraya #1246, Hipódromo, D4
-17.393194,-66.192561, Calle Melchor Pérez #1247, La Chimba, D4
-17.393614,-66.205868, Calle Jordán #1248, Coña Coña, D4
-17.398452,-66.196929, Calle Portales #1249, Hipódromo, D4
-17.396212,-66.208009, Av. Blanco Galindo #1250, La Chimba, D4
-17.404480,-66.198785, Calle Tupuraya #1251, Coña Coña, D4
-17.385462,-66.204561, Calle Melchor Pérez #1252, Hipódromo, D4
-17.396025,-66.200325, Calle Jordán #1253, La Chimba, D4
-17.398517,-66.177578, Calle Portales #1254, Coña Coña, D4
-17.384460,-66.202362, Av. Blanco Galindo #1255, Hipódromo, D4
-17.402708,-66.176855, Calle Tupuraya #1256, La Chimba, D4
-17.385690,-66.201802, Calle Melchor Pérez #1257, Coña Coña, D4
-17.405107,-66.198553, Calle Jordán #1258, Hipódromo, D4
-17.408652,-66.178282, Calle Portales #1259, La Chimba, D4
-17.404479,-66.174556, Av. Blanco Galindo #1260, Coña Coña, D4
-17.396237,-66.192977, Calle Tupuraya #1261, Hipódromo, D4
-17.385389,-66.206660, Calle Melchor Pérez #1262, La Chimba, D4
-17.397850,-66.170199, Calle Jordán #1263, Coña Coña, D4
-17.397232,-66.180614, Calle Portales #1264, Hipódromo, D4
-17.394986,-66.202719, Av. Blanco Galindo #1265, La Chimba, D4
-17.383432,-66.201544, Calle Tupuraya #1266, Coña Coña, D4
-17.400572,-66.178851, Calle Melchor Pérez #1267, Hipódromo, D4
-17.400907,-66.188066, Calle Jordán #1268, La Chimba, D4
-17.399125,-66.173248, Calle Portales #1269, Coña Coña, D4
-17.393808,-66.197729, Av. Blanco Galindo #1270, Hipódromo, D4
-17.403008,-66.170689, Calle Tupuraya #1271, La Chimba, D4
-17.398584,-66.190263, Calle Melchor Pérez #1272, Coña Coña, D4
-17.385064,-66.207428, Calle Jordán #1273, Hipódromo, D4
-17.403031,-66.171602, Calle Portales #1274, La Chimba, D4
-17.403978,-66.170739, Av. Blanco Galindo #1275, Coña Coña, D4
-17.402936,-66.197615, Calle Tupuraya #1276, Hipódromo, D4
-17.396197,-66.204178, Calle Melchor Pérez #1277, La Chimba, D4
-17.399739,-66.171753, Calle Jordán #1278, Coña Coña, D4
-17.397393,-66.208155, Calle Portales #1279, Hipódromo, D4
-17.394014,-66.184820, Av. Blanco Galindo #1280, La Chimba, D4
-17.407269,-66.179951, Calle Tupuraya #1281, Coña Coña, D4
-17.399085,-66.193208, Calle Melchor Pérez #1282, Hipódromo, D4
-17.395237,-66.187211, Calle Jordán #1283, La Chimba, D4
-17.396102,-66.189532, Calle Portales #1284, Coña Coña, D4
-17.399699,-66.184728, Av. Blanco Galindo #1285, Hipódromo, D4
-17.399058,-66.209965, Calle Tupuraya #1286, La Chimba, D4
-17.397255,-66.173853, Calle Melchor Pérez #1287, Coña Coña, D4
-17.400818,-66.181169, Calle Jordán #1288, Hipódromo, D4
-17.396443,-66.190855, Calle Portales #1289, La Chimba, D4
-17.393412,-66.182447, Av. Blanco Galindo #1290, Coña Coña, D4
-17.397117,-66.202789, Calle Tupuraya #1291, Hipódromo, D4
-17.399772,-66.169219, Calle Melchor Pérez #1292, La Chimba, D4
-17.406908,-66.173762, Calle Jordán #1293, Coña Coña, D4
-17.395415,-66.182317, Calle Portales #1294, Hipódromo, D4
-17.397326,-66.210311, Av. Blanco Galindo #1295, La Chimba, D4
-17.385200,-66.205402, Calle Tupuraya #1296, Coña Coña, D4
-17.395412,-66.202769, Calle Melchor Pérez #1297, Hipódromo, D4
-17.397911,-66.168868, Calle Jordán #1298, La Chimba, D4
-17.406318,-66.188864, Calle Portales #1299, Coña Coña, D4
-17.384890,-66.200172, Av. Blanco Galindo #1300, Hipódromo, D4
-17.389301,-66.200662, Calle Tupuraya #1301, La Chimba, D4
-17.395168,-66.173166, Calle Melchor Pérez #1302, Coña Coña, D4
-17.396094,-66.172346, Calle Jordán #1303, Hipódromo, D4
-17.393048,-66.188710, Calle Portales #1304, La Chimba, D4
-17.383899,-66.207797, Av. Blanco Galindo #1305, Coña Coña, D4
-17.396362,-66.183552, Calle Tupuraya #1306, Hipódromo, D4
