-17.433056,-66.138849, Calle Roma #100, Ticti Norte, D8
-17.467041,-66.087443, Calle Ticti #1147, Ticti Norte, D8
-17.480142,-66.096222, Calle Sierra Nevada #1148, Valle Hermoso, D8
-17.476093,-66.104100, Calle Colorado #1149, Ushpa Ushpa, D8
-17.438862,-66.138932, Calle Roma #1150, Ticti Norte, D8
-17.464992,-66.091818, Calle Hamburgo #1151, Valle Hermoso, D8
-17.430391,-66.146304, Calle Ticti #1152, Ushpa Ushpa, D8
-17.472938,-66.105865, Calle Sierra Nevada #1153, Ticti Norte, D8
-17.469020,-66.099332, Calle Colorado #1154, Valle Hermoso, D8
-17.463837,-66.112194, Calle Roma #1155, Ushpa Ushpa, D8
-17.435305,-66.146071, Calle Hamburgo #1156, Ticti Norte, D8
-17.482156,-66.097364, Calle Ticti #1157, Valle Hermoso, D8
-17.454631,-66.120841, Calle Sierra Nevada #1158, Ushpa Ushpa, D8
-17.439294,-66.143253, Calle Colorado #1159, Ticti Norte, D8
-17.459872,-66.103365, Calle Roma #1160, Valle Hermoso, D8
-17.447815,-66.097316, Calle Hamburgo #1161, Ushpa Ushpa, D8
-17.461264,-66.119981, Calle Ticti #1162, Ticti Norte, D8
-17.434963,-66.132659, Calle Sierra Nevada #1163, Valle Hermoso, D8
-17.430188,-66.145879, Calle Colorado #1164, Ushpa Ushpa, D8
-17.463208,-66.101704, Calle Roma #1165, Ticti Norte, D8
-17.458303,-66.098442, Calle Hamburgo #1166, Valle Hermoso, D8
-17.437445,-66.143060, Calle Ticti #1167, Ushpa Ushpa, D8
-17.456471,-66.091988, Calle Sierra Nevada #1168, Ticti Norte, D8
-17.459470,-66.089280, Calle Colorado #1169, Valle Hermoso, D8
-17.465443,-66.109288, Calle Roma #1170, Ushpa Ushpa, D8
-17.463175,-66.095263, Calle Hamburgo #1171, Ticti Norte, D8
-17.455351,-66.119764, Calle Ticti #1172, Valle Hermoso, D8
-17.428910,-66.134209, Calle Sierra Nevada #1173, Ushpa Ushpa, D8
-17.437183,-66.144501, Calle Colorado #1174, Ticti Norte, D8
-17.474573,-66.097579, Calle Roma #1175, Valle Hermoso, D8
-17.469334,-66.109174, Calle Hamburgo #1176, Ushpa Ushpa, D8
-17.475120,-66.089538, Calle Ticti #1177, Ticti Norte, D8
-17.470693,-66.102666, Calle Sierra Nevada #1178, Valle Hermoso, D8
-17.431305,-66.131542, Calle Colorado #1179, Ushpa Ushpa, D8
-17.480950,-66.099131, Calle Roma #1180, Ticti Norte, D8
-17.451852,-66.120673, Calle Hamburgo #1181, Valle Hermoso, D8
-17.465608,-66.103231, Calle Ticti #1182, Ushpa Ushpa, D8
-17.474866,-66.110213, Calle Sierra Nevada #1183, Ticti Norte, D8
-17.452780,-66.104891, Calle Colorado #1184, Valle Hermoso, D8
-17.432923,-66.131298, Calle Roma #1185, Ushpa Ushpa, D8
-17.435073,-66.131936, Calle Hamburgo #1186, Ticti Norte, D8
-17.480163,-66.105288, Calle Ticti #1187, Valle Hermoso, D8
-17.440881,-66.133556, Calle Sierra Nevada #1188, Ushpa Ushpa, D8
-17.448611,-66.129905, Calle Colorado #1189, Ticti Norte, D8
-17.454275,-66.124318, Calle Roma #1190, Valle Hermoso, D8
-17.465660,-66.112096, Calle Hamburgo #1191, Ushpa Ushpa, D8
-17.463881,-66.097691, Calle Ticti #1192, Ticti Norte, D8
-17.479874,-66.094873, Calle Sierra Nevada #1193, Valle Hermoso, D8
-17.464027,-66.099015, Calle Colorado #1194, Ushpa Ushpa, D8
-17.435289,-66.132298, Calle Roma #1195, Ticti Norte, D8
-17.433428,-66.130776, Calle Hamburgo #1196, Valle Hermoso, D8
-17.463415,-66.098509, Calle Ticti #1197, Ushpa Ushpa, D8
-17.448997,-66.099812, Calle Sierra Nevada #1198, Ticti Norte, D8
-17.437680,-66.101583, Calle Colorado #1199, Valle Hermoso, D8
-17.462183,-66.088676, Calle Roma #1200, Ushpa Ushpa, D8
-17.459172,-66.121266, Calle Hamburgo #1201, Ticti Norte, D8
-17.449503,-66.122212, Calle Ticti #1202, Valle Hermoso, D8
-17.461872,-66.101259, Calle Sierra Nevada #1203, Ushpa Ushpa, D8
-17.481316,-66.097248, Calle Colorado #1204, Ticti Norte, D8
-17.450435,-66.103119, Calle Roma #1205, Valle Hermoso, D8
-17.441876,-66.129569, Calle Hamburgo #1206, Ushpa Ushpa, D8
-17.467274,-66.105428, Calle Ticti #1207, Ticti Norte, D8
-17.440721,-66.126870, Calle Sierra Nevada #1208, Valle Hermoso, D8
-17.478710,-66.091365, Calle Colorado #1209, Ushpa Ushpa, D8
-17.468710,-66.090099, Calle Roma #1210, Ticti Norte, D8
-17.451417,-66.096875, Calle Hamburgo #1211, Valle Hermoso, D8
-17.429939,-66.140561, Calle Ticti #1212, Ushpa Ushpa, D8
-17.434303,-66.134904, Calle Sierra Nevada #1213, Ticti Norte, D8
-17.451242,-66.127980, Calle Colorado #1214, Valle Hermoso, D8
-17.464303,-66.088429, Calle Roma #1215, Ushpa Ushpa, D8
-17.446548,-66.125118, Calle Hamburgo #1216, Ticti Norte, D8
-17.459612,-66.117515, Calle Ticti #1217, Valle Hermoso, D8
-17.428183,-66.141330, Calle Sierra Nevada #1218, Ushpa Ushpa, D8
-17.431625,-66.132018, Calle Colorado #1219, Ticti Norte, D8
-17.437807,-66.138910, Calle Roma #1220, Valle Hermoso, D8
-17.441597,-66.124371, Calle Hamburgo #1221, Ushpa Ushpa, D8
-17.466609,-66.104606, Calle Ticti #1222, Ticti Norte, D8
-17.466509,-66.100070, Calle Sierra Nevada #1223, Valle Hermoso, D8
-17.465868,-66.115711, Calle Colorado #1224, Ushpa Ushpa, D8
-17.456812,-66.104057, Calle Roma #1225, Ticti Norte, D8
-17.447591,-66.102936, Calle Hamburgo #1226, Valle Hermoso, D8
-17.459124,-66.117202, Calle Ticti #1227, Ushpa Ushpa, D8
-17.464560,-66.093848, Calle Sierra Nevada #1228, Ticti Norte, D8
-17.441027,-66.101232, Calle Colorado #1229, Valle Hermoso, D8
-17.478113,-66.099360, Calle Roma #1230, Ushpa Ushpa, D8
-17.440999,-66.129054, Calle Hamburgo #1231, Ticti Norte, D8
-17.429772,-66.141748, Calle Ticti #1232, Valle Hermoso, D8
-17.462730,-66.116762, Calle Sierra Nevada #1233, Ushpa Ushpa, D8
-17.429923,-66.148202, Calle Colorado #1234, Ticti Norte, D8
-17.471792,-66.088727, Calle Roma #1235, Valle Hermoso, D8
-17.473922,-66.106321, Calle Hamburgo #1236, Ushpa Ushpa, D8
-17.426139,-66.137167, Calle Ticti #1237, Ticti Norte, D8
-17.470310,-66.104831, Calle Sierra Nevada #1238, Valle Hermoso, D8
-17.479450,-66.097857, Calle Colorado #1239, Ushpa Ushpa, D8
-17.452296,-66.121018, Calle Roma #1240, Ticti Norte, D8
-17.440159,-66.101173, Calle Hamburgo #1241, Valle Hermoso, D8
-17.436213,-66.130981, Calle Ticti #1242, Ushpa Ushpa, D8
-17.429923,-66.142980, Calle Sierra Nevada #1243, Ticti Norte, D8
-17.439447,-66.130375, Calle Colorado #1244, Valle Hermoso, D8
-17.435187,-66.135570, Calle Roma #1245, Ushpa Ushpa, D8
-17.438401,-66.102491, Calle Hamburgo #1246, Ticti Norte, D8
-17.470100,-66.102205, Calle Ticti #1247, Valle Hermoso, D8
-17.436746,-66.102027, Calle Sierra Nevada #1248, Ushpa Ushpa, D8
-17.466997,-66.101565, Calle Colorado #1249, Ticti Norte, D8
-17.461176,-66.113482, Calle Roma #1250, Valle Hermoso, D8
-17.473387,-66.105936, Calle Hamburgo #1251, Ushpa Ushpa, D8
-17.462652,-66.086315, Calle Ticti #1252, Ticti Norte, D8
-17.449307,-66.128183, Calle Sierra Nevada #1253, Valle Hermoso, D8
-17.466961,-66.094651, Calle Colorado #1254, Ushpa Ushpa, D8
-17.451078,-66.101505, Calle Roma #1255, Ticti Norte, D8
-17.482878,-66.098685, Calle Hamburgo #1256, Valle Hermoso, D8
-17.453092,-66.100728, Calle Ticti #1257, Ushpa Ushpa, D8
-17.450159,-66.128357, Calle Sierra Nevada #1258, Ticti Norte, D8
-17.437497,-66.127609, Calle Colorado #1259, Valle Hermoso, D8
-17.464785,-66.115855, Calle Roma #1260, Ushpa Ushpa, D8
-17.468255,-66.089425, Calle Hamburgo #1261, Ticti Norte, D8
-17.468365,-66.088607, Calle Ticti #1262, Valle Hermoso, D8
-17.447644,-66.120100, Calle Sierra Nevada #1263, Ushpa Ushpa, D8
-17.461040,-66.118291, Calle Colorado #1264, Ticti Norte, D8
-17.435335,-66.142003, Calle Roma #1265, Valle Hermoso, D8
-17.456812,-66.104467, Calle Hamburgo #1266, Ushpa Ushpa, D8
-17.451302,-66.126354, Calle Ticti #1267, Ticti Norte, D8
-17.444892,-66.134927, Calle Sierra Nevada #1268, Valle Hermoso, D8
-17.470625,-66.097527, Calle Colorado #1269, Ushpa Ushpa, D8
-17.473754,-66.099898, Calle Roma #1270, Ticti Norte, D8
-17.433953,-66.132886, Calle Hamburgo #1271, Valle Hermoso, D8
-17.436355,-66.142771, Calle Ticti #1272, Ushpa Ushpa, D8
-17.468359,-66.101573, Calle Sierra Nevada #1273, Ticti Norte, D8
-17.459496,-66.093531, Calle Colorado #1274, Valle Hermoso, D8
-17.481023,-66.104934, Calle Roma #1275, Ushpa Ushpa, D8
-17.453903,-66.105254, Calle Hamburgo #1276, Ticti Norte, D8
-17.464387,-66.085848, Calle Ticti #1277, Valle Hermoso, D8
-17.461820,-66.103238, Calle Sierra Nevada #1278, Ushpa Ushpa, D8
-17.449820,-66.122177, Calle Colorado #1279, Ticti Norte, D8
-17.474719,-66.106980, Calle Roma #1280, Valle Hermoso, D8
-17.470349,-66.100870, Calle Hamburgo #1281, Ushpa Ushpa, D8
-17.463685,-66.088284, Calle Ticti #1282, Ticti Norte, D8
-17.475546,-66.102774, Calle Sierra Nevada #1283, Valle Hermoso, D8
-17.474283,-66.092297, Calle Colorado #1284, Ushpa Ushpa, D8
-17.460206,-66.109887, Calle Roma #1285, Ticti Norte, D8
-17.426917,-66.136285, Calle Hamburgo #1286, Valle Hermoso, D8
-17.433929,-66.142800, Calle Ticti #1287, Ushpa Ushpa, D8
-17.435564,-66.143847, Calle Sierra Nevada #1288, Ticti Norte, D8
-17.456268,-66.106050, Calle Colorado #1289, Valle Hermoso, D8
-17.438692,-66.133016, Calle Roma #1290, Ushpa Ushpa, D8
-17.473982,-66.103695, Calle Hamburgo #1291, Ticti Norte, D8
-17.441915,-66.137514, Calle Ticti #1292, Valle Hermoso, D8
-17.464203,-66.103053, Calle Sierra Nevada #1293, Ushpa Ushpa, D8
-17.468300,-66.104785, Calle Colorado #1294, Ticti Norte, D8
-17.447788,-66.123680, Calle Roma #1295, Valle Hermoso, D8
-17.464510,-66.096737, Calle Hamburgo #1296, Ushpa Ushpa, D8
-17.448486,-66.120907, Calle Ticti #1297, Ticti Norte, D8
-17.466644,-66.093393, Calle Sierra Nevada #1298, Valle Hermoso, D8
-17.464911,-66.110490, Calle Colorado #1299, Ushpa Ushpa, D8
-17.436053,-66.135247, Calle Roma #1300, Ticti Norte, D8
-17.432241,-66.142094, Calle Hamburgo #1301, Valle Hermoso, D8
-17.460656,-66.117696, Calle Ticti #1302, Ushpa Ushpa, D8
-17.481693,-66.097831, Calle Sierra Nevada #1303, Ticti Norte, D8
-17.471281,-66.100607, Calle Colorado #1304, Valle Hermoso, D8
-17.474268,-66.109399, Calle Roma #1305, Ushpa Ushpa, D8
-17.467743,-66.097479, Calle Hamburgo #1306, Ticti Norte, D8
-17.464502,-66.091532, Calle Ticti #1307, Valle Hermoso, D8
-17.445738,-66.126155, Calle Sierra Nevada #1308, Ushpa Ushpa, D8
-17.466744,-66.095464, Calle Colorado #1309, Ticti Norte, D8
-17.443630,-66.136549, Calle Roma #1310, Valle Hermoso, D8
-17.449647,-66.122934, Calle Hamburgo #1311, Ushpa Ushpa, D8
-17.428478,-66.142908, Calle Ticti #1312, Ticti Norte, D8
-17.451009,-66.099973, Calle Sierra Nevada #1313, Valle Hermoso, D8
-17.463393,-66.108260, Calle Colorado #1314, Ushpa Ushpa, D8
-17.466049,-66.110898, Calle Roma #1315, Ticti Norte, D8
-17.429470,-66.134865, Calle Hamburgo #1316, Valle Hermoso, D8
-17.441597,-66.137958, Calle Ticti #1317, Ushpa Ushpa, D8
-17.460082,-66.101750, Calle Sierra Nevada #1318, Ticti Norte, D8
-17.466992,-66.085435, Calle Colorado #1319, Valle Hermoso, D8
-17.437105,-66.141203, Calle Roma #1320, Ushpa Ushpa, D8
-17.432750,-66.139238, Calle Hamburgo #1321, Ticti Norte, D8
-17.437444,-66.141851, Calle Ticti #1322, Valle Hermoso, D8
-17.464301,-66.088643, Calle Sierra Nevada #1323, Ushpa Ushpa, D8
-17.456807,-66.123893, Calle Colorado #1324, Ticti Norte, D8
-17.477355,-66.090640, Calle Roma #1325, Valle Hermoso, D8
-17.443397,-66.131505, Calle Hamburgo #1326, Ushpa Ushpa, D8
-17.471408,-66.106510, Calle Ticti #1327, Ticti Norte, D8
-17.456871,-66.117869, Calle Sierra Nevada #1328, Valle Hermoso, D8
-17.435963,-66.143580, Calle Colorado #1329, Ushpa Ushpa, D8
-17.467892,-66.105618, Calle Roma #1330, Ticti Norte, D8
-17.478851,-66.103425, Calle Hamburgo #1331, Valle Hermoso, D8
-17.444178,-66.132210, Calle Ticti #1332, Ushpa Ushpa, D8
-17.459481,-66.116864, Calle Sierra Nevada #1333, Ticti Norte, D8
-17.475227,-66.091844, Calle Colorado #1334, Valle Hermoso, D8
-17.451098,-66.122830, Calle Roma #1335, Ushpa Ushpa, D8
-17.481568,-66.107352, Calle Hamburgo #1336, Ticti Norte, D8
-17.445565,-66.120603, Calle Ticti #1337, Valle Hermoso, D8
-17.450229,-66.101049, Calle Sierra Nevada #1338, Ushpa Ushpa, D8
-17.448849,-66.102273, Calle Colorado #1339, Ticti Norte, D8
-17.451204,-66.103854, Calle Roma #1340, Valle Hermoso, D8
-17.432397,-66.132136, Calle Hamburgo #1341, Ushpa Ushpa, D8
-17.478776,-66.103146, Calle Ticti #1342, Ticti Norte, D8
-17.444224,-66.124233, Calle Sierra Nevada #1343, Valle Hermoso, D8
-17.432167,-66.137691, Calle Colorado #1344, Ushpa Ushpa, D8
-17.442765,-66.134835, Calle Roma #1345, Ticti Norte, D8
-17.453573,-66.094233, Calle Hamburgo #1346, Valle Hermoso, D8
-17.478644,-66.102304, Calle Ticti #1347, Ushpa Ushpa, D8
-17.481023,-66.103542, Calle Sierra Nevada #1348, Ticti Norte, D8
-17.469651,-66.086827, Calle Colorado #1349, Valle Hermoso, D8
-17.460574,-66.114978, Calle Roma #1350, Ushpa Ushpa, D8
-17.476904,-66.088914, Calle Hamburgo #1351, Ticti Norte, D8
-17.453087,-66.100560, Calle Ticti #1352, Valle Hermoso, D8
-17.480705,-66.098962, Calle Sierra Nevada #1353, Ushpa Ushpa, D8
-17.437151,-66.141715, Calle Colorado #1354, Ticti Norte, D8
-17.473780,-66.097509, Calle Roma #1355, Valle Hermoso, D8
-17.451910,-66.121105, Calle Hamburgo #1356, Ushpa Ushpa, D8
-17.440525,-66.138536, Calle Ticti #1357, Ticti Norte, D8
-17.467056,-66.093149, Calle Sierra Nevada #1358, Valle Hermoso, D8
-17.446508,-66.132495, Calle Colorado #1359, Ushpa Ushpa, D8
-17.429553,-66.138896, Calle Roma #1360, Ticti Norte, D8
-17.434995,-66.135886, Calle Hamburgo #1361, Valle Hermoso, D8
-17.465710,-66.089778, Calle Ticti #1362, Ushpa Ushpa, D8
-17.435799,-66.143860, Calle Sierra Nevada #1363, Ticti Norte, D8
-17.434883,-66.141666, Calle Colorado #1364, Valle Hermoso, D8
-17.443017,-66.126481, Calle Roma #1365, Ushpa Ushpa, D8
-17.458148,-66.093766, Calle Hamburgo #1366, Ticti Norte, D8
-17.442714,-66.103057, Calle Ticti #1367, Valle Hermoso, D8
-17.474023,-66.109298, Calle Sierra Nevada #1368, Ushpa Ushpa, D8
-17.436395,-66.136752, Calle Colorado #1369, Ticti Norte, D8
-17.479812,-66.096256, Calle Roma #1370, Valle Hermoso, D8
-17.448685,-66.125641, Calle Hamburgo #1371, Ushpa Ushpa, D8
-17.467147,-66.109702, Calle Ticti #1372, Ticti Norte, D8
-17.472872,-66.110762, Calle Sierra Nevada #1373, Valle Hermoso, D8
-17.437291,-66.137953, Calle Colorado #1374, Ushpa Ushpa, D8
-17.461040,-66.095870, Calle Roma #1375, Ticti Norte, D8
-17.444795,-66.097625, Calle Hamburgo #1376, Valle Hermoso, D8
-17.444636,-66.131177, Calle Ticti #1377, Ushpa Ushpa, D8
-17.462458,-66.109451, Calle Sierra Nevada #1378, Ticti Norte, D8
-17.466141,-66.094727, Calle Colorado #1379, Valle Hermoso, D8
-17.446422,-66.097918, Calle Roma #1380, Ushpa Ushpa, D8
-17.466327,-66.106787, Calle Hamburgo #1381, Ticti Norte, D8
-17.466810,-66.111876, Calle Ticti #1382, Valle Hermoso, D8
-17.468981,-66.100420, Calle Sierra Nevada #1383, Ushpa Ushpa, D8
-17.465551,-66.114891, Calle Colorado #1384, Ticti Norte, D8
-17.466105,-66.116108, Calle Roma #1385, Valle Hermoso, D8
-17.478073,-66.099550, Calle Hamburgo #1386, Ushpa Ushpa, D8
-17.452504,-66.096020, Calle Ticti #1387, Ticti Norte, D8
-17.428254,-66.144466, Calle Sierra Nevada #1388, Valle Hermoso, D8
-17.453721,-66.100472, Calle Colorado #1389, Ushpa Ushpa, D8
-17.431761,-66.147359, Calle Roma #1390, Ticti Norte, D8
-17.459640,-66.120684, Calle Hamburgo #1391, Valle Hermoso, D8
-17.452977,-66.119754, Calle Ticti #1392, Ushpa Ushpa, D8
-17.479607,-66.098772, Calle Sierra Nevada #1393, Ticti Norte, D8
-17.458813,-66.099480, Calle Colorado #1394, Valle Hermoso, D8
-17.450023,-66.118753, Calle Roma #1395, Ushpa Ushpa, D8
-17.449375,-66.126914, Calle Hamburgo #1396, Ticti Norte, D8
-17.476334,-66.105977, Calle Ticti #1397, Valle Hermoso, D8
-17.478768,-66.092785, Calle Sierra Nevada #1398, Ushpa Ushpa, D8
-17.450732,-66.103508, Calle Colorado #1399, Ticti Norte, D8
-17.439009,-66.134517, Calle Roma #1400, Valle Hermoso, D8
-17.458782,-66.103281, Calle Hamburgo #1401, Ushpa Ushpa, D8
-17.440218,-66.140241, Calle Ticti #1402, Ticti Norte, D8
-17.448493,-66.128665, Calle Sierra Nevada #1403, Valle Hermoso, D8
-17.466784,-66.087041, Calle Colorado #1404, Ushpa Ushpa, D8
-17.431468,-66.138320, Calle Roma #1405, Ticti Norte, D8
-17.464045,-66.107463, Calle Hamburgo #1406, Valle Hermoso, D8
-17.427151,-66.139137, Calle Ticti #1407, Ushpa Ushpa, D8
-17.450635,-66.102980, Calle Sierra Nevada #1408, Ticti Norte, D8
-17.472163,-66.090353, Calle Colorado #1409, Valle Hermoso, D8
-17.470885,-66.110439, Calle Roma #1410, Ushpa Ushpa, D8
-17.460906,-66.088371, Calle Hamburgo #1411, Ticti Norte, D8
-17.466740,-66.114902, Calle Ticti #1412, Valle Hermoso, D8
-17.442894,-66.134211, Calle Sierra Nevada #1413, Ushpa Ushpa, D8
-17.478725,-66.093233, Calle Colorado #1414, Ticti Norte, D8
-17.470529,-66.089018, Calle Roma #1415, Valle Hermoso, D8
-17.464873,-66.114352, Calle Hamburgo #1416, Ushpa Ushpa, D8
-17.469913,-66.111581, Calle Ticti #1417, Ticti Norte, D8
-17.482360,-66.104583, Calle Sierra Nevada #1418, Valle Hermoso, D8
-17.450312,-66.103214, Calle Colorado #1419, Ushpa Ushpa, D8
-17.467301,-66.106637, Calle Roma #1420, Ticti Norte, D8
-17.437559,-66.134900, Calle Hamburgo #1421, Valle Hermoso, D8
-17.444410,-66.129582, Calle Ticti #1422, Ushpa Ushpa, D8
-17.470927,-66.104136, Calle Sierra Nevada #1423, Ticti Norte, D8
-17.463271,-66.107213, Calle Colorado #1424, Valle Hermoso, D8
-17.429716,-66.139409, Calle Roma #1425, Ushpa Ushpa, D8
-17.435495,-66.144475, Calle Hamburgo #1426, Ticti Norte, D8
-17.446057,-66.124886, Calle Ticti #1427, Valle Hermoso, D8
-17.473543,-66.108158, Calle Sierra Nevada #1428, Ushpa Ushpa, D8
-17.480844,-66.094220, Calle Colorado #1429, Ticti Norte, D8
-17.457750,-66.089919, Calle Roma #1430, Valle Hermoso, D8
-17.436791,-66.143096, Calle Hamburgo #1431, Ushpa Ushpa, D8
-17.472913,-66.098998, Calle Ticti #1432, Ticti Norte, D8
-17.452262,-66.098933, Calle Sierra Nevada #1433, Valle Hermoso, D8
-17.473535,-66.089040, Calle Colorado #1434, Ushpa Ushpa, D8
-17.428707,-66.144836, Calle Roma #1435, Ticti Norte, D8
-17.464090,-66.109307, Calle Hamburgo #1436, Valle Hermoso, D8
-17.477907,-66.107590, Calle Ticti #1437, Ushpa Ushpa, D8
-17.464436,-66.106379, Calle Sierra Nevada #1438, Ticti Norte, D8
-17.465544,-66.087897, Calle Colorado #1439, Valle Hermoso, D8
-17.469805,-66.105921, Calle Roma #1440, Ushpa Ushpa, D8
-17.436465,-66.145492, Calle Hamburgo #1441, Ticti Norte, D8
-17.467515,-66.103683, Calle Ticti #1442, Valle Hermoso, D8
-17.437556,-66.143186, Calle Sierra Nevada #1443, Ushpa Ushpa, D8
-17.460132,-66.106927, Calle Colorado #1444, Ticti Norte, D8
-17.460145,-66.102688, Calle Roma #1445, Valle Hermoso, D8
-17.464503,-66.109876, Calle Hamburgo #1446, Ushpa Ushpa, D8
-17.457131,-66.119259, Calle Ticti #1447, Ticti Norte, D8
-17.463504,-66.101132, Calle Sierra Nevada #1448, Valle Hermoso, D8
-17.434943,-66.131362, Calle Colorado #1449, Ushpa Ushpa, D8
-17.448797,-66.119651, Calle Roma #1450, Ticti Norte, D8
-17.431080,-66.137826, Calle Hamburgo #1451, Valle Hermoso, D8
-17.446316,-66.101516, Calle Ticti #1452, Ushpa Ushpa, D8
-17.455169,-66.103520, Calle Sierra Nevada #1453, Ticti Norte, D8
-17.442531,-66.101643, Calle Colorado #1454, Valle Hermoso, D8
-17.435570,-66.132507, Calle Roma #1455, Ushpa Ushpa, D8
-17.476490,-66.090383, Calle Hamburgo #1456, Ticti Norte, D8
-17.461501,-66.106626, Calle Ticti #1457, Valle Hermoso, D8
-17.434657,-66.129598, Calle Sierra Nevada #1458, Ushpa Ushpa, D8
-17.471051,-66.090904, Calle Colorado #1459, Ticti Norte, D8
-17.452017,-66.127341, Calle Roma #1460, Valle Hermoso, D8
-17.472631,-66.104081, Calle Hamburgo #1461, Ushpa Ushpa, D8
-17.476779,-66.093704, Calle Ticti #1462, Ticti Norte, D8
-17.458886,-66.093645, Calle Sierra Nevada #1463, Valle Hermoso, D8
-17.436205,-66.133678, Calle Colorado #1464, Ushpa Ushpa, D8
-17.455795,-66.121600, Calle Roma #1465, Ticti Norte, D8
-17.454283,-66.120206, Calle Hamburgo #1466, Valle Hermoso, D8
-17.473828,-66.108262, Calle Ticti #1467, Ushpa Ushpa, D8
-17.475890,-66.091278, Calle Sierra Nevada #1468, Ticti Norte, D8
-17.454965,-66.100016, Calle Colorado #1469, Valle Hermoso, D8
-17.455167,-66.101583, Calle Roma #1470, Ushpa Ushpa, D8
-17.459703,-66.094756, Calle Hamburgo #1471, Ticti Norte, D8
-17.453635,-66.093006, Calle Ticti #1472, Valle Hermoso, D8
-17.434590,-66.144106, Calle Sierra Nevada #1473, Ushpa Ushpa, D8
-17.460623,-66.096709, Calle Colorado #1474, Ticti Norte, D8
-17.429832,-66.146554, Calle Roma #1475, Valle Hermoso, D8
-17.439717,-66.135484, Calle Hamburgo #1476, Ushpa Ushpa, D8
-17.429015,-66.143295, Calle Ticti #1477, Ticti Norte, D8
-17.428126,-66.138632, Calle Sierra Nevada #1478, Valle Hermoso, D8
-17.461988,-66.095140, Calle Colorado #1479, Ushpa Ushpa, D8
-17.457544,-66.102801, Calle Roma #1480, Ticti Norte, D8
-17.439965,-66.127944, Calle Hamburgo #1481, Valle Hermoso, D8
-17.443512,-66.135316, Calle Ticti #1482, Ushpa Ushpa, D8
-17.464868,-66.104358, Calle Sierra Nevada #1483, Ticti Norte, D8
-17.459294,-66.099616, Calle Colorado #1484, Valle Hermoso, D8
-17.478072,-66.105417, Calle Roma #1485, Ushpa Ushpa, D8
-17.466753,-66.096933, Calle Hamburgo #1486, Ticti Norte, D8
-17.430651,-66.134897, Calle Ticti #1487, Valle Hermoso, D8
-17.460181,-66.089525, Calle Sierra Nevada #1488, Ushpa Ushpa, D8
-17.453786,-66.095773, Calle Colorado #1489, Ticti Norte, D8
-17.444622,-66.128974, Calle Roma #1490, Valle Hermoso, D8
-17.472714,-66.108896, Calle Hamburgo #1491, Ushpa Ushpa, D8
-17.477042,-66.095443, Calle Ticti #1492, Ticti Norte, D8
-17.434993,-66.131382, Calle Sierra Nevada #1493, Valle Hermoso, D8
-17.455323,-66.118989, Calle Colorado #1494, Ushpa Ushpa, D8
-17.459359,-66.104223, Calle Roma #1495, Ticti Norte, D8
-17.436349,-66.134344, Calle Hamburgo #1496, Valle Hermoso, D8
-17.473877,-66.086292, Calle Ticti #1497, Ushpa Ushpa, D8
-17.465419,-66.088636, Calle Sierra Nevada #1498, Ticti Norte, D8
-17.470814,-66.086073, Calle Colorado #1499, Valle Hermoso, D8
-17.461120,-66.091826, Calle Roma #1500, Ushpa Ushpa, D8
-17.470358,-66.089016, Calle Hamburgo #1501, Ticti Norte, D8
-17.444665,-66.131340, Calle Ticti #1502, Valle Hermoso, D8
-17.457205,-66.098229, Calle Sierra Nevada #1503, Ushpa Ushpa, D8
-17.431648,-66.142776, Calle Colorado #1504, Ticti Norte, D8
-17.469564,-66.085303, Calle Roma #1505, Valle Hermoso, D8
-17.445981,-66.131320, Calle Hamburgo #1506, Ushpa Ushpa, D8
-17.438462,-66.137939, Calle Ticti #1507, Ticti Norte, D8
-17.447595,-66.123894, Calle Sierra Nevada #1508, Valle Hermoso, D8
-17.462590,-66.088699, Calle Colorado #1509, Ushpa Ushpa, D8
-17.453816,-66.102044, Calle Roma #1510, Ticti Norte, D8
-17.457642,-66.122224, Calle Hamburgo #1511, Valle Hermoso, D8
-17.434357,-66.132608, Calle Ticti #1512, Ushpa Ushpa, D8
-17.461435,-66.089686, Calle Sierra Nevada #1513, Ticti Norte, D8
-17.441991,-66.101971, Calle Colorado #1514, Valle Hermoso, D8
-17.448998,-66.123081, Calle Roma #1515, Ushpa Ushpa, D8
-17.425629,-66.136991, Calle Hamburgo #1516, Ticti Norte, D8
-17.458512,-66.094707, Calle Ticti #1517, Valle Hermoso, D8
-17.475572,-66.099747, Calle Sierra Nevada #1518, Ushpa Ushpa, D8
-17.443416,-66.127039, Calle Colorado #1519, Ticti Norte, D8
-17.446967,-66.126257, Calle Roma #1520, Valle Hermoso, D8
-17.437947,-66.139319, Calle Hamburgo #1521, Ushpa Ushpa, D8
-17.455464,-66.106119, Calle Ticti #1522, Ticti Norte, D8
-17.478052,-66.106585, Calle Sierra Nevada #1523, Valle Hermoso, D8
-17.449448,-66.127759, Calle Colorado #1524, Ushpa Ushpa, D8
-17.446633,-66.131959, Calle Roma #1525, Ticti Norte, D8
-17.443519,-66.101321, Calle Hamburgo #1526, Valle Hermoso, D8
-17.445633,-66.102683, Calle Ticti #1527, Ushpa Ushpa, D8
-17.479673,-66.102540, Calle Sierra Nevada #1528, Ticti Norte, D8
-17.426793,-66.136070, Calle Colorado #1529, Valle Hermoso, D8
-17.476505,-66.094053, Calle Roma #1530, Ushpa Ushpa, D8
