-17.442000,-66.170180, Calle Tamborada #100, Pukara Grande, D9
-17.447721,-66.166905, Calle Tamborada #2825, 1ro de Mayo, D9
-17.494687,-66.159710, Calle San Benito #2826, Tamborada Pukarita, D9
-17.476698,-66.174979, Calle Abaroa #2827, Pukara Grande, D9
-17.477141,-66.208040, Calle 1ro de Mayo #2828, 1ro de Mayo, D9
-17.447110,-66.194662, Calle Esperanza #2829, Tamborada Pukarita, D9
-17.463082,-66.210876, Calle Tamborada #2830, Pukara Grande, D9
-17.464659,-66.214797, Calle San Benito #2831, 1ro de Mayo, D9
-17.479867,-66.234814, Calle Abaroa #2832, Tamborada Pukarita, D9
-17.442512,-66.173206, Calle 1ro de Mayo #2833, Pukara Grande, D9
-17.486595,-66.190885, Calle Esperanza #2834, 1ro de Mayo, D9
-17.420671,-66.194265, Calle Tamborada #2835, Tamborada Pukarita, D9
-17.454280,-66.216229, Calle San Benito #2836, Pukara Grande, D9
-17.464345,-66.227083, Calle Abaroa #2837, 1ro de Mayo, D9
-17.488531,-66.170828, Calle 1ro de Mayo #2838, Tamborada Pukarita, D9
-17.479190,-66.201335, Calle Esperanza #2839, Pukara Grande, D9
-17.496257,-66.165123, Calle Tamborada #2840, 1ro de Mayo, D9
-17.448792,-66.203138, Calle San Benito #2841, Tamborada Pukarita, D9
-17.484203,-66.156168, Calle Abaroa #2842, Pukara Grande, D9
-17.505394,-66.178188, Calle 1ro de Mayo #2843, 1ro de Mayo, D9
-17.476100,-66.253178, Calle Esperanza #2844, Tamborada Pukarita, D9
-17.466482,-66.242403, Calle Tamborada #2845, Pukara Grande, D9
-17.456180,-66.225760, Calle San Benito #2846, 1ro de Mayo, D9
-17.437087,-66.179698, Calle Abaroa #2847, Tamborada Pukarita, D9
-17.423899,-66.187610, Calle 1ro de Mayo #2848, Pukara Grande, D9
-17.485121,-66.174736, Calle Esperanza #2849, 1ro de Mayo, D9
-17.508276,-66.160109, Calle Tamborada #2850, Tamborada Pukarita, D9
-17.476064,-66.169753, Calle San Benito #2851, Pukara Grande, D9
-17.495104,-66.168157, Calle Abaroa #2852, 1ro de Mayo, D9
-17.445422,-66.229254, Calle 1ro de Mayo #2853, Tamborada Pukarita, D9
-17.455786,-66.200739, Calle Esperanza #2854, Pukara Grande, D9
-17.484636,-66.192807, Calle Tamborada #2855, 1ro de Mayo, D9
-17.471565,-66.221640, Calle San Benito #2856, Tamborada Pukarita, D9
-17.471119,-66.199436, Calle Abaroa #2857, Pukara Grande, D9
-17.476371,-66.183602, Calle 1ro de Mayo #2858, 1ro de Mayo, D9
-17.493252,-66.195505, Calle Esperanza #2859, Tamborada Pukarita, D9
-17.423101,-66.196600, Calle Tamborada #2860, Pukara Grande, D9
-17.437988,-66.185719, Calle San Benito #2861, 1ro de Mayo, D9
-17.470387,-66.208425, Calle Abaroa #2862, Tamborada Pukarita, D9
-17.485508,-66.255019, Calle 1ro de Mayo #2863, Pukara Grande, D9
-17.478824,-66.254354, Calle Esperanza #2864, 1ro de Mayo, D9
-17.459774,-66.217939, Calle Tamborada #2865, Tamborada Pukarita, D9
-17.427985,-66.204506, Calle San Benito #2866, Pukara Grande, D9
-17.446319,-66.209945, Calle Abaroa #2867, 1ro de Mayo, D9
-17.479919,-66.185812, Calle 1ro de Mayo #2868, Tamborada Pukarita, D9
-17.498919,-66.189040, Calle Esperanza #2869, Pukara Grande, D9
-17.408988,-66.195909, Calle Tamborada #2870, 1ro de Mayo, D9
-17.431466,-66.221374, Calle San Benito #2871, Tamborada Pukarita, D9
-17.474508,-66.172379, Calle Abaroa #2872, Pukara Grande, D9
-17.454604,-66.199505, Calle 1ro de Mayo #2873, 1ro de Mayo, D9
-17.427311,-66.198454, Calle Esperanza #2874, Tamborada Pukarita, D9
-17.474033,-66.235158, Calle Tamborada #2875, Pukara Grande, D9
-17.464167,-66.218009, Calle San Benito #2876, 1ro de Mayo, D9
-17.476029,-66.163770, Calle Abaroa #2877, Tamborada Pukarita, D9
-17.483929,-66.192432, Calle 1ro de Mayo #2878, Pukara Grande, D9
-17.467056,-66.192018, Calle Esperanza #2879, 1ro de Mayo, D9
-17.472994,-66.185120, Calle Tamborada #2880, Tamborada Pukarita, D9
-17.453640,-66.229249, Calle San Benito #2881, Pukara Grande, D9
-17.422404,-66.214558, Calle Abaroa #2882, 1ro de Mayo, D9
-17.486901,-66.235868, Calle 1ro de Mayo #2883, Tamborada Pukarita, D9
-17.450194,-66.207496, Calle Esperanza #2884, Pukara Grande, D9
-17.420730,-66.210001, Calle Tamborada #2885, 1ro de Mayo, D9
-17.462910,-66.221586, Calle San Benito #2886, Tamborada Pukarita, D9
-17.455507,-66.190312, Calle Abaroa #2887, Pukara Grande, D9
-17.454333,-66.182099, Calle 1ro de Mayo #2888, 1ro de Mayo, D9
-17.460536,-66.166014, Calle Esperanza #2889, Tamborada Pukarita, D9
-17.468366,-66.200572, Calle Tamborada #2890, Pukara Grande, D9
-17.458660,-66.233343, Calle San Benito #2891, 1ro de Mayo, D9
-17.406049,-66.212067, Calle Abaroa #2892, Tamborada Pukarita, D9
-17.468446,-66.210032, Calle 1ro de Mayo #2893, Pukara Grande, D9
-17.488056,-66.158879, Calle Esperanza #2894, 1ro de Mayo, D9
-17.458560,-66.188289, Calle Tamborada #2895, Tamborada Pukarita, D9
-17.439953,-66.216176, Calle San Benito #2896, Pukara Grande, D9
-17.483244,-66.198572, Calle Abaroa #2897, 1ro de Mayo, D9
-17.423733,-66.185765, Calle 1ro de Mayo #2898, Tamborada Pukarita, D9
-17.480191,-66.196176, Calle Esperanza #2899, Pukara Grande, D9
-17.479028,-66.243574, Calle Tamborada #2900, 1ro de Mayo, D9
-17.487086,-66.168395, Calle San Benito #2901, Tamborada Pukarita, D9
-17.444800,-66.214285, Calle Abaroa #2902, Pukara Grande, D9
-17.441627,-66.195225, Calle 1ro de Mayo #2903, 1ro de Mayo, D9
-17.485875,-66.158156, Calle Esperanza #2904, Tamborada Pukarita, D9
-17.434110,-66.223027, Calle Tamborada #2905, Pukara Grande, D9
-17.467907,-66.244821, Calle San Benito #2906, 1ro de Mayo, D9
-17.445578,-66.181721, Calle Abaroa #2907, Tamborada Pukarita, D9
-17.458677,-66.219357, Calle 1ro de Mayo #2908, Pukara Grande, D9
-17.434048,-66.205955, Calle Esperanza #2909, 1ro de Mayo, D9
-17.501833,-66.159676, Calle Tamborada #2910, Tamborada Pukarita, D9
-17.439996,-66.213778, Calle San Benito #2911, Pukara Grande, D9
-17.477047,-66.165828, Calle Abaroa #2912, 1ro de Mayo, D9
-17.430213,-66.195365, Calle 1ro de Mayo #2913, Tamborada Pukarita, D9
-17.440447,-66.215488, Calle Esperanza #2914, Pukara Grande, D9
-17.479268,-66.203642, Calle Tamborada #2915, 1ro de Mayo, D9
-17.456596,-66.222503, Calle San Benito #2916, Tamborada Pukarita, D9
-17.443130,-66.156431, Calle Abaroa #2917, Pukara Grande, D9
-17.463485,-66.221189, Calle 1ro de Mayo #2918, 1ro de Mayo, D9
-17.467194,-66.225050, Calle Esperanza #2919, Tamborada Pukarita, D9
-17.430650,-66.213163, Calle Tamborada #2920, Pukara Grande, D9
-17.450854,-66.221815, Calle San Benito #2921, 1ro de Mayo, D9
-17.469434,-66.215054, Calle Abaroa #2922, Tamborada Pukarita, D9
-17.455507,-66.207393, Calle 1ro de Mayo #2923, Pukara Grande, D9
-17.412256,-66.211955, Calle Esperanza #2924, 1ro de Mayo, D9
-17.468728,-66.185652, Calle Tamborada #2925, Tamborada Pukarita, D9
-17.487551,-66.158404, Calle San Benito #2926, Pukara Grande, D9
-17.425011,-66.190010, Calle Abaroa #2927, 1ro de Mayo, D9
-17.462570,-66.203723, Calle 1ro de Mayo #2928, Tamborada Pukarita, D9
-17.493642,-66.169583, Calle Esperanza #2929, Pukara Grande, D9
-17.448566,-66.171254, Calle Tamborada #2930, 1ro de Mayo, D9
-17.446952,-66.214403, Calle San Benito #2931, Tamborada Pukarita, D9
-17.421589,-66.216955, Calle Abaroa #2932, Pukara Grande, D9
-17.473218,-66.210643, Calle 1ro de Mayo #2933, 1ro de Mayo, D9
-17.419368,-66.195186, Calle Esperanza #2934, Tamborada Pukarita, D9
-17.464868,-66.172501, Calle Tamborada #2935, Pukara Grande, D9
-17.460174,-66.202053, Calle San Benito #2936, 1ro de Mayo, D9
-17.486994,-66.236613, Calle Abaroa #2937, Tamborada Pukarita, D9
-17.439135,-66.198284, Calle 1ro de Mayo #2938, Pukara Grande, D9
-17.467327,-66.247585, Calle Esperanza #2939, 1ro de Mayo, D9
-17.483780,-66.249890, Calle Tamborada #2940, Tamborada Pukarita, D9
-17.418459,-66.223356, Calle San Benito #2941, Pukara Grande, D9
-17.471198,-66.230607, Calle Abaroa #2942, 1ro de Mayo, D9
-17.418220,-66.199897, Calle 1ro de Mayo #2943, Tamborada Pukarita, D9
-17.459555,-66.165242, Calle Esperanza #2944, Pukara Grande, D9
-17.488093,-66.159749, Calle Tamborada #2945, 1ro de Mayo, D9
-17.424137,-66.199074, Calle San Benito #2946, Tamborada Pukarita, D9
-17.463213,-66.170127, Calle Abaroa #2947, Pukara Grande, D9
-17.464879,-66.194776, Calle 1ro de Mayo #2948, 1ro de Mayo, D9
-17.433451,-66.194426, Calle Esperanza #2949, Tamborada Pukarita, D9
-17.485549,-66.235919, Calle Tamborada #2950, Pukara Grande, D9
-17.456366,-66.168604, Calle San Benito #2951, 1ro de Mayo, D9
-17.455784,-66.222371, Calle Abaroa #2952, Tamborada Pukarita, D9
-17.431179,-66.179044, Calle 1ro de Mayo #2953, Pukara Grande, D9
-17.470443,-66.243676, Calle Esperanza #2954, 1ro de Mayo, D9
-17.420880,-66.222229, Calle Tamborada #2955, Tamborada Pukarita, D9
-17.480579,-66.162208, Calle San Benito #2956, Pukara Grande, D9
-17.482484,-66.179965, Calle Abaroa #2957, 1ro de Mayo, D9
-17.443340,-66.160506, Calle 1ro de Mayo #2958, Tamborada Pukarita, D9
-17.430029,-66.196827, Calle Esperanza #2959, Pukara Grande, D9
-17.423564,-66.218946, Calle Tamborada #2960, 1ro de Mayo, D9
-17.445362,-66.221808, Calle San Benito #2961, Tamborada Pukarita, D9
-17.452097,-66.171189, Calle Abaroa #2962, Pukara Grande, D9
-17.495638,-66.174325, Calle 1ro de Mayo #2963, 1ro de Mayo, D9
-17.476169,-66.234250, Calle Esperanza #2964, Tamborada Pukarita, D9
-17.455083,-66.184007, Calle Tamborada #2965, Pukara Grande, D9
-17.426561,-66.185701, Calle San Benito #2966, 1ro de Mayo, D9
-17.476397,-66.209689, Calle Abaroa #2967, Tamborada Pukarita, D9
-17.479133,-66.212065, Calle 1ro de Mayo #2968, Pukara Grande, D9
-17.495157,-66.175385, Calle Esperanza #2969, 1ro de Mayo, D9
-17.466719,-66.198439, Calle Tamborada #2970, Tamborada Pukarita, D9
-17.505062,-66.172397, Calle San Benito #2971, Pukara Grande, D9
-17.497468,-66.187677, Calle Abaroa #2972, 1ro de Mayo, D9
-17.431208,-66.196216, Calle 1ro de Mayo #2973, Tamborada Pukarita, D9
-17.456307,-66.215569, Calle Esperanza #2974, Pukara Grande, D9
-17.425353,-66.188604, Calle Tamborada #2975, 1ro de Mayo, D9
-17.454004,-66.226172, Calle San Benito #2976, Tamborada Pukarita, D9
-17.477370,-66.158866, Calle Abaroa #2977, Pukara Grande, D9
-17.424757,-66.213305, Calle 1ro de Mayo #2978, 1ro de Mayo, D9
-17.465425,-66.196571, Calle Esperanza #2979, Tamborada Pukarita, D9
-17.455311,-66.229371, Calle Tamborada #2980, Pukara Grande, D9
-17.467479,-66.221778, Calle San Benito #2981, 1ro de Mayo, D9
-17.407170,-66.193728, Calle Abaroa #2982, Tamborada Pukarita, D9
-17.457669,-66.218886, Calle 1ro de Mayo #2983, Pukara Grande, D9
-17.480143,-66.202915, Calle Esperanza #2984, 1ro de Mayo, D9
-17.470164,-66.234497, Calle Tamborada #2985, Tamborada Pukarita, D9
-17.407197,-66.215361, Calle San Benito #2986, Pukara Grande, D9
-17.488893,-66.235665, Calle Abaroa #2987, 1ro de Mayo, D9
-17.493046,-66.184998, Calle 1ro de Mayo #2988, Tamborada Pukarita, D9
-17.477799,-66.232313, Calle Esperanza #2989, Pukara Grande, D9
-17.470065,-66.248676, Calle Tamborada #2990, 1ro de Mayo, D9
-17.499866,-66.173160, Calle San Benito #2991, Tamborada Pukarita, D9
-17.497762,-66.168970, Calle Abaroa #2992, Pukara Grande, D9
-17.454605,-66.205846, Calle 1ro de Mayo #2993, 1ro de Mayo, D9
-17.471391,-66.178700, Calle Esperanza #2994, Tamborada Pukarita, D9
-17.447450,-66.223041, Calle Tamborada #2995, Pukara Grande, D9
-17.421980,-66.215200, Calle San Benito #2996, 1ro de Mayo, D9
-17.449005,-66.170974, Calle Abaroa #2997, Tamborada Pukarita, D9
-17.486858,-66.257426, Calle 1ro de Mayo #2998, Pukara Grande, D9
-17.423735,-66.184109, Calle Esperanza #2999, 1ro de Mayo, D9
-17.480238,-66.181520, Calle Tamborada #3000, Tamborada Pukarita, D9
-17.458849,-66.185434, Calle San Benito #3001, Pukara Grande, D9
-17.454905,-66.224858, Calle Abaroa #3002, 1ro de Mayo, D9
-17.485414,-66.198454, Calle 1ro de Mayo #3003, Tamborada Pukarita, D9
-17.489679,-66.156199, Calle Esperanza #3004, Pukara Grande, D9
-17.459552,-66.208648, Calle Tamborada #3005, 1ro de Mayo, D9
-17.479227,-66.239417, Calle San Benito #3006, Tamborada Pukarita, D9
-17.474580,-66.202625, Calle Abaroa #3007, Pukara Grande, D9
-17.473928,-66.202108, Calle 1ro de Mayo #3008, 1ro de Mayo, D9
-17.464341,-66.233712, Calle Esperanza #3009, Tamborada Pukarita, D9
-17.434649,-66.200356, Calle Tamborada #3010, Pukara Grande, D9
-17.423138,-66.187067, Calle San Benito #3011, 1ro de Mayo, D9
-17.451551,-66.188833, Calle Abaroa #3012, Tamborada Pukarita, D9
-17.414257,-66.209928, Calle 1ro de Mayo #3013, Pukara Grande, D9
-17.449825,-66.223986, Calle Esperanza #3014, 1ro de Mayo, D9
-17.501966,-66.181799, Calle Tamborada #3015, Tamborada Pukarita, D9
-17.492497,-66.178136, Calle San Benito #3016, Pukara Grande, D9
-17.453201,-66.212942, Calle Abaroa #3017, 1ro de Mayo, D9
-17.449473,-66.222884, Calle 1ro de Mayo #3018, Tamborada Pukarita, D9
-17.429000,-66.212592, Calle Esperanza #3019, Pukara Grande, D9
-17.462643,-66.197070, Calle Tamborada #3020, 1ro de Mayo, D9
-17.486143,-66.256037, Calle San Benito #3021, Tamborada Pukarita, D9
-17.489866,-66.186053, Calle Abaroa #3022, Pukara Grande, D9
-17.475684,-66.237443, Calle 1ro de Mayo #3023, 1ro de Mayo, D9
-17.444898,-66.168655, Calle Esperanza #3024, Tamborada Pukarita, D9
-17.503206,-66.158586, Calle Tamborada #3025, Pukara Grande, D9
-17.428391,-66.188537, Calle San Benito #3026, 1ro de Mayo, D9
-17.434134,-66.187272, Calle Abaroa #3027, Tamborada Pukarita, D9
-17.413632,-66.220982, Calle 1ro de Mayo #3028, Pukara Grande, D9
-17.451425,-66.220524, Calle Esperanza #3029, 1ro de Mayo, D9
-17.438978,-66.170261, Calle Tamborada #3030, Tamborada Pukarita, D9
-17.466319,-66.223799, Calle San Benito #3031, Pukara Grande, D9
-17.465651,-66.170015, Calle Abaroa #3032, 1ro de Mayo, D9
-17.473052,-66.177205, Calle 1ro de Mayo #3033, Tamborada Pukarita, D9
-17.404858,-66.209568, Calle Esperanza #3034, Pukara Grande, D9
-17.436695,-66.173379, Calle Tamborada #3035, 1ro de Mayo, D9
-17.430491,-66.192956, Calle San Benito #3036, Tamborada Pukarita, D9
-17.484452,-66.258521, Calle Abaroa #3037, Pukara Grande, D9
-17.464952,-66.219328, Calle 1ro de Mayo #3038, 1ro de Mayo, D9
-17.471000,-66.168156, Calle Esperanza #3039, Tamborada Pukarita, D9
-17.457549,-66.228448, Calle Tamborada #3040, Pukara Grande, D9
-17.411467,-66.202990, Calle San Benito #3041, 1ro de Mayo, D9
-17.499621,-66.155119, Calle Abaroa #3042, Tamborada Pukarita, D9
-17.466779,-66.211617, Calle 1ro de Mayo #3043, Pukara Grande, D9
-17.455957,-66.238333, Calle Esperanza #3044, 1ro de Mayo, D9
-17.441827,-66.220452, Calle Tamborada #3045, Tamborada Pukarita, D9
-17.490736,-66.181403, Calle San Benito #3046, Pukara Grande, D9
-17.446016,-66.169517, Calle Abaroa #3047, 1ro de Mayo, D9
-17.436566,-66.172056, Calle 1ro de Mayo #3048, Tamborada Pukarita, D9
-17.494469,-66.191228, Calle Esperanza #3049, Pukara Grande, D9
-17.479283,-66.246662, Calle Tamborada #3050, 1ro de Mayo, D9
-17.434569,-66.219405, Calle San Benito #3051, Tamborada Pukarita, D9
-17.455908,-66.229317, Calle Abaroa #3052, Pukara Grande, D9
-17.463925,-66.213079, Calle 1ro de Mayo #3053, 1ro de Mayo, D9
-17.501827,-66.177959, Calle Esperanza #3054, Tamborada Pukarita, D9
-17.480349,-66.207450, Calle Tamborada #3055, Pukara Grande, D9
-17.435390,-66.210589, Calle San Benito #3056, 1ro de Mayo, D9
-17.469335,-66.222442, Calle Abaroa #3057, Tamborada Pukarita, D9
-17.481648,-66.207113, Calle 1ro de Mayo #3058, Pukara Grande, D9
-17.483016,-66.194541, Calle Esperanza #3059, 1ro de Mayo, D9
-17.464395,-66.193485, Calle Tamborada #3060, Tamborada Pukarita, D9
-17.410331,-66.210367, Calle San Benito #3061, Pukara Grande, D9
-17.484942,-66.228554, Calle Abaroa #3062, 1ro de Mayo, D9
-17.418486,-66.212351, Calle 1ro de Mayo #3063, Tamborada Pukarita, D9
-17.482182,-66.164545, Calle Esperanza #3064, Pukara Grande, D9
-17.461086,-66.217627, Calle Tamborada #3065, 1ro de Mayo, D9
-17.490466,-66.176112, Calle San Benito #3066, Tamborada Pukarita, D9
-17.447883,-66.182563, Calle Abaroa #3067, Pukara Grande, D9
-17.506298,-66.160548, Calle 1ro de Mayo #3068, 1ro de Mayo, D9
-17.482698,-66.159469, Calle Esperanza #3069, Tamborada Pukarita, D9
-17.481287,-66.231989, Calle Tamborada #3070, Pukara Grande, D9
-17.454721,-66.213975, Calle San Benito #3071, 1ro de Mayo, D9
-17.459633,-66.226803, Calle Abaroa #3072, Tamborada Pukarita, D9
-17.431207,-66.223200, Calle 1ro de Mayo #3073, Pukara Grande, D9
-17.505017,-66.163914, Calle Esperanza #3074, 1ro de Mayo, D9
-17.457384,-66.230966, Calle Tamborada #3075, Tamborada Pukarita, D9
-17.497326,-66.176628, Calle San Benito #3076, Pukara Grande, D9
-17.410050,-66.205070, Calle Abaroa #3077, 1ro de Mayo, D9
-17.422709,-66.184588, Calle 1ro de Mayo #3078, Tamborada Pukarita, D9
-17.404027,-66.212111, Calle Esperanza #3079, Pukara Grande, D9
-17.442835,-66.179121, Calle Tamborada #3080, 1ro de Mayo, D9
-17.444830,-66.231327, Calle San Benito #3081, Tamborada Pukarita, D9
-17.490931,-66.180743, Calle Abaroa #3082, Pukara Grande, D9
-17.447548,-66.162269, Calle 1ro de Mayo #3083, 1ro de Mayo, D9
-17.482641,-66.233596, Calle Esperanza #3084, Tamborada Pukarita, D9
-17.405016,-66.193911, Calle Tamborada #3085, Pukara Grande, D9
-17.481521,-66.193857, Calle San Benito #3086, 1ro de Mayo, D9
-17.408238,-66.195094, Calle Abaroa #3087, Tamborada Pukarita, D9
-17.481101,-66.168948, Calle 1ro de Mayo #3088, Pukara Grande, D9
-17.474254,-66.230915, Calle Esperanza #3089, 1ro de Mayo, D9
-17.421014,-66.208259, Calle Tamborada #3090, Tamborada Pukarita, D9
-17.490933,-66.198391, Calle San Benito #3091, Pukara Grande, D9
-17.490911,-66.171226, Calle Abaroa #3092, 1ro de Mayo, D9
-17.420579,-66.222575, Calle 1ro de Mayo #3093, Tamborada Pukarita, D9
-17.456216,-66.203825, Calle Esperanza #3094, Pukara Grande, D9
-17.486404,-66.176680, Calle Tamborada #3095, 1ro de Mayo, D9
-17.477048,-66.201285, Calle San Benito #3096, Tamborada Pukarita, D9
-17.477951,-66.188265, Calle Abaroa #3097, Pukara Grande, D9
-17.467626,-66.174258, Calle 1ro de Mayo #3098, 1ro de Mayo, D9
-17.477653,-66.211256, Calle Esperanza #3099, Tamborada Pukarita, D9
-17.430675,-66.213604, Calle Tamborada #3100, Pukara Grande, D9
-17.468679,-66.170457, Calle San Benito #3101, 1ro de Mayo, D9
-17.447164,-66.161744, Calle Abaroa #3102, Tamborada Pukarita, D9
-17.495016,-66.191191, Calle 1ro de Mayo #3103, Pukara Grande, D9
-17.448937,-66.216185, Calle Esperanza #3104, 1ro de Mayo, D9
-17.474564,-66.242233, Calle Tamborada #3105, Tamborada Pukarita, D9
-17.480741,-66.162523, Calle San Benito #3106, Pukara Grande, D9
-17.424965,-66.222628, Calle Abaroa #3107, 1ro de Mayo, D9
-17.434784,-66.189042, Calle 1ro de Mayo #3108, Tamborada Pukarita, D9
-17.465672,-66.222317, Calle Esperanza #3109, Pukara Grande, D9
-17.440096,-66.177935, Calle Tamborada #3110, 1ro de Mayo, D9
-17.468728,-66.206988, Calle San Benito #3111, Tamborada Pukarita, D9
-17.438863,-66.182023, Calle Abaroa #3112, Pukara Grande, D9
-17.481962,-66.219460, Calle 1ro de Mayo #3113, 1ro de Mayo, D9
-17.438694,-66.189744, Calle Esperanza #3114, Tamborada Pukarita, D9
-17.457775,-66.235342, Calle Tamborada #3115, Pukara Grande, D9
-17.423092,-66.196182, Calle San Benito #3116, 1ro de Mayo, D9
-17.465373,-66.196349, Calle Abaroa #3117, Tamborada Pukarita, D9
-17.481646,-66.162102, Calle 1ro de Mayo #3118, Pukara Grande, D9
-17.462675,-66.214262, Calle Esperanza #3119, 1ro de Mayo, D9
-17.486208,-66.201347, Calle Tamborada #3120, Tamborada Pukarita, D9
-17.464521,-66.168380, Calle San Benito #3121, Pukara Grande, D9
-17.456914,-66.215932, Calle Abaroa #3122, 1ro de Mayo, D9
-17.490215,-66.160767, Calle 1ro de Mayo #3123, Tamborada Pukarita, D9
-17.423415,-66.220696, Calle Esperanza #3124, Pukara Grande, D9
-17.491483,-66.172143, Calle Tamborada #3125, 1ro de Mayo, D9
-17.482944,-66.185876, Calle San Benito #3126, Tamborada Pukarita, D9
-17.485548,-66.188908, Calle Abaroa #3127, Pukara Grande, D9
-17.462730,-66.223955, Calle 1ro de Mayo #3128, 1ro de Mayo, D9
-17.465374,-66.211938, Calle Esperanza #3129, Tamborada Pukarita, D9
-17.471026,-66.205588, Calle Tamborada #3130, Pukara Grande, D9
-17.421709,-66.211227, Calle San Benito #3131, 1ro de Mayo, D9
-17.498899,-66.156044, Calle Abaroa #3132, Tamborada Pukarita, D9
-17.459575,-66.172454, Calle 1ro de Mayo #3133, Pukara Grande, D9
-17.471999,-66.185291, Calle Esperanza #3134, 1ro de Mayo, D9
-17.443084,-66.179998, Calle Tamborada #3135, Tamborada Pukarita, D9
-17.449716,-66.195751, Calle San Benito #3136, Pukara Grande, D9
-17.480085,-66.188124, Calle Abaroa #3137, 1ro de Mayo, D9
-17.480797,-66.244188, Calle 1ro de Mayo #3138, Tamborada Pukarita, D9
-17.431690,-66.223298, Calle Esperanza #3139, Pukara Grande, D9
-17.493218,-66.188408, Calle Tamborada #3140, 1ro de Mayo, D9
-17.444599,-66.201032, Calle San Benito #3141, Tamborada Pukarita, D9
-17.446163,-66.172966, Calle Abaroa #3142, Pukara Grande, D9
-17.418374,-66.223747, Calle 1ro de Mayo #3143, 1ro de Mayo, D9
-17.455198,-66.195523, Calle Esperanza #3144, Tamborada Pukarita, D9
-17.441313,-66.172172, Calle Tamborada #3145, Pukara Grande, D9
-17.436918,-66.175371, Calle San Benito #3146, 1ro de Mayo, D9
-17.486692,-66.196700, Calle Abaroa #3147, Tamborada Pukarita, D9
-17.469275,-66.206109, Calle 1ro de Mayo #3148, Pukara Grande, D9
-17.483201,-66.186926, Calle Esperanza #3149, 1ro de Mayo, D9
-17.477961,-66.237002, Calle Tamborada #3150, Tamborada Pukarita, D9
-17.443741,-66.162142, Calle San Benito #3151, Pukara Grande, D9
-17.457131,-66.173752, Calle Abaroa #3152, 1ro de Mayo, D9
-17.440579,-66.225149, Calle 1ro de Mayo #3153, Tamborada Pukarita, D9
-17.449857,-66.203505, Calle Esperanza #3154, Pukara Grande, D9
-17.428450,-66.202988, Calle Tamborada #3155, 1ro de Mayo, D9
-17.446570,-66.160597, Calle San Benito #3156, Tamborada Pukarita, D9
-17.457436,-66.213695, Calle Abaroa #3157, Pukara Grande, D9
-17.482234,-66.223615, Calle 1ro de Mayo #3158, 1ro de Mayo, D9
-17.476611,-66.172272, Calle Esperanza #3159, Tamborada Pukarita, D9
-17.460628,-66.191744, Calle Tamborada #3160, Pukara Grande, D9
-17.433224,-66.198695, Calle San Benito #3161, 1ro de Mayo, D9
-17.477422,-66.220068, Calle Abaroa #3162, Tamborada Pukarita, D9
-17.489220,-66.184866, Calle 1ro de Mayo #3163, Pukara Grande, D9
-17.450404,-66.219991, Calle Esperanza #3164, 1ro de Mayo, D9
-17.486309,-66.198226, Calle Tamborada #3165, Tamborada Pukarita, D9
-17.431176,-66.190421, Calle San Benito #3166, Pukara Grande, D9
-17.485779,-66.234162, Calle Abaroa #3167, 1ro de Mayo, D9
-17.418711,-66.198809, Calle 1ro de Mayo #3168, Tamborada Pukarita, D9
-17.456431,-66.218256, Calle Esperanza #3169, Pukara Grande, D9
-17.470711,-66.214833, Calle Tamborada #3170, 1ro de Mayo, D9
-17.469725,-66.190379, Calle San Benito #3171, Tamborada Pukarita, D9
-17.415788,-66.192385, Calle Abaroa #3172, Pukara Grande, D9
-17.465669,-66.166675, Calle 1ro de Mayo #3173, 1ro de Mayo, D9
-17.480410,-66.225698, Calle Esperanza #3174, Tamborada Pukarita, D9
-17.437402,-66.181583, Calle Tamborada #3175, Pukara Grande, D9
-17.479808,-66.211501, Calle San Benito #3176, 1ro de Mayo, D9
-17.447515,-66.181861, Calle Abaroa #3177, Tamborada Pukarita, D9
-17.437639,-66.180757, Calle 1ro de Mayo #3178, Pukara Grande, D9
-17.404909,-66.217643, Calle Esperanza #3179, 1ro de Mayo, D9
-17.476882,-66.240591, Calle Tamborada #3180, Tamborada Pukarita, D9
-17.443740,-66.184969, Calle San Benito #3181, Pukara Grande, D9
-17.482375,-66.254174, Calle Abaroa #3182, 1ro de Mayo, D9
-17.448172,-66.179009, Calle 1ro de Mayo #3183, Tamborada Pukarita, D9
-17.459974,-66.225840, Calle Esperanza #3184, Pukara Grande, D9
-17.461187,-66.228113, Calle Tamborada #3185, 1ro de Mayo, D9
-17.471016,-66.162760, Calle San Benito #3186, Tamborada Pukarita, D9
-17.505357,-66.155124, Calle Abaroa #3187, Pukara Grande, D9
-17.448737,-66.159171, Calle 1ro de Mayo #3188, 1ro de Mayo, D9
-17.467788,-66.164166, Calle Esperanza #3189, Tamborada Pukarita, D9
-17.504903,-66.168411, Calle Tamborada #3190, Pukara Grande, D9
-17.457219,-66.175196, Calle San Benito #3191, 1ro de Mayo, D9
-17.434843,-66.173475, Calle Abaroa #3192, Tamborada Pukarita, D9
-17.487800,-66.183968, Calle 1ro de Mayo #3193, Pukara Grande, D9
-17.429987,-66.177399, Calle Esperanza #3194, 1ro de Mayo, D9
-17.431949,-66.198399, Calle Tamborada #3195, Tamborada Pukarita, D9
-17.477653,-66.255870, Calle San Benito #3196, Pukara Grande, D9
-17.478413,-66.218676, Calle Abaroa #3197, 1ro de Mayo, D9
-17.452782,-66.212921, Calle 1ro de Mayo #3198, Tamborada Pukarita, D9
