-17.424504,-66.148321, Calle Kantuta #100, Alalay Sud, D6
-17.415958,-66.142109, Calle Siringuero #1036, Alalay Sud, D6
-17.409004,-66.128872, Calle Tupac Katari #1037, Kantuta, D6
-17.419550,-66.141411, Av. Melchor Urquidi #1038, Villa Hermosa, D6
-17.420766,-66.146239, Calle Dalence #1039, Alalay Sud, D6
-17.407390,-66.129056, Calle Kantuta #1040, Kantuta, D6
-17.406169,-66.137961, Calle Siringuero #1041, Villa Hermosa, D6
-17.409966,-66.133697, Calle Tupac Katari #1042, Alalay Sud, D6
-17.405737,-66.135268, Av. Melchor Urquidi #1043, Kantuta, D6
-17.412676,-66.126800, Calle Dalence #1044, Villa Hermosa, D6
-17.418537,-66.147958, Calle Kantuta #1045, Alalay Sud, D6
-17.409395,-66.137292, Calle Siringuero #1046, Kantuta, D6
-17.410737,-66.130794, Calle Tupac Katari #1047, Villa Hermosa, D6
-17.409885,-66.134725, Av. Melchor Urquidi #1048, Alalay Sud, D6
-17.414999,-66.150186, Calle Dalence #1049, Kantuta, D6
-17.407235,-66.133986, Calle Kantuta #1050, Villa Hermosa, D6
-17.415623,-66.154260, Calle Siringuero #1051, Alalay Sud, D6
-17.403732,-66.146650, Calle Tupac Katari #1052, Kantuta, D6
-17.402423,-66.140769, Av. Melchor Urquidi #1053, Villa Hermosa, D6
-17.403517,-66.123815, Calle Dalence #1054, Alalay Sud, D6
-17.403031,-66.144763, Calle Kantuta #1055, Kantuta, D6
-17.415295,-66.142960, Calle Siringuero #1056, Villa Hermosa, D6
-17.423836,-66.145509, Calle Tupac Katari #1057, Alalay Sud, D6
-17.405158,-66.139159, Av. Melchor Urquidi #1058, Kantuta, D6
-17.404400,-66.149160, Calle Dalence #1059, Villa Hermosa, D6
-17.425963,-66.145792, Calle Kantuta #1060, Alalay Sud, D6
-17.402266,-66.130273, Calle Siringuero #1061, Kantuta, D6
-17.426478,-66.146424, Calle Tupac Katari #1062, Villa Hermosa, D6
-17.414552,-66.136367, Av. Melchor Urquidi #1063, Alalay Sud, D6
-17.414072,-66.128930, Calle Dalence #1064, Kantuta, D6
-17.419235,-66.138147, Calle Kantuta #1065, Villa Hermosa, D6
-17.403317,-66.142515, Calle Siringuero #1066, Alalay Sud, D6
-17.411530,-66.145269, Calle Tupac Katari #1067, Kantuta, D6
-17.409096,-66.134250, Av. Melchor Urquidi #1068, Villa Hermosa, D6
-17.406080,-66.133001, Calle Dalence #1069, Alalay Sud, D6
-17.415596,-66.145218, Calle Kantuta #1070, Kantuta, D6
-17.413434,-66.144863, Calle Siringuero #1071, Villa Hermosa, D6
-17.406723,-66.142717, Calle Tupac Katari #1072, Alalay Sud, D6
-17.411471,-66.141845, Av. Melchor Urquidi #1073, Kantuta, D6
-17.406716,-66.143291, Calle Dalence #1074, Villa Hermosa, D6
-17.414862,-66.135967, Calle Kantuta #1075, Alalay Sud, D6
-17.403951,-66.124842, Calle Siringuero #1076, Kantuta, D6
-17.414101,-66.153359, Calle Tupac Katari #1077, Villa Hermosa, D6
-17.415470,-66.150947, Av. Melchor Urquidi #1078, Alalay Sud, D6
-17.400115,-66.130822, Calle Dalence #1079, Kantuta, D6
-17.420110,-66.148710, Calle Kantuta #1080, Villa Hermosa, D6
-17.410583,-66.144367, Calle Siringuero #1081, Alalay Sud, D6
-17.414632,-66.133622, Calle Tupac Katari #1082, Kantuta, D6
-17.416710,-66.141765, Av. Melchor Urquidi #1083, Villa Hermosa, D6
-17.407933,-66.141423, Calle Dalence #1084, Alalay Sud, D6
-17.421745,-66.148513, Calle Kantuta #1085, Kantuta, D6
-17.400675,-66.130565, Calle Siringuero #1086, Villa Hermosa, D6
-17.403156,-66.150653, Calle Tupac Katari #1087, Alalay Sud, D6
-17.400364,-66.137789, Av. Melchor Urquidi #1088, Kantuta, D6
-17.416748,-66.143733, Calle Dalence #1089, Villa Hermosa, D6
-17.412649,-66.150453, Calle Kantuta #1090, Alalay Sud, D6
-17.420844,-66.134202, Calle Siringuero #1091, Kantuta, D6
-17.421470,-66.139772, Calle Tupac Katari #1092, Villa Hermosa, D6
-17.400618,-66.138703, Av. Melchor Urquidi #1093, Alalay Sud, D6
-17.405104,-66.147544, Calle Dalence #1094, Kantuta, D6
-17.415639,-66.149028, Calle Kantuta #1095, Villa Hermosa, D6
-17.411521,-66.146103, Calle Siringuero #1096, Alalay Sud, D6
-17.422839,-66.137759, Calle Tupac Katari #1097, Kantuta, D6
-17.424836,-66.152884, Av. Melchor Urquidi #1098, Villa Hermosa, D6
-17.400276,-66.127504, Calle Dalence #1099, Alalay Sud, D6
-17.416178,-66.153612, Calle Kantuta #1100, Kantuta, D6
-17.406383,-66.144061, Calle Siringuero #1101, Villa Hermosa, D6
-17.408395,-66.150343, Calle Tupac Katari #1102, Alalay Sud, D6
-17.413284,-66.140608, Av. Melchor Urquidi #1103, Kantuta, D6
-17.417710,-66.133963, Calle Dalence #1104, Villa Hermosa, D6
-17.420038,-66.141977, Calle Kantuta #1105, Alalay Sud, D6
-17.409330,-66.132784, Calle Siringuero #1106, Kantuta, D6
-17.414131,-66.150849, Calle Tupac Katari #1107, Villa Hermosa, D6
-17.408261,-66.147171, Av. Melchor Urquidi #1108, Alalay Sud, D6
-17.411943,-66.146708, Calle Dalence #1109, Kantuta, D6
-17.412612,-66.144423, Calle Kantuta #1110, Villa Hermosa, D6
-17.415016,-66.134680, Calle Siringuero #1111, Alalay Sud, D6
-17.403468,-66.148117, Calle Tupac Katari #1112, Kantuta, D6
-17.399708,-66.139582, Av. Melchor Urquidi #1113, Villa Hermosa, D6
-17.398250,-66.134746, Calle Dalence #1114, Alalay Sud, D6
-17.426401,-66.151744, Calle Kantuta #1115, Kantuta, D6
-17.419625,-66.138973, Calle Siringuero #1116, Villa Hermosa, D6
-17.413097,-66.146185, Calle Tupac Katari #1117, Alalay Sud, D6
-17.407196,-66.146286, Av. Melchor Urquidi #1118, Kantuta, D6
-17.417390,-66.148104, Calle Dalence #1119, Villa Hermosa, D6
-17.414075,-66.155222, Calle Kantuta #1120, Alalay Sud, D6
-17.405672,-66.124066, Calle Siringuero #1121, Kantuta, D6
-17.415970,-66.137599, Calle Tupac Katari #1122, Villa Hermosa, D6
-17.420016,-66.146403, Av. Melchor Urquidi #1123, Alalay Sud, D6
-17.420108,-66.137613, Calle Dalence #1124, Kantuta, D6
-17.416636,-66.134815, Calle Kantuta #1125, Villa Hermosa, D6
-17.401806,-66.124503, Calle Siringuero #1126, Alalay Sud, D6
-17.401516,-66.150403, Calle Tupac Katari #1127, Kantuta, D6
-17.405654,-66.152202, Av. Melchor Urquidi #1128, Villa Hermosa, D6
-17.423209,-66.133898, Calle Dalence #1129, Alalay Sud, D6
-17.416711,-66.134229, Calle Kantuta #1130, Kantuta, D6
-17.418337,-66.134763, Calle Siringuero #1131, Villa Hermosa, D6
-17.419662,-66.152937, Calle Tupac Katari #1132, Alalay Sud, D6
-17.399583,-66.138046, Av. Melchor Urquidi #1133, Kantuta, D6
-17.419289,-66.154363, Calle Dalence #1134, Villa Hermosa, D6
-17.421457,-66.144473, Calle Kantuta #1135, Alalay Sud, D6
-17.419480,-66.151226, Calle Siringuero #1136, Kantuta, D6
-17.413220,-66.134780, Calle Tupac Katari #1137, Villa Hermosa, D6
-17.400908,-66.146893, Av. Melchor Urquidi #1138, Alalay Sud, D6
-17.409869,-66.146503, Calle Dalence #1139, Kantuta, D6
-17.400913,-66.129840, Calle Kantuta #1140, Villa Hermosa, D6
-17.425055,-66.143526, Calle Siringuero #1141, Alalay Sud, D6
-17.410225,-66.136401, Calle Tupac Katari #1142, Kantuta, D6
-17.423368,-66.146215, Av. Melchor Urquidi #1143, Villa Hermosa, D6
-17.405442,-66.145239, Calle Dalence #1144, Alalay Sud, D6
-17.412723,-66.128396, Calle Kantuta #1145, Kantuta, D6
-17.421258,-66.141048, Calle Siringuero #1146, Villa Hermosa, D6
-17.422353,-66.150797, Calle Tupac Katari #1147, Alalay Sud, D6
-17.413259,-66.128740, Av. Melchor Urquidi #1148, Kantuta, D6
-17.402984,-66.138410, Calle Dalence #1149, Villa Hermosa, D6
-17.421387,-66.148010, Calle Kantuta #1150, Alalay Sud, D6
-17.416291,-66.143908, Calle Siringuero #1151, Kantuta, D6
-17.411436,-66.138568, Calle Tupac Katari #1152, Villa Hermosa, D6
-17.402615,-66.150254, Av. Melchor Urquidi #1153, Alalay Sud, D6
-17.422944,-66.148372, Calle Dalence #1154, Kantuta, D6
-17.413763,-66.143243, Calle Kantuta #1155, Villa Hermosa, D6
-17.411292,-66.135892, Calle Siringuero #1156, Alalay Sud, D6
-17.409994,-66.151743, Calle Tupac Katari #1157, Kantuta, D6
-17.411996,-66.136436, Av. Melchor Urquidi #1158, Villa Hermosa, D6
-17.405437,-66.152023, Calle Dalence #1159, Alalay Sud, D6
-17.415562,-66.128091, Calle Kantuta #1160, Kantuta, D6
-17.414187,-66.143996, Calle Siringuero #1161, Villa Hermosa, D6
-17.401261,-66.140173, Calle Tupac Katari #1162, Alalay Sud, D6
-17.403585,-66.132704, Av. Melchor Urquidi #1163, Kantuta, D6
-17.400236,-66.133692, Calle Dalence #1164, Villa Hermosa, D6
-17.408041,-66.141010, Calle Kantuta #1165, Alalay Sud, D6
-17.414339,-66.154528, Calle Siringuero #1166, Kantuta, D6
-17.417729,-66.141375, Calle Tupac Katari #1167, Villa Hermosa, D6
-17.416484,-66.134985, Av. Melchor Urquidi #1168, Alalay Sud, D6
-17.413538,-66.142801, Calle Dalence #1169, Kantuta, D6
-17.417213,-66.132405, Calle Kantuta #1170, Villa Hermosa, D6
-17.409010,-66.151411, Calle Siringuero #1171, Alalay Sud, D6
-17.423035,-66.131251, Calle Tupac Katari #1172, Kantuta, D6
-17.403006,-66.131747, Av. Melchor Urquidi #1173, Villa Hermosa, D6
-17.405499,-66.138369, Calle Dalence #1174, Alalay Sud, D6
-17.427421,-66.150388, Calle Kantuta #1175, Kantuta, D6
-17.396844,-66.127742, Calle Siringuero #1176, Villa Hermosa, D6
-17.412557,-66.136363, Calle Tupac Katari #1177, Alalay Sud, D6
-17.407863,-66.150033, Av. Melchor Urquidi #1178, Kantuta, D6
-17.407581,-66.136301, Calle Dalence #1179, Villa Hermosa, D6
-17.401302,-66.145516, Calle Kantuta #1180, Alalay Sud, D6
-17.405520,-66.142702, Calle Siringuero #1181, Kantuta, D6
-17.401194,-66.148645, Calle Tupac Katari #1182, Villa Hermosa, D6
-17.401356,-66.145376, Av. Melchor Urquidi #1183, Alalay Sud, D6
-17.420395,-66.143444, Calle Dalence #1184, Kantuta, D6
-17.401622,-66.136816, Calle Kantuta #1185, Villa Hermosa, D6
-17.419458,-66.136578, Calle Siringuero #1186, Alalay Sud, D6
-17.416117,-66.149614, Calle Tupac Katari #1187, Kantuta, D6
-17.424756,-66.146416, Av. Melchor Urquidi #1188, Villa Hermosa, D6
-17.419296,-66.154231, Calle Dalence #1189, Alalay Sud, D6
-17.412908,-66.152330, Calle Kantuta #1190, Kantuta, D6
-17.418691,-66.148911, Calle Siringuero #1191, Villa Hermosa, D6
-17.413595,-66.126206, Calle Tupac Katari #1192, Alalay Sud, D6
-17.427992,-66.151274, Av. Melchor Urquidi #1193, Kantuta, D6
-17.402919,-66.149387, Calle Dalence #1194, Villa Hermosa, D6
-17.413448,-66.154314, Calle Kantuta #1195, Alalay Sud, D6
-17.424284,-66.151715, Calle Siringuero #1196, Kantuta, D6
-17.406302,-66.148580, Calle Tupac Katari #1197, Villa Hermosa, D6
-17.418450,-66.136782, Av. Melchor Urquidi #1198, Alalay Sud, D6
-17.400230,-66.128297, Calle Dalence #1199, Kantuta, D6
-17.411081,-66.140511, Calle Kantuta #1200, Villa Hermosa, D6
-17.415957,-66.132032, Calle Siringuero #1201, Alalay Sud, D6
-17.407076,-66.150486, Calle Tupac Katari #1202, Kantuta, D6
-17.407375,-66.130625, Av. Melchor Urquidi #1203, Villa Hermosa, D6
-17.409881,-66.137475, Calle Dalence #1204, Alalay Sud, D6
-17.410529,-66.145757, Calle Kantuta #1205, Kantuta, D6
-17.410487,-66.141338, Calle Siringuero #1206, Villa Hermosa, D6
-17.406322,-66.124832, Calle Tupac Katari #1207, Alalay Sud, D6
-17.418149,-66.150718, Av. Melchor Urquidi #1208, Kantuta, D6
-17.417611,-66.146190, Calle Dalence #1209, Villa Hermosa, D6
-17.425546,-66.144772, Calle Kantuta #1210, Alalay Sud, D6
-17.411459,-66.141288, Calle Siringuero #1211, Kantuta, D6
-17.413404,-66.146715, Calle Tupac Katari #1212, Villa Hermosa, D6
-17.426584,-66.151571, Av. Melchor Urquidi #1213, Alalay Sud, D6
-17.423754,-66.145248, Calle Dalence #1214, Kantuta, D6
-17.422588,-66.132719, Calle Kantuta #1215, Villa Hermosa, D6
-17.402557,-66.137968, Calle Siringuero #1216, Alalay Sud, D6
-17.410864,-66.130714, Calle Tupac Katari #1217, Kantuta, D6
-17.404833,-66.127122, Av. Melchor Urquidi #1218, Villa Hermosa, D6
-17.409873,-66.150352, Calle Dalence #1219, Alalay Sud, D6
-17.413514,-66.131820, Calle Kantuta #1220, Kantuta, D6
-17.404191,-66.148095, Calle Siringuero #1221, Villa Hermosa, D6
-17.425750,-66.148739, Calle Tupac Katari #1222, Alalay Sud, D6
-17.405811,-66.148097, Av. Melchor Urquidi #1223, Kantuta, D6
-17.401646,-66.147440, Calle Dalence #1224, Villa Hermosa, D6
-17.404384,-66.130471, Calle Kantuta #1225, Alalay Sud, D6
-17.418333,-66.134720, Calle Siringuero #1226, Kantuta, D6
-17.411420,-66.146590, Calle Tupac Katari #1227, Villa Hermosa, D6
-17.413418,-66.152123, Av. Melchor Urquidi #1228, Alalay Sud, D6
-17.424800,-66.147580, Calle Dalence #1229, Kantuta, D6
-17.408398,-66.127502, Calle Kantuta #1230, Villa Hermosa, D6
-17.408770,-66.150979, Calle Siringuero #1231, Alalay Sud, D6
-17.426336,-66.152153, Calle Tupac Katari #1232, Kantuta, D6
-17.404469,-66.126774, Av. Melchor Urquidi #1233, Villa Hermosa, D6
-17.412195,-66.141661, Calle Dalence #1234, Alalay Sud, D6
-17.408992,-66.141229, Calle Kantuta #1235, Kantuta, D6
-17.427112,-66.151339, Calle Siringuero #1236, Villa Hermosa, D6
-17.402328,-66.147301, Calle Tupac Katari #1237, Alalay Sud, D6
-17.419614,-66.136705, Av. Melchor Urquidi #1238, Kantuta, D6
-17.405632,-66.131647, Calle Dalence #1239, Villa Hermosa, D6
-17.419985,-66.142803, Calle Kantuta #1240, Alalay Sud, D6
-17.403588,-66.137121, Calle Siringuero #1241, Kantuta, D6
-17.413727,-66.132418, Calle Tupac Katari #1242, Villa Hermosa, D6
-17.417852,-66.146117, Av. Melchor Urquidi #1243, Alalay Sud, D6
-17.413912,-66.128366, Calle Dalence #1244, Kantuta, D6
-17.422048,-66.151101, Calle Kantuta #1245, Villa Hermosa, D6
-17.406710,-66.144869, Calle Siringuero #1246, Alalay Sud, D6
-17.422117,-66.133675, Calle Tupac Katari #1247, Kantuta, D6
-17.404925,-66.141362, Av. Melchor Urquidi #1248, Villa Hermosa, D6
-17.411231,-66.140524, Calle Dalence #1249, Alalay Sud, D6
-17.427685,-66.152001, Calle Kantuta #1250, Kantuta, D6
-17.420862,-66.136850, Calle Siringuero #1251, Villa Hermosa, D6
-17.413614,-66.137928, Calle Tupac Katari #1252, Alalay Sud, D6
-17.425705,-66.148385, Av. Melchor Urquidi #1253, Kantuta, D6
-17.415073,-66.153801, Calle Dalence #1254, Villa Hermosa, D6
-17.415860,-66.146264, Calle Kantuta #1255, Alalay Sud, D6
-17.415736,-66.155354, Calle Siringuero #1256, Kantuta, D6
-17.408948,-66.141743, Calle Tupac Katari #1257, Villa Hermosa, D6
-17.413592,-66.128825, Av. Melchor Urquidi #1258, Alalay Sud, D6
-17.419252,-66.136132, Calle Dalence #1259, Kantuta, D6
-17.419124,-66.146350, Calle Kantuta #1260, Villa Hermosa, D6
-17.410758,-66.149250, Calle Siringuero #1261, Alalay Sud, D6
-17.416511,-66.152697, Calle Tupac Katari #1262, Kantuta, D6
-17.416558,-66.129434, Av. Melchor Urquidi #1263, Villa Hermosa, D6
-17.405429,-66.134796, Calle Dalence #1264, Alalay Sud, D6
-17.407687,-66.128570, Calle Kantuta #1265, Kantuta, D6
-17.415877,-66.135760, Calle Siringuero #1266, Villa Hermosa, D6
-17.423251,-66.132941, Calle Tupac Katari #1267, Alalay Sud, D6
-17.425661,-66.148965, Av. Melchor Urquidi #1268, Kantuta, D6
-17.404698,-66.130297, Calle Dalence #1269, Villa Hermosa, D6
-17.407288,-66.143986, Calle Kantuta #1270, Alalay Sud, D6
-17.415888,-66.144868, Calle Siringuero #1271, Kantuta, D6
-17.402165,-66.142196, Calle Tupac Katari #1272, Villa Hermosa, D6
-17.412785,-66.143075, Av. Melchor Urquidi #1273, Alalay Sud, D6
-17.412200,-66.138731, Calle Dalence #1274, Kantuta, D6
-17.420283,-66.137029, Calle Kantuta #1275, Villa Hermosa, D6
-17.404393,-66.144067, Calle Siringuero #1276, Alalay Sud, D6
-17.400085,-66.127890, Calle Tupac Katari #1277, Kantuta, D6
-17.400363,-66.140423, Av. Melchor Urquidi #1278, Villa Hermosa, D6
-17.410413,-66.149549, Calle Dalence #1279, Alalay Sud, D6
-17.398354,-66.136305, Calle Kantuta #1280, Kantuta, D6
-17.407969,-66.132939, Calle Siringuero #1281, Villa Hermosa, D6
-17.408575,-66.129778, Calle Tupac Katari #1282, Alalay Sud, D6
-17.401834,-66.127933, Av. Melchor Urquidi #1283, Kantuta, D6
-17.413090,-66.151012, Calle Dalence #1284, Villa Hermosa, D6
-17.411245,-66.140622, Calle Kantuta #1285, Alalay Sud, D6
-17.401207,-66.133304, Calle Siringuero #1286, Kantuta, D6
-17.407046,-66.130398, Calle Tupac Katari #1287, Villa Hermosa, D6
-17.409622,-66.149831, Av. Melchor Urquidi #1288, Alalay Sud, D6
-17.425044,-66.148916, Calle Dalence #1289, Kantuta, D6
-17.418381,-66.145986, Calle Kantuta #1290, Villa Hermosa, D6
-17.406969,-66.147978, Calle Siringuero #1291, Alalay Sud, D6
-17.418571,-66.137562, Calle Tupac Katari #1292, Kantuta, D6
-17.413548,-66.140845, Av. Melchor Urquidi #1293, Villa Hermosa, D6
-17.409786,-66.141492, Calle Dalence #1294, Alalay Sud, D6
-17.400578,-66.138832, Calle Kantuta #1295, Kantuta, D6
-17.413723,-66.135783, Calle Siringuero #1296, Villa Hermosa, D6
-17.405367,-66.127536, Calle Tupac Katari #1297, Alalay Sud, D6
-17.403248,-66.150782, Av. Melchor Urquidi #1298, Kantuta, D6
-17.406569,-66.124715, Calle Dalence #1299, Villa Hermosa, D6
-17.416520,-66.143221, Calle Kantuta #1300, Alalay Sud, D6
-17.404752,-66.122166, Calle Siringuero #1301, Kantuta, D6
-17.419839,-66.131578, Calle Tupac Katari #1302, Villa Hermosa, D6
-17.411879,-66.136493, Av. Melchor Urquidi #1303, Alalay Sud, D6
-17.404734,-66.148416, Calle Dalence #1304, Kantuta, D6
-17.420752,-66.146724, Calle Kantuta #1305, Villa Hermosa, D6
-17.417587,-66.151120, Calle Siringuero #1306, Alalay Sud, D6
-17.423084,-66.150421, Calle Tupac Katari #1307, Kantuta, D6
-17.424373,-66.153289, Av. Melchor Urquidi #1308, Villa Hermosa, D6
-17.423178,-66.148590, Calle Dalence #1309, Alalay Sud, D6
-17.417071,-66.131435, Calle Kantuta #1310, Kantuta, D6
-17.420750,-66.140863, Calle Siringuero #1311, Villa Hermosa, D6
-17.413669,-66.151493, Calle Tupac Katari #1312, Alalay Sud, D6
-17.416692,-66.126751, Av. Melchor Urquidi #1313, Kantuta, D6
-17.422506,-66.142879, Calle Dalence #1314, Villa Hermosa, D6
-17.418467,-66.142606, Calle Kantuta #1315, Alalay Sud, D6
-17.423813,-66.152440, Calle Siringuero #1316, Kantuta, D6
-17.412842,-66.150307, Calle Tupac Katari #1317, Villa Hermosa, D6
-17.397288,-66.128255, Av. Melchor Urquidi #1318, Alalay Sud, D6
-17.402327,-66.133385, Calle Dalence #1319, Kantuta, D6
-17.410126,-66.138001, Calle Kantuta #1320, Villa Hermosa, D6
-17.410671,-66.149669, Calle Siringuero #1321, Alalay Sud, D6
-17.421754,-66.131990, Calle Tupac Katari #1322, Kantuta, D6
-17.425464,-66.144884, Av. Melchor Urquidi #1323, Villa Hermosa, D6
-17.420168,-66.136700, Calle Dalence #1324, Alalay Sud, D6
-17.418978,-66.146188, Calle Kantuta #1325, Kantuta, D6
-17.404081,-66.140789, Calle Siringuero #1326, Villa Hermosa, D6
-17.424069,-66.152028, Calle Tupac Katari #1327, Alalay Sud, D6
-17.402457,-66.148308, Av. Melchor Urquidi #1328, Kantuta, D6
-17.400308,-66.132490, Calle Dalence #1329, Villa Hermosa, D6
-17.422858,-66.143955, Calle Kantuta #1330, Alalay Sud, D6
-17.421614,-66.138390, Calle Siringuero #1331, Kantuta, D6
-17.406850,-66.128829, Calle Tupac Katari #1332, Villa Hermosa, D6
-17.413953,-66.126343, Av. Melchor Urquidi #1333, Alalay Sud, D6
-17.418016,-66.144099, Calle Dalence #1334, Kantuta, D6
-17.410775,-66.144419, Calle Kantuta #1335, Villa Hermosa, D6
-17.415828,-66.149853, Calle Siringuero #1336, Alalay Sud, D6
-17.416673,-66.141520, Calle Tupac Katari #1337, Kantuta, D6
-17.425900,-66.148405, Av. Melchor Urquidi #1338, Villa Hermosa, D6
-17.402572,-66.127544, Calle Dalence #1339, Alalay Sud, D6
-17.411872,-66.139622, Calle Kantuta #1340, Kantuta, D6
-17.402949,-66.136387, Calle Siringuero #1341, Villa Hermosa, D6
-17.408035,-66.126660, Calle Tupac Katari #1342, Alalay Sud, D6
-17.412430,-66.144293, Av. Melchor Urquidi #1343, Kantuta, D6
-17.412107,-66.137130, Calle Dalence #1344, Villa Hermosa, D6
-17.408750,-66.152044, Calle Kantuta #1345, Alalay Sud, D6
-17.411520,-66.152266, Calle Siringuero #1346, Kantuta, D6
-17.415080,-66.152343, Calle Tupac Katari #1347, Villa Hermosa, D6
-17.409173,-66.135075, Av. Melchor Urquidi #1348, Alalay Sud, D6
-17.401914,-66.142696, Calle Dalence #1349, Kantuta, D6
-17.418531,-66.144010, Calle Kantuta #1350, Villa Hermosa, D6
-17.415910,-66.144273, Calle Siringuero #1351, Alalay Sud, D6
-17.412261,-66.137535, Calle Tupac Katari #1352, Kantuta, D6
-17.402257,-66.123823, Av. Melchor Urquidi #1353, Villa Hermosa, D6
-17.412633,-66.142162, Calle Dalence #1354, Alalay Sud, D6
-17.402709,-66.134208, Calle Kantuta #1355, Kantuta, D6
-17.415023,-66.133316, Calle Siringuero #1356, Villa Hermosa, D6
-17.418420,-66.144159, Calle Tupac Katari #1357, Alalay Sud, D6
-17.412702,-66.136407, Av. Melchor Urquidi #1358, Kantuta, D6
-17.405393,-66.149533, Calle Dalence #1359, Villa Hermosa, D6
-17.418205,-66.132631, Calle Kantuta #1360, Alalay Sud, D6
-17.407789,-66.134793, Calle Siringuero #1361, Kantuta, D6
-17.412612,-66.145490, Calle Tupac Katari #1362, Villa Hermosa, D6
-17.413371,-66.135936, Av. Melchor Urquidi #1363, Alalay Sud, D6
-17.414194,-66.138384, Calle Dalence #1364, Kantuta, D6
-17.406117,-66.125845, Calle Kantuta #1365, Villa Hermosa, D6
-17.419551,-66.132606, Calle Siringuero #1366, Alalay Sud, D6
-17.414315,-66.131671, Calle Tupac Katari #1367, Kantuta, D6
-17.423418,-66.144626, Av. Melchor Urquidi #1368, Villa Hermosa, D6
-17.422055,-66.139176, Calle Dalence #1369, Alalay Sud, D6
-17.422825,-66.145426, Calle Kantuta #1370, Kantuta, D6
-17.424522,-66.150573, Calle Siringuero #1371, Villa Hermosa, D6
-17.402924,-66.143164, Calle Tupac Katari #1372, Alalay Sud, D6
-17.403519,-66.130096, Av. Melchor Urquidi #1373, Kantuta, D6
-17.405517,-66.142051, Calle Dalence #1374, Villa Hermosa, D6
-17.399820,-66.136805, Calle Kantuta #1375, Alalay Sud, D6
-17.404604,-66.148607, Calle Siringuero #1376, Kantuta, D6
-17.412049,-66.137824, Calle Tupac Katari #1377, Villa Hermosa, D6
-17.422553,-66.144084, Av. Melchor Urquidi #1378, Alalay Sud, D6
-17.402977,-66.143400, Calle Dalence #1379, Kantuta, D6
-17.397561,-66.134947, Calle Kantuta #1380, Villa Hermosa, D6
-17.422810,-66.153284, Calle Siringuero #1381, Alalay Sud, D6
-17.410512,-66.130645, Calle Tupac Katari #1382, Kantuta, D6
-17.404340,-66.126404, Av. Melchor Urquidi #1383, Villa Hermosa, D6
-17.415413,-66.126455, Calle Dalence #1384, Alalay Sud, D6
-17.417510,-66.134193, Calle Kantuta #1385, Kantuta, D6
-17.424314,-66.149952, Calle Siringuero #1386, Villa Hermosa, D6
-17.428055,-66.150978, Calle Tupac Katari #1387, Alalay Sud, D6
-17.405676,-66.127454, Av. Melchor Urquidi #1388, Kantuta, D6
-17.417866,-66.136492, Calle Dalence #1389, Villa Hermosa, D6
-17.403567,-66.141341, Calle Kantuta #1390, Alalay Sud, D6
-17.415370,-66.137290, Calle Siringuero #1391, Kantuta, D6
-17.427708,-66.147651, Calle Tupac Katari #1392, Villa Hermosa, D6
-17.417513,-66.138786, Av. Melchor Urquidi #1393, Alalay Sud, D6
-17.401322,-66.147828, Calle Dalence #1394, Kantuta, D6
-17.411650,-66.137728, Calle Kantuta #1395, Villa Hermosa, D6
-17.417019,-66.138276, Calle Siringuero #1396, Alalay Sud, D6
-17.409503,-66.138718, Calle Tupac Katari #1397, Kantuta, D6
-17.418646,-66.132318, Av. Melchor Urquidi #1398, Villa Hermosa, D6
-17.420329,-66.131833, Calle Dalence #1399, Alalay Sud, D6
-17.399041,-66.137440, Calle Kantuta #1400, Kantuta, D6
-17.412031,-66.150471, Calle Siringuero #1401, Villa Hermosa, D6
-17.421491,-66.150304, Calle Tupac Katari #1402, Alalay Sud, D6
-17.411379,-66.144446, Av. Melchor Urquidi #1403, Kantuta, D6
-17.403376,-66.136759, Calle Dalence #1404, Villa Hermosa, D6
-17.407950,-66.126498, Calle Kantuta #1405, Alalay Sud, D6
-17.422643,-66.137115, Calle Siringuero #1406, Kantuta, D6
-17.409783,-66.128998, Calle Tupac Katari #1407, Villa Hermosa, D6
-17.411683,-66.127777, Av. Melchor Urquidi #1408, Alalay Sud, D6
-17.413998,-66.141988, Calle Dalence #1409, Kantuta, D6
-17.416936,-66.132877, Calle Kantuta #1410, Villa Hermosa, D6
-17.411859,-66.152371, Calle Siringuero #1411, Alalay Sud, D6
-17.426862,-66.147072, Calle Tupac Katari #1412, Kantuta, D6
-17.407500,-66.132421, Av. Melchor Urquidi #1413, Villa Hermosa, D6
-17.421296,-66.134663, Calle Dalence #1414, Alalay Sud, D6
-17.414808,-66.151587, Calle Kantuta #1415, Kantuta, D6
-17.401526,-66.143710, Calle Siringuero #1416, Villa Hermosa, D6
-17.404122,-66.149820, Calle Tupac Katari #1417, Alalay Sud, D6
-17.420398,-66.146177, Av. Melchor Urquidi #1418, Kantuta, D6
-17.405632,-66.140079, Calle Dalence #1419, Villa Hermosa, D6
-17.421866,-66.144230, Calle Kantuta #1420, Alalay Sud, D6
-17.416010,-66.138979, Calle Siringuero #1421, Kantuta, D6
-17.403388,-66.128239, Calle Tupac Katari #1422, Villa Hermosa, D6
-17.416499,-66.139819, Av. Melchor Urquidi #1423, Alalay Sud, D6
-17.406467,-66.127865, Calle Dalence #1424, Kantuta, D6
-17.426902,-66.146320, Calle Kantuta #1425, Villa Hermosa, D6
-17.406829,-66.127746, Calle Siringuero #1426, Alalay Sud, D6
