-17.339004,-66.151933, Calle Terminal #100, Cara Cara, D13
-17.352507,-66.137731, Calle Tupiza #519, K’ara K’ara II, D13
-17.335126,-66.159611, Calle Terminal #520, Cara Cara, D13
-17.308074,-66.159510, Calle Cementerio #521, La Temible, D13
-17.312868,-66.144088, Calle Industrial #522, K’ara K’ara II, D13
-17.342921,-66.151736, Calle Ferrocarril #523, Cara Cara, D13
-17.319211,-66.152758, Calle Tupiza #524, La Temible, D13
-17.341060,-66.132322, Calle Terminal #525, K’ara K’ara II, D13
-17.333876,-66.177182, Calle Cementerio #526, Cara Cara, D13
-17.312220,-66.153140, Calle Industrial #527, La Temible, D13
-17.325427,-66.129702, Calle Ferrocarril #528, K’ara K’ara II, D13
-17.332293,-66.124409, Calle Tupiza #529, Cara Cara, D13
-17.322172,-66.127571, Calle Terminal #530, La Temible, D13
-17.296933,-66.132197, Calle Cementerio #531, K’ara K’ara II, D13
-17.345166,-66.165300, Calle Industrial #532, Cara Cara, D13
-17.345735,-66.160851, Calle Ferrocarril #533, La Temible, D13
-17.350700,-66.122036, Calle Tupiza #534, K’ara K’ara II, D13
-17.353520,-66.126013, Calle Terminal #535, Cara Cara, D13
-17.346529,-66.152730, Calle Cementerio #536, La Temible, D13
-17.317951,-66.166813, Calle Industrial #537, K’ara K’ara II, D13
-17.326666,-66.160915, Calle Ferrocarril #538, Cara Cara, D13
-17.354091,-66.136093, Calle Tupiza #539, La Temible, D13
-17.309520,-66.134783, Calle Terminal #540, K’ara K’ara II, D13
-17.330221,-66.151773, Calle Cementerio #541, Cara Cara, D13
-17.311917,-66.132185, Calle Industrial #542, La Temible, D13
-17.288209,-66.135844, Calle Ferrocarril #543, K’ara K’ara II, D13
-17.345275,-66.162702, Calle Tupiza #544, Cara Cara, D13
-17.363005,-66.107194, Calle Terminal #545, La Temible, D13
-17.338340,-66.152718, Calle Cementerio #546, K’ara K’ara II, D13
-17.316334,-66.150788, Calle Industrial #547, Cara Cara, D13
-17.314710,-66.157012, Calle Ferrocarril #548, La Temible, D13
-17.307032,-66.141771, Calle Tupiza #549, K’ara K’ara II, D13
-17.301403,-66.153670, Calle Terminal #550, Cara Cara, D13
-17.290811,-66.149677, Calle Cementerio #551, La Temible, D13
-17.354312,-66.133925, Calle Industrial #552, K’ara K’ara II, D13
-17.355440,-66.125314, Calle Ferrocarril #553, Cara Cara, D13
-17.331726,-66.130914, Calle Tupiza #554, La Temible, D13
-17.336471,-66.121321, Calle Terminal #555, K’ara K’ara II, D13
-17.356315,-66.110497, Calle Cementerio #556, Cara Cara, D13
-17.322395,-66.173417, Calle Industrial #557, La Temible, D13
-17.294335,-66.141113, Calle Ferrocarril #558, K’ara K’ara II, D13
-17.357827,-66.120051, Calle Tupiza #559, Cara Cara, D13
-17.314184,-66.140320, Calle Terminal #560, La Temible, D13
-17.346082,-66.140941, Calle Cementerio #561, K’ara K’ara II, D13
-17.331354,-66.169614, Calle Industrial #562, Cara Cara, D13
-17.301476,-66.140600, Calle Ferrocarril #563, La Temible, D13
-17.326605,-66.164709, Calle Tupiza #564, K’ara K’ara II, D13
-17.306793,-66.153720, Calle Terminal #565, Cara Cara, D13
-17.341084,-66.147119, Calle Cementerio #566, La Temible, D13
-17.356872,-66.140799, Calle Industrial #567, K’ara K’ara II, D13
-17.289319,-66.138226, Calle Ferrocarril #568, Cara Cara, D13
-17.289417,-66.140484, Calle Tupiza #569, La Temible, D13
-17.338715,-66.137318, Calle Terminal #570, K’ara K’ara II, D13
-17.331161,-66.174999, Calle Cementerio #571, Cara Cara, D13
-17.316809,-66.145294, Calle Industrial #572, La Temible, D13
-17.337975,-66.178653, Calle Ferrocarril #573, K’ara K’ara II, D13
-17.305484,-66.150380, Calle Tupiza #574, Cara Cara, D13
-17.351629,-66.125313, Calle Terminal #575, La Temible, D13
-17.346348,-66.119687, Calle Cementerio #576, K’ara K’ara II, D13
-17.346670,-66.160708, Calle Industrial #577, Cara Cara, D13
-17.305738,-66.127277, Calle Ferrocarril #578, La Temible, D13
-17.352028,-66.129998, Calle Tupiza #579, K’ara K’ara II, D13
-17.355051,-66.114260, Calle Terminal #580, Cara Cara, D13
-17.310697,-66.132791, Calle Cementerio #581, La Temible, D13
-17.324683,-66.127952, Calle Industrial #582, K’ara K’ara II, D13
-17.322701,-66.145176, Calle Ferrocarril #583, Cara Cara, D13
-17.288506,-66.147185, Calle Tupiza #584, La Temible, D13
-17.318937,-66.152073, Calle Terminal #585, K’ara K’ara II, D13
-17.329898,-66.123804, Calle Cementerio #586, Cara Cara, D13
-17.329242,-66.139411, Calle Industrial #587, La Temible, D13
-17.339191,-66.176986, Calle Ferrocarril #588, K’ara K’ara II, D13
-17.333936,-66.153893, Calle Tupiza #589, Cara Cara, D13
-17.340435,-66.171131, Calle Terminal #590, La Temible, D13
-17.306033,-66.146471, Calle Cementerio #591, K’ara K’ara II, D13
-17.340663,-66.160466, Calle Industrial #592, Cara Cara, D13
-17.320999,-66.163446, Calle Ferrocarril #593, La Temible, D13
-17.331371,-66.119304, Calle Tupiza #594, K’ara K’ara II, D13
-17.344611,-66.139857, Calle Terminal #595, Cara Cara, D13
-17.327658,-66.135839, Calle Cementerio #596, La Temible, D13
-17.346795,-66.121442, Calle Industrial #597, K’ara K’ara II, D13
-17.334060,-66.175856, Calle Ferrocarril #598, Cara Cara, D13
-17.294926,-66.150857, Calle Tupiza #599, La Temible, D13
-17.292646,-66.129730, Calle Terminal #600, K’ara K’ara II, D13
-17.343586,-66.128308, Calle Cementerio #601, Cara Cara, D13
-17.290748,-66.138693, Calle Industrial #602, La Temible, D13
-17.340211,-66.175080, Calle Ferrocarril #603, K’ara K’ara II, D13
-17.341304,-66.164526, Calle Tupiza #604, Cara Cara, D13
-17.300135,-66.150146, Calle Terminal #605, La Temible, D13
-17.341178,-66.159457, Calle Cementerio #606, K’ara K’ara II, D13
-17.338084,-66.129793, Calle Industrial #607, Cara Cara, D13
-17.302008,-66.154038, Calle Ferrocarril #608, La Temible, D13
-17.332241,-66.124525, Calle Tupiza #609, K’ara K’ara II, D13
-17.352874,-66.125266, Calle Terminal #610, Cara Cara, D13
-17.332847,-66.180504, Calle Cementerio #611, La Temible, D13
-17.326768,-66.135533, Calle Industrial #612, K’ara K’ara II, D13
-17.307916,-66.139630, Calle Ferrocarril #613, Cara Cara, D13
-17.299404,-66.142086, Calle Tupiza #614, La Temible, D13
-17.307711,-66.141771, Calle Terminal #615, K’ara K’ara II, D13
-17.317201,-66.151791, Calle Cementerio #616, Cara Cara, D13
-17.352986,-66.138820, Calle Industrial #617, La Temible, D13
-17.302528,-66.133411, Calle Ferrocarril #618, K’ara K’ara II, D13
-17.353062,-66.142916, Calle Tupiza #619, Cara Cara, D13
-17.293039,-66.143047, Calle Terminal #620, La Temible, D13
-17.313860,-66.125699, Calle Cementerio #621, K’ara K’ara II, D13
-17.320602,-66.139585, Calle Industrial #622, Cara Cara, D13
-17.355569,-66.125654, Calle Ferrocarril #623, La Temible, D13
-17.349767,-66.150027, Calle Tupiza #624, K’ara K’ara II, D13
-17.305268,-66.162190, Calle Terminal #625, Cara Cara, D13
-17.336982,-66.122311, Calle Cementerio #626, La Temible, D13
-17.324219,-66.151452, Calle Industrial #627, K’ara K’ara II, D13
-17.324240,-66.125056, Calle Ferrocarril #628, Cara Cara, D13
-17.329325,-66.148953, Calle Tupiza #629, La Temible, D13
-17.299334,-66.157479, Calle Terminal #630, K’ara K’ara II, D13
-17.348322,-66.123674, Calle Cementerio #631, Cara Cara, D13
-17.332745,-66.151841, Calle Industrial #632, La Temible, D13
-17.351516,-66.128620, Calle Ferrocarril #633, K’ara K’ara II, D13
-17.351637,-66.142292, Calle Tupiza #634, Cara Cara, D13
-17.361825,-66.115151, Calle Terminal #635, La Temible, D13
-17.318307,-66.142338, Calle Cementerio #636, K’ara K’ara II, D13
-17.320809,-66.142628, Calle Industrial #637, Cara Cara, D13
-17.353291,-66.141242, Calle Ferrocarril #638, La Temible, D13
-17.352380,-66.150304, Calle Tupiza #639, K’ara K’ara II, D13
-17.318031,-66.124303, Calle Terminal #640, Cara Cara, D13
-17.352782,-66.154166, Calle Cementerio #641, La Temible, D13
-17.303695,-66.151140, Calle Industrial #642, K’ara K’ara II, D13
-17.307280,-66.153112, Calle Ferrocarril #643, Cara Cara, D13
-17.345903,-66.164340, Calle Tupiza #644, La Temible, D13
-17.347687,-66.161725, Calle Terminal #645, K’ara K’ara II, D13
-17.335508,-66.143895, Calle Cementerio #646, Cara Cara, D13
-17.343230,-66.167131, Calle Industrial #647, La Temible, D13
-17.317916,-66.131690, Calle Ferrocarril #648, K’ara K’ara II, D13
-17.326635,-66.148969, Calle Tupiza #649, Cara Cara, D13
-17.308854,-66.149992, Calle Terminal #650, La Temible, D13
-17.335897,-66.160767, Calle Cementerio #651, K’ara K’ara II, D13
-17.313928,-66.136402, Calle Industrial #652, Cara Cara, D13
-17.300757,-66.160583, Calle Ferrocarril #653, La Temible, D13
-17.316498,-66.161452, Calle Tupiza #654, K’ara K’ara II, D13
-17.325949,-66.167859, Calle Terminal #655, Cara Cara, D13
-17.341895,-66.143705, Calle Cementerio #656, La Temible, D13
-17.296476,-66.150734, Calle Industrial #657, K’ara K’ara II, D13
-17.331845,-66.175097, Calle Ferrocarril #658, Cara Cara, D13
-17.336685,-66.156561, Calle Tupiza #659, La Temible, D13
-17.328682,-66.155537, Calle Terminal #660, K’ara K’ara II, D13
-17.303732,-66.139460, Calle Cementerio #661, Cara Cara, D13
-17.304226,-66.156803, Calle Industrial #662, La Temible, D13
-17.321369,-66.142683, Calle Ferrocarril #663, K’ara K’ara II, D13
-17.319987,-66.134560, Calle Tupiza #664, Cara Cara, D13
-17.323656,-66.125980, Calle Terminal #665, La Temible, D13
-17.343876,-66.141529, Calle Cementerio #666, K’ara K’ara II, D13
-17.325342,-66.153199, Calle Industrial #667, Cara Cara, D13
-17.319808,-66.142691, Calle Ferrocarril #668, La Temible, D13
-17.307163,-66.146637, Calle Tupiza #669, K’ara K’ara II, D13
-17.336900,-66.149678, Calle Terminal #670, Cara Cara, D13
-17.317267,-66.166794, Calle Cementerio #671, La Temible, D13
-17.339486,-66.139706, Calle Industrial #672, K’ara K’ara II, D13
-17.351829,-66.116024, Calle Ferrocarril #673, Cara Cara, D13
-17.340840,-66.140317, Calle Tupiza #674, La Temible, D13
-17.288450,-66.138760, Calle Terminal #675, K’ara K’ara II, D13
-17.340308,-66.147980, Calle Cementerio #676, Cara Cara, D13
-17.294281,-66.135926, Calle Industrial #677, La Temible, D13
-17.358386,-66.135457, Calle Ferrocarril #678, K’ara K’ara II, D13
-17.331500,-66.152139, Calle Tupiza #679, Cara Cara, D13
-17.355580,-66.118607, Calle Terminal #680, La Temible, D13
-17.296890,-66.156656, Calle Cementerio #681, K’ara K’ara II, D13
-17.335669,-66.179084, Calle Industrial #682, Cara Cara, D13
-17.329766,-66.130186, Calle Ferrocarril #683, La Temible, D13
-17.333004,-66.143616, Calle Tupiza #684, K’ara K’ara II, D13
-17.312382,-66.163223, Calle Terminal #685, Cara Cara, D13
-17.330435,-66.180135, Calle Cementerio #686, La Temible, D13
-17.337052,-66.148117, Calle Industrial #687, K’ara K’ara II, D13
-17.327476,-66.176412, Calle Ferrocarril #688, Cara Cara, D13
-17.351119,-66.122908, Calle Tupiza #689, La Temible, D13
-17.323370,-66.169757, Calle Terminal #690, K’ara K’ara II, D13
-17.308104,-66.134472, Calle Cementerio #691, Cara Cara, D13
-17.363144,-66.114184, Calle Industrial #692, La Temible, D13
-17.313539,-66.157060, Calle Ferrocarril #693, K’ara K’ara II, D13
-17.318967,-66.148615, Calle Tupiza #694, Cara Cara, D13
-17.319948,-66.125306, Calle Terminal #695, La Temible, D13
-17.324903,-66.156810, Calle Cementerio #696, K’ara K’ara II, D13
-17.335339,-66.186970, Calle Industrial #697, Cara Cara, D13
-17.304282,-66.133589, Calle Ferrocarril #698, La Temible, D13
-17.313056,-66.122809, Calle Tupiza #699, K’ara K’ara II, D13
-17.349327,-66.124778, Calle Terminal #700, Cara Cara, D13
-17.328359,-66.139121, Calle Cementerio #701, La Temible, D13
-17.289370,-66.140728, Calle Industrial #702, K’ara K’ara II, D13
-17.311456,-66.131568, Calle Ferrocarril #703, Cara Cara, D13
-17.342441,-66.155789, Calle Tupiza #704, La Temible, D13
-17.315443,-66.134681, Calle Terminal #705, K’ara K’ara II, D13
-17.342341,-66.134420, Calle Cementerio #706, Cara Cara, D13
-17.320664,-66.136115, Calle Industrial #707, La Temible, D13
-17.333547,-66.120860, Calle Ferrocarril #708, K’ara K’ara II, D13
-17.312842,-66.153267, Calle Tupiza #709, Cara Cara, D13
-17.336613,-66.170167, Calle Terminal #710, La Temible, D13
-17.304330,-66.127982, Calle Cementerio #711, K’ara K’ara II, D13
-17.312260,-66.162647, Calle Industrial #712, Cara Cara, D13
-17.351356,-66.137849, Calle Ferrocarril #713, La Temible, D13
-17.321216,-66.127221, Calle Tupiza #714, K’ara K’ara II, D13
-17.300951,-66.140713, Calle Terminal #715, Cara Cara, D13
-17.328639,-66.155004, Calle Cementerio #716, La Temible, D13
-17.331353,-66.181975, Calle Industrial #717, K’ara K’ara II, D13
-17.342734,-66.138809, Calle Ferrocarril #718, Cara Cara, D13
-17.331853,-66.122526, Calle Tupiza #719, La Temible, D13
-17.336504,-66.164184, Calle Terminal #720, K’ara K’ara II, D13
-17.314890,-66.127309, Calle Cementerio #721, Cara Cara, D13
-17.321478,-66.134135, Calle Industrial #722, La Temible, D13
-17.362465,-66.106738, Calle Ferrocarril #723, K’ara K’ara II, D13
-17.335203,-66.141855, Calle Tupiza #724, Cara Cara, D13
-17.324007,-66.128114, Calle Terminal #725, La Temible, D13
-17.342452,-66.159977, Calle Cementerio #726, K’ara K’ara II, D13
-17.322242,-66.143704, Calle Industrial #727, Cara Cara, D13
-17.294422,-66.136959, Calle Ferrocarril #728, La Temible, D13
-17.296995,-66.140318, Calle Tupiza #729, K’ara K’ara II, D13
-17.343693,-66.161252, Calle Terminal #730, Cara Cara, D13
-17.342560,-66.145067, Calle Cementerio #731, La Temible, D13
-17.344223,-66.127987, Calle Industrial #732, K’ara K’ara II, D13
-17.311588,-66.130612, Calle Ferrocarril #733, Cara Cara, D13
-17.321495,-66.145165, Calle Tupiza #734, La Temible, D13
-17.332186,-66.120367, Calle Terminal #735, K’ara K’ara II, D13
-17.313426,-66.122377, Calle Cementerio #736, Cara Cara, D13
-17.317697,-66.152933, Calle Industrial #737, La Temible, D13
-17.335782,-66.129650, Calle Ferrocarril #738, K’ara K’ara II, D13
-17.327166,-66.130654, Calle Tupiza #739, Cara Cara, D13
-17.308750,-66.139847, Calle Terminal #740, La Temible, D13
-17.356916,-66.121757, Calle Cementerio #741, K’ara K’ara II, D13
-17.320291,-66.166273, Calle Industrial #742, Cara Cara, D13
-17.358015,-66.114510, Calle Ferrocarril #743, La Temible, D13
-17.324357,-66.122098, Calle Tupiza #744, K’ara K’ara II, D13
-17.360105,-66.127543, Calle Terminal #745, Cara Cara, D13
-17.328445,-66.166239, Calle Cementerio #746, La Temible, D13
-17.306007,-66.158026, Calle Industrial #747, K’ara K’ara II, D13
-17.294666,-66.152133, Calle Ferrocarril #748, Cara Cara, D13
-17.347251,-66.131811, Calle Tupiza #749, La Temible, D13
-17.357172,-66.140231, Calle Terminal #750, K’ara K’ara II, D13
-17.343517,-66.154246, Calle Cementerio #751, Cara Cara, D13
-17.297736,-66.154638, Calle Industrial #752, La Temible, D13
-17.343027,-66.140773, Calle Ferrocarril #753, K’ara K’ara II, D13
-17.318411,-66.141914, Calle Tupiza #754, Cara Cara, D13
-17.336707,-66.176208, Calle Terminal #755, La Temible, D13
-17.314632,-66.146032, Calle Cementerio #756, K’ara K’ara II, D13
-17.356340,-66.131610, Calle Industrial #757, Cara Cara, D13
-17.322306,-66.136561, Calle Ferrocarril #758, La Temible, D13
-17.341365,-66.133698, Calle Tupiza #759, K’ara K’ara II, D13
-17.322707,-66.132201, Calle Terminal #760, Cara Cara, D13
-17.341250,-66.167710, Calle Cementerio #761, La Temible, D13
-17.349780,-66.158924, Calle Industrial #762, K’ara K’ara II, D13
-17.328370,-66.133093, Calle Ferrocarril #763, Cara Cara, D13
-17.349584,-66.116858, Calle Tupiza #764, La Temible, D13
-17.334589,-66.135864, Calle Terminal #765, K’ara K’ara II, D13
-17.345537,-66.164728, Calle Cementerio #766, Cara Cara, D13
-17.329508,-66.130912, Calle Industrial #767, La Temible, D13
-17.338091,-66.129135, Calle Ferrocarril #768, K’ara K’ara II, D13
-17.357223,-66.122717, Calle Tupiza #769, Cara Cara, D13
-17.330317,-66.151378, Calle Terminal #770, La Temible, D13
-17.342772,-66.146071, Calle Cementerio #771, K’ara K’ara II, D13
-17.294209,-66.140912, Calle Industrial #772, Cara Cara, D13
-17.306954,-66.162682, Calle Ferrocarril #773, La Temible, D13
-17.327553,-66.132667, Calle Tupiza #774, K’ara K’ara II, D13
-17.300362,-66.131347, Calle Terminal #775, Cara Cara, D13
-17.296720,-66.131857, Calle Cementerio #776, La Temible, D13
-17.329217,-66.123567, Calle Industrial #777, K’ara K’ara II, D13
-17.361533,-66.116779, Calle Ferrocarril #778, Cara Cara, D13
-17.304508,-66.161511, Calle Tupiza #779, La Temible, D13
-17.341422,-66.123836, Calle Terminal #780, K’ara K’ara II, D13
-17.316718,-66.154904, Calle Cementerio #781, Cara Cara, D13
-17.358292,-66.131597, Calle Industrial #782, La Temible, D13
-17.336714,-66.144697, Calle Ferrocarril #783, K’ara K’ara II, D13
-17.339348,-66.122029, Calle Tupiza #784, Cara Cara, D13
-17.313961,-66.134043, Calle Terminal #785, La Temible, D13
-17.325363,-66.144598, Calle Cementerio #786, K’ara K’ara II, D13
-17.346653,-66.123470, Calle Industrial #787, Cara Cara, D13
-17.300616,-66.152767, Calle Ferrocarril #788, La Temible, D13
-17.345497,-66.156419, Calle Tupiza #789, K’ara K’ara II, D13
-17.324120,-66.161782, Calle Terminal #790, Cara Cara, D13
-17.289692,-66.137868, Calle Cementerio #791, La Temible, D13
-17.326480,-66.171583, Calle Industrial #792, K’ara K’ara II, D13
-17.297200,-66.144438, Calle Ferrocarril #793, Cara Cara, D13
-17.299150,-66.157188, Calle Tupiza #794, La Temible, D13
-17.314287,-66.156193, Calle Terminal #795, K’ara K’ara II, D13
-17.292017,-66.152357, Calle Cementerio #796, Cara Cara, D13
-17.341070,-66.167887, Calle Industrial #797, La Temible, D13
-17.348344,-66.135872, Calle Ferrocarril #798, K’ara K’ara II, D13
-17.349756,-66.135727, Calle Tupiza #799, Cara Cara, D13
-17.352409,-66.141993, Calle Terminal #800, La Temible, D13
-17.317092,-66.130140, Calle Cementerio #801, K’ara K’ara II, D13
-17.310256,-66.148080, Calle Industrial #802, Cara Cara, D13
-17.331616,-66.161809, Calle Ferrocarril #803, La Temible, D13
-17.305573,-66.134026, Calle Tupiza #804, K’ara K’ara II, D13
-17.333489,-66.159245, Calle Terminal #805, Cara Cara, D13
-17.293070,-66.142930, Calle Cementerio #806, La Temible, D13
-17.312978,-66.161534, Calle Industrial #807, K’ara K’ara II, D13
-17.310197,-66.144721, Calle Ferrocarril #808, Cara Cara, D13
-17.342656,-66.152340, Calle Tupiza #809, La Temible, D13
-17.318977,-66.126224, Calle Terminal #810, K’ara K’ara II, D13
-17.312756,-66.145670, Calle Cementerio #811, Cara Cara, D13
-17.352709,-66.153058, Calle Industrial #812, La Temible, D13
-17.331807,-66.143084, Calle Ferrocarril #813, K’ara K’ara II, D13
-17.317190,-66.144717, Calle Tupiza #814, Cara Cara, D13
-17.322727,-66.124300, Calle Terminal #815, La Temible, D13
-17.290920,-66.137285, Calle Cementerio #816, K’ara K’ara II, D13
-17.303109,-66.144850, Calle Industrial #817, Cara Cara, D13
-17.357812,-66.131868, Calle Ferrocarril #818, La Temible, D13
-17.351482,-66.149907, Calle Tupiza #819, K’ara K’ara II, D13
-17.355077,-66.138426, Calle Terminal #820, Cara Cara, D13
-17.352181,-66.144084, Calle Cementerio #821, La Temible, D13
-17.349149,-66.137751, Calle Industrial #822, K’ara K’ara II, D13
-17.333212,-66.121688, Calle Ferrocarril #823, Cara Cara, D13
-17.322042,-66.154448, Calle Tupiza #824, La Temible, D13
-17.333515,-66.151080, Calle Terminal #825, K’ara K’ara II, D13
-17.355244,-66.127550, Calle Cementerio #826, Cara Cara, D13
-17.334697,-66.141877, Calle Industrial #827, La Temible, D13
-17.299530,-66.144238, Calle Ferrocarril #828, K’ara K’ara II, D13
-17.337103,-66.137393, Calle Tupiza #829, Cara Cara, D13
-17.313735,-66.149277, Calle Terminal #830, La Temible, D13
-17.346180,-66.144549, Calle Cementerio #831, K’ara K’ara II, D13
-17.297852,-66.152895, Calle Industrial #832, Cara Cara, D13
-17.330307,-66.161049, Calle Ferrocarril #833, La Temible, D13
-17.356401,-66.129669, Calle Tupiza #834, K’ara K’ara II, D13
-17.297021,-66.129811, Calle Terminal #835, Cara Cara, D13
-17.297063,-66.142308, Calle Cementerio #836, La Temible, D13
-17.339396,-66.137027, Calle Industrial #837, K’ara K’ara II, D13
-17.352931,-66.133184, Calle Ferrocarril #838, Cara Cara, D13
-17.311832,-66.130410, Calle Tupiza #839, La Temible, D13
-17.350157,-66.148838, Calle Terminal #840, K’ara K’ara II, D13
-17.322850,-66.148226, Calle Cementerio #841, Cara Cara, D13
-17.358362,-66.107646, Calle Industrial #842, La Temible, D13
-17.347082,-66.157195, Calle Ferrocarril #843, K’ara K’ara II, D13
-17.361230,-66.114304, Calle Tupiza #844, Cara Cara, D13
-17.348467,-66.147360, Calle Terminal #845, La Temible, D13
-17.357161,-66.129575, Calle Cementerio #846, K’ara K’ara II, D13
-17.314771,-66.129335, Calle Industrial #847, Cara Cara, D13
-17.308700,-66.151604, Calle Ferrocarril #848, La Temible, D13
-17.325878,-66.122627, Calle Tupiza #849, K’ara K’ara II, D13
-17.350852,-66.117031, Calle Terminal #850, Cara Cara, D13
-17.332946,-66.168841, Calle Cementerio #851, La Temible, D13
-17.349246,-66.117911, Calle Industrial #852, K’ara K’ara II, D13
-17.336634,-66.168953, Calle Ferrocarril #853, Cara Cara, D13
-17.295275,-66.137674, Calle Tupiza #854, La Temible, D13
-17.290533,-66.146447, Calle Terminal #855, K’ara K’ara II, D13
-17.344424,-66.133272, Calle Cementerio #856, Cara Cara, D13
-17.301401,-66.145368, Calle Industrial #857, La Temible, D13
-17.340858,-66.137563, Calle Ferrocarril #858, K’ara K’ara II, D13
-17.319587,-66.144687, Calle Tupiza #859, Cara Cara, D13
-17.290151,-66.150896, Calle Terminal #860, La Temible, D13
-17.350497,-66.137364, Calle Cementerio #861, K’ara K’ara II, D13
-17.319019,-66.126575, Calle Industrial #862, Cara Cara, D13
-17.297603,-66.143441, Calle Ferrocarril #863, La Temible, D13
-17.347363,-66.158698, Calle Tupiza #864, K’ara K’ara II, D13
-17.355835,-66.131426, Calle Terminal #865, Cara Cara, D13
-17.304940,-66.161441, Calle Cementerio #866, La Temible, D13
-17.301164,-66.135758, Calle Industrial #867, K’ara K’ara II, D13
-17.332711,-66.138688, Calle Ferrocarril #868, Cara Cara, D13
-17.320290,-66.162485, Calle Tupiza #869, La Temible, D13
-17.319543,-66.160781, Calle Terminal #870, K’ara K’ara II, D13
-17.334981,-66.167859, Calle Cementerio #871, Cara Cara, D13
-17.309735,-66.143724, Calle Industrial #872, La Temible, D13
-17.338645,-66.165122, Calle Ferrocarril #873, K’ara K’ara II, D13
-17.337904,-66.132156, Calle Tupiza #874, Cara Cara, D13
-17.348048,-66.128443, Calle Terminal #875, La Temible, D13
-17.297151,-66.145603, Calle Cementerio #876, K’ara K’ara II, D13
-17.324473,-66.135261, Calle Industrial #877, Cara Cara, D13
-17.319513,-66.131140, Calle Ferrocarril #878, La Temible, D13
-17.302714,-66.133095, Calle Tupiza #879, K’ara K’ara II, D13
-17.292319,-66.151128, Calle Terminal #880, Cara Cara, D13
-17.347736,-66.161295, Calle Cementerio #881, La Temible, D13
-17.347410,-66.144754, Calle Industrial #882, K’ara K’ara II, D13
-17.311942,-66.158284, Calle Ferrocarril #883, Cara Cara, D13
-17.334758,-66.175391, Calle Tupiza #884, La Temible, D13
-17.323902,-66.155393, Calle Terminal #885, K’ara K’ara II, D13
-17.327613,-66.121753, Calle Cementerio #886, Cara Cara, D13
-17.347010,-66.161719, Calle Industrial #887, La Temible, D13
-17.334440,-66.144907, Calle Ferrocarril #888, K’ara K’ara II, D13
-17.329003,-66.178307, Calle Tupiza #889, Cara Cara, D13
-17.342721,-66.165405, Calle Terminal #890, La Temible, D13
-17.339563,-66.130807, Calle Cementerio #891, K’ara K’ara II, D13
-17.360241,-66.111312, Calle Industrial #892, Cara Cara, D13
-17.350462,-66.123064, Calle Ferrocarril #893, La Temible, D13
-17.357398,-66.115387, Calle Tupiza #894, K’ara K’ara II, D13
-17.328171,-66.129146, Calle Terminal #895, Cara Cara, D13
-17.333089,-66.128090, Calle Cementerio #896, La Temible, D13
-17.350686,-66.137864, Calle Industrial #897, K’ara K’ara II, D13
-17.315054,-66.146384, Calle Ferrocarril #898, Cara Cara, D13
-17.300470,-66.132451, Calle Tupiza #899, La Temible, D13
-17.355193,-66.116697, Calle Terminal #900, K’ara K’ara II, D13
-17.337603,-66.138616, Calle Cementerio #901, Cara Cara, D13
-17.320153,-66.153246, Calle Industrial #902, La Temible, D13
-17.340836,-66.143020, Calle Ferrocarril #903, K’ara K’ara II, D13
-17.290579,-66.136294, Calle Tupiza #904, Cara Cara, D13
-17.319563,-66.149771, Calle Terminal #905, La Temible, D13
-17.354484,-66.117387, Calle Cementerio #906, K’ara K’ara II, D13
-17.356910,-66.132221, Calle Industrial #907, Cara Cara, D13
-17.332766,-66.158793, Calle Ferrocarril #908, La Temible, D13
-17.326608,-66.131793, Calle Tupiza #909, K’ara K’ara II, D13
-17.313242,-66.125762, Calle Terminal #910, Cara Cara, D13
-17.308755,-66.138586, Calle Cementerio #911, La Temible, D13
-17.320628,-66.154915, Calle Industrial #912, K’ara K’ara II, D13
-17.336355,-66.176537, Calle Ferrocarril #913, Cara Cara, D13
-17.328768,-66.147223, Calle Tupiza #914, La Temible, D13
-17.343400,-66.122347, Calle Terminal #915, K’ara K’ara II, D13
-17.310468,-66.138117, Calle Cementerio #916, Cara Cara, D13
-17.309845,-66.124950, Calle Industrial #917, La Temible, D13
-17.343207,-66.129357, Calle Ferrocarril #918, K’ara K’ara II, D13
-17.309791,-66.125244, Calle Tupiza #919, Cara Cara, D13
-17.328979,-66.122379, Calle Terminal #920, La Temible, D13
-17.327067,-66.174701, Calle Cementerio #921, K’ara K’ara II, D13
-17.299683,-66.128625, Calle Industrial #922, Cara Cara, D13
-17.319692,-66.153100, Calle Ferrocarril #923, La Temible, D13
-17.350560,-66.132947, Calle Tupiza #924, K’ara K’ara II, D13
-17.293603,-66.148410, Calle Terminal #925, Cara Cara, D13
-17.330979,-66.123524, Calle Cementerio #926, La Temible, D13
-17.317907,-66.127624, Calle Industrial #927, K’ara K’ara II, D13
-17.345157,-66.161850, Calle Ferrocarril #928, Cara Cara, D13
-17.352931,-66.124785, Calle Tupiza #929, La Temible, D13
-17.307879,-66.139235, Calle Terminal #930, K’ara K’ara II, D13
-17.344581,-66.161138, Calle Cementerio #931, Cara Cara, D13
-17.301080,-66.131721, Calle Industrial #932, La Temible, D13
-17.328472,-66.141129, Calle Ferrocarril #933, K’ara K’ara II, D13
-17.297535,-66.139741, Calle Tupiza #934, Cara Cara, D13
-17.316155,-66.122339, Calle Terminal #935, La Temible, D13
-17.321924,-66.123587, Calle Cementerio #936, K’ara K’ara II, D13
-17.335113,-66.157604, Calle Industrial #937, Cara Cara, D13
