-17.429017,-66.121984, Av. Siglo XX #100, Arrumani, D7
-17.422289,-66.114362, Calle Enrique Finot #893, Sivingani, D7
-17.421143,-66.129838, Calle Pucará #894, K’ara K’ara, D7
-17.420109,-66.117428, Av. Siglo XX #895, Arrumani, D7
-17.423991,-66.120006, Calle Villa Busch #896, Sivingani, D7
-17.416835,-66.118523, Calle Ecológica #897, K’ara K’ara, D7
-17.425748,-66.128133, Calle Enrique Finot #898, Arrumani, D7
-17.421176,-66.122216, Calle Pucará #899, Sivingani, D7
-17.417272,-66.111472, Av. Siglo XX #900, K’ara K’ara, D7
-17.418259,-66.115432, Calle Villa Busch #901, Arrumani, D7
-17.419457,-66.123136, Calle Ecológica #902, Sivingani, D7
-17.425933,-66.122325, Calle Enrique Finot #903, K’ara K’ara, D7
-17.425476,-66.129324, Calle Pucará #904, Arrumani, D7
-17.421600,-66.119446, Av. Siglo XX #905, Sivingani, D7
-17.427945,-66.128357, Calle Villa Busch #906, K’ara K’ara, D7
-17.426654,-66.130079, Calle Ecológica #907, Arrumani, D7
-17.429488,-66.120618, Calle Enrique Finot #908, Sivingani, D7
-17.426149,-66.128733, Calle Pucará #909, K’ara K’ara, D7
-17.423342,-66.121675, Av. Siglo XX #910, Arrumani, D7
-17.430474,-66.126099, Calle Villa Busch #911, Sivingani, D7
-17.422029,-66.113423, Calle Ecológica #912, K’ara K’ara, D7
-17.412593,-66.119642, Calle Enrique Finot #913, Arrumani, D7
-17.426329,-66.130479, Calle Pucará #914, Sivingani, D7
-17.412927,-66.120090, Av. Siglo XX #915, K’ara K’ara, D7
-17.418033,-66.118617, Calle Villa Busch #916, Arrumani, D7
-17.417638,-66.123370, Calle Ecológica #917, Sivingani, D7
-17.422714,-66.115119, Calle Enrique Finot #918, K’ara K’ara, D7
-17.424064,-66.117855, Calle Pucará #919, Arrumani, D7
-17.423420,-66.117346, Av. Siglo XX #920, Sivingani, D7
-17.436397,-66.122483, Calle Villa Busch #921, K’ara K’ara, D7
-17.427260,-66.126148, Calle Ecológica #922, Arrumani, D7
-17.413984,-66.120328, Calle Enrique Finot #923, Sivingani, D7
-17.413064,-66.121916, Calle Pucará #924, K’ara K’ara, D7
-17.411802,-66.123421, Av. Siglo XX #925, Arrumani, D7
-17.433753,-66.120218, Calle Villa Busch #926, Sivingani, D7
-17.423519,-66.119778, Calle Ecológica #927, K’ara K’ara, D7
-17.432569,-66.119459, Calle Enrique Finot #928, Arrumani, D7
-17.420566,-66.117947, Calle Pucará #929, Sivingani, D7
-17.428327,-66.119863, Av. Siglo XX #930, K’ara K’ara, D7
-17.420177,-66.113551, Calle Villa Busch #931, Arrumani, D7
-17.408186,-66.122154, Calle Ecológica #932, Sivingani, D7
-17.422718,-66.119512, Calle Enrique Finot #933, K’ara K’ara, D7
-17.436982,-66.120286, Calle Pucará #934, Arrumani, D7
-17.436006,-66.123560, Av. Siglo XX #935, Sivingani, D7
-17.422440,-66.116497, Calle Villa Busch #936, K’ara K’ara, D7
-17.416931,-66.122547, Calle Ecológica #937, Arrumani, D7
-17.411659,-66.119739, Calle Enrique Finot #938, Sivingani, D7
-17.421967,-66.117347, Calle Pucará #939, K’ara K’ara, D7
-17.421383,-66.122500, Av. Siglo XX #940, Arrumani, D7
-17.418975,-66.126925, Calle Villa Busch #941, Sivingani, D7
-17.423317,-66.121807, Calle Ecológica #942, K’ara K’ara, D7
-17.417629,-66.113572, Calle Enrique Finot #943, Arrumani, D7
-17.414328,-66.117943, Calle Pucará #944, Sivingani, D7
-17.411205,-66.124113, Av. Siglo XX #945, K’ara K’ara, D7
-17.417904,-66.124279, Calle Villa Busch #946, Arrumani, D7
-17.430166,-66.120196, Calle Ecológica #947, Sivingani, D7
-17.434331,-66.125170, Calle Enrique Finot #948, K’ara K’ara, D7
-17.428541,-66.127281, Calle Pucará #949, Arrumani, D7
-17.434855,-66.124825, Av. Siglo XX #950, Sivingani, D7
-17.420066,-66.121099, Calle Villa Busch #951, K’ara K’ara, D7
-17.415957,-66.114674, Calle Ecológica #952, Arrumani, D7
-17.421670,-66.115057, Calle Enrique Finot #953, Sivingani, D7
-17.421744,-66.129332, Calle Pucará #954, K’ara K’ara, D7
-17.425320,-66.125590, Av. Siglo XX #955, Arrumani, D7
-17.417602,-66.117259, Calle Villa Busch #956, Sivingani, D7
-17.410550,-66.120765, Calle Ecológica #957, K’ara K’ara, D7
-17.439109,-66.122022, Calle Enrique Finot #958, Arrumani, D7
-17.429368,-66.126920, Calle Pucará #959, Sivingani, D7
-17.433309,-66.123120, Av. Siglo XX #960, K’ara K’ara, D7
-17.419151,-66.114790, Calle Villa Busch #961, Arrumani, D7
-17.419838,-66.116638, Calle Ecológica #962, Sivingani, D7
-17.417295,-66.121508, Calle Enrique Finot #963, K’ara K’ara, D7
-17.427392,-66.119661, Calle Pucará #964, Arrumani, D7
-17.423890,-66.119900, Av. Siglo XX #965, Sivingani, D7
-17.422006,-66.117730, Calle Villa Busch #966, K’ara K’ara, D7
-17.418543,-66.122955, Calle Ecológica #967, Arrumani, D7
-17.423450,-66.129548, Calle Enrique Finot #968, Sivingani, D7
-17.416409,-66.124220, Calle Pucará #969, K’ara K’ara, D7
-17.416523,-66.114809, Av. Siglo XX #970, Arrumani, D7
-17.414836,-66.117735, Calle Villa Busch #971, Sivingani, D7
-17.423862,-66.128555, Calle Ecológica #972, K’ara K’ara, D7
-17.433270,-66.124348, Calle Enrique Finot #973, Arrumani, D7
-17.416714,-66.121793, Calle Pucará #974, Sivingani, D7
-17.427041,-66.122477, Av. Siglo XX #975, K’ara K’ara, D7
-17.409253,-66.124787, Calle Villa Busch #976, Arrumani, D7
-17.420675,-66.120532, Calle Ecológica #977, Sivingani, D7
-17.434148,-66.120677, Calle Enrique Finot #978, K’ara K’ara, D7
-17.425522,-66.127646, Calle Pucará #979, Arrumani, D7
-17.424243,-66.128453, Av. Siglo XX #980, Sivingani, D7
-17.423700,-66.129950, Calle Villa Busch #981, K’ara K’ara, D7
-17.424408,-66.129576, Calle Ecológica #982, Arrumani, D7
-17.425344,-66.126343, Calle Enrique Finot #983, Sivingani, D7
-17.435783,-66.124482, Calle Pucará #984, K’ara K’ara, D7
-17.420285,-66.118272, Av. Siglo XX #985, Arrumani, D7
-17.409889,-66.120714, Calle Villa Busch #986, Sivingani, D7
-17.434866,-66.120709, Calle Ecológica #987, K’ara K’ara, D7
-17.420956,-66.128968, Calle Enrique Finot #988, Arrumani, D7
-17.424347,-66.130930, Calle Pucará #989, Sivingani, D7
-17.415720,-66.121246, Av. Siglo XX #990, K’ara K’ara, D7
-17.417034,-66.112343, Calle Villa Busch #991, Arrumani, D7
-17.418705,-66.120037, Calle Ecológica #992, Sivingani, D7
-17.424940,-66.126900, Calle Enrique Finot #993, K’ara K’ara, D7
-17.427153,-66.124579, Calle Pucará #994, Arrumani, D7
-17.430410,-66.126853, Av. Siglo XX #995, Sivingani, D7
-17.420859,-66.117248, Calle Villa Busch #996, K’ara K’ara, D7
-17.422403,-66.118504, Calle Ecológica #997, Arrumani, D7
-17.423798,-66.116652, Calle Enrique Finot #998, Sivingani, D7
-17.430294,-66.126617, Calle Pucará #999, K’ara K’ara, D7
-17.414346,-66.124827, Av. Siglo XX #1000, Arrumani, D7
-17.438242,-66.123582, Calle Villa Busch #1001, Sivingani, D7
-17.423075,-66.129329, Calle Ecológica #1002, K’ara K’ara, D7
-17.409974,-66.121503, Calle Enrique Finot #1003, Arrumani, D7
-17.414194,-66.125202, Calle Pucará #1004, Sivingani, D7
-17.431519,-66.127063, Av. Siglo XX #1005, K’ara K’ara, D7
-17.414555,-66.124744, Calle Villa Busch #1006, Arrumani, D7
-17.415394,-66.124440, Calle Ecológica #1007, Sivingani, D7
-17.431691,-66.121247, Calle Enrique Finot #1008, K’ara K’ara, D7
-17.432951,-66.125922, Calle Pucará #1009, Arrumani, D7
-17.425611,-66.129765, Av. Siglo XX #1010, Sivingani, D7
-17.425969,-66.130895, Calle Villa Busch #1011, K’ara K’ara, D7
-17.414323,-66.122148, Calle Ecológica #1012, Arrumani, D7
-17.419856,-66.114247, Calle Enrique Finot #1013, Sivingani, D7
-17.434513,-66.123642, Calle Pucará #1014, K’ara K’ara, D7
-17.418611,-66.116167, Av. Siglo XX #1015, Arrumani, D7
-17.432087,-66.122061, Calle Villa Busch #1016, Sivingani, D7
-17.434366,-66.120903, Calle Ecológica #1017, K’ara K’ara, D7
-17.430104,-66.120604, Calle Enrique Finot #1018, Arrumani, D7
-17.411249,-66.125293, Calle Pucará #1019, Sivingani, D7
-17.418620,-66.114534, Av. Siglo XX #1020, K’ara K’ara, D7
-17.420065,-66.118053, Calle Villa Busch #1021, Arrumani, D7
-17.417840,-66.112348, Calle Ecológica #1022, Sivingani, D7
-17.413251,-66.122891, Calle Enrique Finot #1023, K’ara K’ara, D7
-17.429540,-66.126943, Calle Pucará #1024, Arrumani, D7
-17.433986,-66.120603, Av. Siglo XX #1025, Sivingani, D7
-17.419947,-66.116270, Calle Villa Busch #1026, K’ara K’ara, D7
-17.425064,-66.124742, Calle Ecológica #1027, Arrumani, D7
-17.421269,-66.113445, Calle Enrique Finot #1028, Sivingani, D7
-17.425072,-66.127166, Calle Pucará #1029, K’ara K’ara, D7
-17.423855,-66.118482, Av. Siglo XX #1030, Arrumani, D7
-17.437922,-66.120545, Calle Villa Busch #1031, Sivingani, D7
-17.426237,-66.126367, Calle Ecológica #1032, K’ara K’ara, D7
-17.421809,-66.114769, Calle Enrique Finot #1033, Arrumani, D7
-17.421716,-66.129440, Calle Pucará #1034, Sivingani, D7
-17.411997,-66.124727, Av. Siglo XX #1035, K’ara K’ara, D7
-17.418767,-66.119958, Calle Villa Busch #1036, Arrumani, D7
-17.424025,-66.122665, Calle Ecológica #1037, Sivingani, D7
-17.423147,-66.118004, Calle Enrique Finot #1038, K’ara K’ara, D7
-17.424789,-66.131147, Calle Pucará #1039, Arrumani, D7
-17.425463,-66.130205, Av. Siglo XX #1040, Sivingani, D7
-17.424061,-66.120794, Calle Villa Busch #1041, K’ara K’ara, D7
-17.418660,-66.120109, Calle Ecológica #1042, Arrumani, D7
-17.427389,-66.125572, Calle Enrique Finot #1043, Sivingani, D7
-17.422648,-66.121858, Calle Pucará #1044, K’ara K’ara, D7
-17.418863,-66.127908, Av. Siglo XX #1045, Arrumani, D7
-17.414545,-66.124643, Calle Villa Busch #1046, Sivingani, D7
-17.424642,-66.121251, Calle Ecológica #1047, K’ara K’ara, D7
-17.413999,-66.121657, Calle Enrique Finot #1048, Arrumani, D7
-17.420235,-66.116947, Calle Pucará #1049, Sivingani, D7
-17.414116,-66.124734, Av. Siglo XX #1050, K’ara K’ara, D7
-17.418050,-66.114912, Calle Villa Busch #1051, Arrumani, D7
-17.435789,-66.120905, Calle Ecológica #1052, Sivingani, D7
-17.427469,-66.126271, Calle Enrique Finot #1053, K’ara K’ara, D7
-17.417224,-66.121759, Calle Pucará #1054, Arrumani, D7
-17.430836,-66.120987, Av. Siglo XX #1055, Sivingani, D7
-17.424853,-66.130796, Calle Villa Busch #1056, K’ara K’ara, D7
-17.420152,-66.121673, Calle Ecológica #1057, Arrumani, D7
-17.424426,-66.129290, Calle Enrique Finot #1058, Sivingani, D7
-17.407427,-66.121701, Calle Pucará #1059, K’ara K’ara, D7
-17.429797,-66.123327, Av. Siglo XX #1060, Arrumani, D7
-17.427815,-66.128125, Calle Villa Busch #1061, Sivingani, D7
-17.422047,-66.115081, Calle Ecológica #1062, K’ara K’ara, D7
-17.431762,-66.120486, Calle Enrique Finot #1063, Arrumani, D7
-17.422531,-66.114206, Calle Pucará #1064, Sivingani, D7
-17.415216,-66.115901, Av. Siglo XX #1065, K’ara K’ara, D7
-17.413312,-66.122702, Calle Villa Busch #1066, Arrumani, D7
-17.428568,-66.120891, Calle Ecológica #1067, Sivingani, D7
-17.417312,-66.125486, Calle Enrique Finot #1068, K’ara K’ara, D7
-17.417977,-66.122968, Calle Pucará #1069, Arrumani, D7
-17.421545,-66.120530, Av. Siglo XX #1070, Sivingani, D7
-17.422648,-66.126019, Calle Villa Busch #1071, K’ara K’ara, D7
-17.409426,-66.124354, Calle Ecológica #1072, Arrumani, D7
-17.437203,-66.120758, Calle Enrique Finot #1073, Sivingani, D7
-17.431864,-66.123444, Calle Pucará #1074, K’ara K’ara, D7
-17.436335,-66.122189, Av. Siglo XX #1075, Arrumani, D7
-17.424808,-66.123872, Calle Villa Busch #1076, Sivingani, D7
-17.434748,-66.124028, Calle Ecológica #1077, K’ara K’ara, D7
-17.421129,-66.122713, Calle Enrique Finot #1078, Arrumani, D7
-17.411036,-66.120211, Calle Pucará #1079, Sivingani, D7
-17.425387,-66.130376, Av. Siglo XX #1080, K’ara K’ara, D7
-17.422684,-66.117614, Calle Villa Busch #1081, Arrumani, D7
-17.414549,-66.118099, Calle Ecológica #1082, Sivingani, D7
-17.418437,-66.113604, Calle Enrique Finot #1083, K’ara K’ara, D7
-17.420984,-66.127750, Calle Pucará #1084, Arrumani, D7
-17.428847,-66.123020, Av. Siglo XX #1085, Sivingani, D7
-17.421388,-66.129696, Calle Villa Busch #1086, K’ara K’ara, D7
-17.418250,-66.125999, Calle Ecológica #1087, Arrumani, D7
-17.424734,-66.122978, Calle Enrique Finot #1088, Sivingani, D7
-17.428334,-66.121208, Calle Pucará #1089, K’ara K’ara, D7
-17.414281,-66.120151, Av. Siglo XX #1090, Arrumani, D7
-17.407742,-66.122703, Calle Villa Busch #1091, Sivingani, D7
-17.418956,-66.124385, Calle Ecológica #1092, K’ara K’ara, D7
-17.424958,-66.130728, Calle Enrique Finot #1093, Arrumani, D7
-17.416538,-66.116145, Calle Pucará #1094, Sivingani, D7
-17.417544,-66.112804, Av. Siglo XX #1095, K’ara K’ara, D7
-17.417903,-66.118360, Calle Villa Busch #1096, Arrumani, D7
-17.417143,-66.116176, Calle Ecológica #1097, Sivingani, D7
-17.422741,-66.117814, Calle Enrique Finot #1098, K’ara K’ara, D7
-17.418687,-66.120601, Calle Pucará #1099, Arrumani, D7
-17.421371,-66.125061, Av. Siglo XX #1100, Sivingani, D7
-17.419417,-66.115418, Calle Villa Busch #1101, K’ara K’ara, D7
-17.427937,-66.126437, Calle Ecológica #1102, Arrumani, D7
-17.417234,-66.114700, Calle Enrique Finot #1103, Sivingani, D7
-17.412610,-66.124988, Calle Pucará #1104, K’ara K’ara, D7
-17.422803,-66.122847, Av. Siglo XX #1105, Arrumani, D7
-17.418721,-66.125606, Calle Villa Busch #1106, Sivingani, D7
-17.435881,-66.121909, Calle Ecológica #1107, K’ara K’ara, D7
-17.422885,-66.122512, Calle Enrique Finot #1108, Arrumani, D7
-17.416324,-66.118629, Calle Pucará #1109, Sivingani, D7
-17.414698,-66.120878, Av. Siglo XX #1110, K’ara K’ara, D7
-17.430282,-66.124038, Calle Villa Busch #1111, Arrumani, D7
-17.422861,-66.129938, Calle Ecológica #1112, Sivingani, D7
-17.418787,-66.125199, Calle Enrique Finot #1113, K’ara K’ara, D7
-17.426482,-66.122451, Calle Pucará #1114, Arrumani, D7
-17.415404,-66.114192, Av. Siglo XX #1115, Sivingani, D7
-17.434693,-66.120772, Calle Villa Busch #1116, K’ara K’ara, D7
-17.422903,-66.124625, Calle Ecológica #1117, Arrumani, D7
-17.430254,-66.120685, Calle Enrique Finot #1118, Sivingani, D7
-17.432045,-66.125757, Calle Pucará #1119, K’ara K’ara, D7
-17.412240,-66.123485, Av. Siglo XX #1120, Arrumani, D7
-17.428485,-66.128942, Calle Villa Busch #1121, Sivingani, D7
-17.416041,-66.115199, Calle Ecológica #1122, K’ara K’ara, D7
-17.417414,-66.123063, Calle Enrique Finot #1123, Arrumani, D7
-17.413145,-66.123975, Calle Pucará #1124, Sivingani, D7
-17.433848,-66.124623, Av. Siglo XX #1125, K’ara K’ara, D7
-17.408381,-66.122731, Calle Villa Busch #1126, Arrumani, D7
-17.420373,-66.116502, Calle Ecológica #1127, Sivingani, D7
-17.429919,-66.119786, Calle Enrique Finot #1128, K’ara K’ara, D7
-17.424229,-66.122632, Calle Pucará #1129, Arrumani, D7
-17.426898,-66.125260, Av. Siglo XX #1130, Sivingani, D7
-17.413081,-66.124931, Calle Villa Busch #1131, K’ara K’ara, D7
-17.418955,-66.113521, Calle Ecológica #1132, Arrumani, D7
-17.420076,-66.123635, Calle Enrique Finot #1133, Sivingani, D7
-17.416534,-66.119106, Calle Pucará #1134, K’ara K’ara, D7
-17.418715,-66.126407, Av. Siglo XX #1135, Arrumani, D7
-17.431862,-66.122264, Calle Villa Busch #1136, Sivingani, D7
-17.427258,-66.129027, Calle Ecológica #1137, K’ara K’ara, D7
-17.416908,-66.112955, Calle Enrique Finot #1138, Arrumani, D7
-17.421680,-66.126841, Calle Pucará #1139, Sivingani, D7
-17.412551,-66.124321, Av. Siglo XX #1140, K’ara K’ara, D7
-17.424403,-66.123225, Calle Villa Busch #1141, Arrumani, D7
-17.424891,-66.129915, Calle Ecológica #1142, Sivingani, D7
-17.418602,-66.117831, Calle Enrique Finot #1143, K’ara K’ara, D7
-17.438212,-66.123688, Calle Pucará #1144, Arrumani, D7
-17.417930,-66.122291, Av. Siglo XX #1145, Sivingani, D7
-17.423725,-66.119405, Calle Villa Busch #1146, K’ara K’ara, D7
-17.430287,-66.125423, Calle Ecológica #1147, Arrumani, D7
-17.428628,-66.125419, Calle Enrique Finot #1148, Sivingani, D7
-17.410467,-66.121830, Calle Pucará #1149, K’ara K’ara, D7
-17.427413,-66.129699, Av. Siglo XX #1150, Arrumani, D7
-17.418311,-66.115652, Calle Villa Busch #1151, Sivingani, D7
-17.416010,-66.122003, Calle Ecológica #1152, K’ara K’ara, D7
-17.408523,-66.124339, Calle Enrique Finot #1153, Arrumani, D7
-17.437683,-66.120573, Calle Pucará #1154, Sivingani, D7
-17.415130,-66.120132, Av. Siglo XX #1155, K’ara K’ara, D7
-17.421429,-66.113638, Calle Villa Busch #1156, Arrumani, D7
-17.426290,-66.120018, Calle Ecológica #1157, Sivingani, D7
-17.421974,-66.124693, Calle Enrique Finot #1158, K’ara K’ara, D7
-17.413943,-66.122638, Calle Pucará #1159, Arrumani, D7
-17.415324,-66.115383, Av. Siglo XX #1160, Sivingani, D7
-17.417714,-66.120154, Calle Villa Busch #1161, K’ara K’ara, D7
-17.420105,-66.121066, Calle Ecológica #1162, Arrumani, D7
-17.427955,-66.120024, Calle Enrique Finot #1163, Sivingani, D7
-17.424392,-66.128470, Calle Pucará #1164, K’ara K’ara, D7
-17.420858,-66.120142, Av. Siglo XX #1165, Arrumani, D7
-17.435722,-66.121066, Calle Villa Busch #1166, Sivingani, D7
-17.436039,-66.123044, Calle Ecológica #1167, K’ara K’ara, D7
-17.418536,-66.111437, Calle Enrique Finot #1168, Arrumani, D7
-17.412911,-66.125094, Calle Pucará #1169, Sivingani, D7
-17.433221,-66.120483, Av. Siglo XX #1170, K’ara K’ara, D7
-17.430362,-66.124819, Calle Villa Busch #1171, Arrumani, D7
-17.428554,-66.128540, Calle Ecológica #1172, Sivingani, D7
-17.426161,-66.129683, Calle Enrique Finot #1173, K’ara K’ara, D7
-17.427116,-66.125903, Calle Pucará #1174, Arrumani, D7
-17.425133,-66.127109, Av. Siglo XX #1175, Sivingani, D7
-17.423630,-66.129890, Calle Villa Busch #1176, K’ara K’ara, D7
-17.412137,-66.124733, Calle Ecológica #1177, Arrumani, D7
-17.430222,-66.125152, Calle Enrique Finot #1178, Sivingani, D7
-17.407887,-66.121933, Calle Pucará #1179, K’ara K’ara, D7
-17.412381,-66.123353, Av. Siglo XX #1180, Arrumani, D7
-17.413034,-66.119313, Calle Villa Busch #1181, Sivingani, D7
-17.425976,-66.119313, Calle Ecológica #1182, K’ara K’ara, D7
-17.430922,-66.125680, Calle Enrique Finot #1183, Arrumani, D7
-17.428536,-66.122060, Calle Pucará #1184, Sivingani, D7
-17.417430,-66.122281, Av. Siglo XX #1185, K’ara K’ara, D7
-17.420612,-66.127093, Calle Villa Busch #1186, Arrumani, D7
-17.408904,-66.124279, Calle Ecológica #1187, Sivingani, D7
-17.417941,-66.118222, Calle Enrique Finot #1188, K’ara K’ara, D7
-17.434785,-66.120891, Calle Pucará #1189, Arrumani, D7
-17.422888,-66.118671, Av. Siglo XX #1190, Sivingani, D7
-17.424144,-66.128562, Calle Villa Busch #1191, K’ara K’ara, D7
-17.429749,-66.126327, Calle Ecológica #1192, Arrumani, D7
-17.425487,-66.119653, Calle Enrique Finot #1193, Sivingani, D7
-17.424999,-66.123042, Calle Pucará #1194, K’ara K’ara, D7
-17.429672,-66.118154, Av. Siglo XX #1195, Arrumani, D7
-17.432697,-66.122032, Calle Villa Busch #1196, Sivingani, D7
-17.419220,-66.115148, Calle Ecológica #1197, K’ara K’ara, D7
-17.415602,-66.122173, Calle Enrique Finot #1198, Arrumani, D7
-17.427633,-66.120640, Calle Pucará #1199, Sivingani, D7
-17.435302,-66.123041, Av. Siglo XX #1200, K’ara K’ara, D7
-17.425982,-66.127085, Calle Villa Busch #1201, Arrumani, D7
-17.413132,-66.118545, Calle Ecológica #1202, Sivingani, D7
-17.433943,-66.119073, Calle Enrique Finot #1203, K’ara K’ara, D7
-17.420250,-66.126626, Calle Pucará #1204, Arrumani, D7
-17.408446,-66.123940, Av. Siglo XX #1205, Sivingani, D7
-17.416355,-66.124200, Calle Villa Busch #1206, K’ara K’ara, D7
-17.430598,-66.117636, Calle Ecológica #1207, Arrumani, D7
-17.434509,-66.124427, Calle Enrique Finot #1208, Sivingani, D7
-17.419082,-66.119954, Calle Pucará #1209, K’ara K’ara, D7
-17.419184,-66.121951, Av. Siglo XX #1210, Arrumani, D7
-17.420120,-66.122336, Calle Villa Busch #1211, Sivingani, D7
-17.414432,-66.123093, Calle Ecológica #1212, K’ara K’ara, D7
-17.418833,-66.121931, Calle Enrique Finot #1213, Arrumani, D7
-17.428622,-66.127437, Calle Pucará #1214, Sivingani, D7
-17.425966,-66.130566, Av. Siglo XX #1215, K’ara K’ara, D7
-17.424412,-66.125279, Calle Villa Busch #1216, Arrumani, D7
-17.418311,-66.120490, Calle Ecológica #1217, Sivingani, D7
-17.431674,-66.126148, Calle Enrique Finot #1218, K’ara K’ara, D7
-17.423464,-66.119017, Calle Pucará #1219, Arrumani, D7
-17.423256,-66.116378, Av. Siglo XX #1220, Sivingani, D7
-17.422371,-66.118558, Calle Villa Busch #1221, K’ara K’ara, D7
-17.420515,-66.125653, Calle Ecológica #1222, Arrumani, D7
-17.422259,-66.125319, Calle Enrique Finot #1223, Sivingani, D7
-17.415048,-66.124992, Calle Pucará #1224, K’ara K’ara, D7
-17.415315,-66.116034, Av. Siglo XX #1225, Arrumani, D7
-17.419952,-66.113310, Calle Villa Busch #1226, Sivingani, D7
-17.423564,-66.125586, Calle Ecológica #1227, K’ara K’ara, D7
-17.425510,-66.126510, Calle Enrique Finot #1228, Arrumani, D7
-17.418618,-66.122237, Calle Pucará #1229, Sivingani, D7
-17.435165,-66.121847, Av. Siglo XX #1230, K’ara K’ara, D7
-17.424563,-66.123589, Calle Villa Busch #1231, Arrumani, D7
-17.424213,-66.127606, Calle Ecológica #1232, Sivingani, D7
-17.422606,-66.120809, Calle Enrique Finot #1233, K’ara K’ara, D7
-17.422939,-66.121117, Calle Pucará #1234, Arrumani, D7
-17.418546,-66.126430, Av. Siglo XX #1235, Sivingani, D7
-17.429522,-66.126039, Calle Villa Busch #1236, K’ara K’ara, D7
-17.437016,-66.120553, Calle Ecológica #1237, Arrumani, D7
-17.420084,-66.117795, Calle Enrique Finot #1238, Sivingani, D7
-17.421457,-66.123006, Calle Pucará #1239, K’ara K’ara, D7
-17.420277,-66.119374, Av. Siglo XX #1240, Arrumani, D7
-17.420495,-66.118259, Calle Villa Busch #1241, Sivingani, D7
-17.437109,-66.123708, Calle Ecológica #1242, K’ara K’ara, D7
-17.414159,-66.123719, Calle Enrique Finot #1243, Arrumani, D7
-17.414093,-66.117533, Calle Pucará #1244, Sivingani, D7
-17.415868,-66.118861, Av. Siglo XX #1245, K’ara K’ara, D7
-17.422433,-66.113595, Calle Villa Busch #1246, Arrumani, D7
-17.416181,-66.120302, Calle Ecológica #1247, Sivingani, D7
-17.422865,-66.119199, Calle Enrique Finot #1248, K’ara K’ara, D7
-17.429820,-66.123058, Calle Pucará #1249, Arrumani, D7
-17.420214,-66.118727, Av. Siglo XX #1250, Sivingani, D7
-17.414064,-66.124132, Calle Villa Busch #1251, K’ara K’ara, D7
-17.436965,-66.122938, Calle Ecológica #1252, Arrumani, D7
-17.432912,-66.120334, Calle Enrique Finot #1253, Sivingani, D7
-17.421705,-66.115714, Calle Pucará #1254, K’ara K’ara, D7
-17.430981,-66.126143, Av. Siglo XX #1255, Arrumani, D7
-17.429452,-66.126195, Calle Villa Busch #1256, Sivingani, D7
-17.410611,-66.123421, Calle Ecológica #1257, K’ara K’ara, D7
-17.434550,-66.119725, Calle Enrique Finot #1258, Arrumani, D7
-17.418619,-66.122773, Calle Pucará #1259, Sivingani, D7
-17.429525,-66.127548, Av. Siglo XX #1260, K’ara K’ara, D7
-17.419043,-66.123529, Calle Villa Busch #1261, Arrumani, D7
-17.420845,-66.116209, Calle Ecológica #1262, Sivingani, D7
-17.409484,-66.123705, Calle Enrique Finot #1263, K’ara K’ara, D7
-17.428195,-66.129252, Calle Pucará #1264, Arrumani, D7
-17.424034,-66.122495, Av. Siglo XX #1265, Sivingani, D7
-17.424097,-66.124026, Calle Villa Busch #1266, K’ara K’ara, D7
-17.416695,-66.122210, Calle Ecológica #1267, Arrumani, D7
-17.425049,-66.124768, Calle Enrique Finot #1268, Sivingani, D7
-17.420211,-66.128210, Calle Pucará #1269, K’ara K’ara, D7
-17.417844,-66.116504, Av. Siglo XX #1270, Arrumani, D7
-17.416847,-66.120547, Calle Villa Busch #1271, Sivingani, D7
-17.437511,-66.120590, Calle Ecológica #1272, K’ara K’ara, D7
-17.410028,-66.121620, Calle Enrique Finot #1273, Arrumani, D7
-17.419235,-66.115234, Calle Pucará #1274, Sivingani, D7
-17.426116,-66.123696, Av. Siglo XX #1275, K’ara K’ara, D7
-17.421590,-66.125646, Calle Villa Busch #1276, Arrumani, D7
-17.421184,-66.122796, Calle Ecológica #1277, Sivingani, D7
-17.426440,-66.121299, Calle Enrique Finot #1278, K’ara K’ara, D7
-17.433407,-66.120697, Calle Pucará #1279, Arrumani, D7
-17.425125,-66.124251, Av. Siglo XX #1280, Sivingani, D7
-17.430817,-66.126222, Calle Villa Busch #1281, K’ara K’ara, D7
-17.418965,-66.117388, Calle Ecológica #1282, Arrumani, D7
-17.426900,-66.126345, Calle Enrique Finot #1283, Sivingani, D7
-17.415615,-66.121220, Calle Pucará #1284, K’ara K’ara, D7
-17.439626,-66.122523, Av. Siglo XX #1285, Arrumani, D7
-17.423233,-66.124714, Calle Villa Busch #1286, Sivingani, D7
-17.423161,-66.125330, Calle Ecológica #1287, K’ara K’ara, D7
-17.425825,-66.131542, Calle Enrique Finot #1288, Arrumani, D7
-17.418175,-66.121269, Calle Pucará #1289, Sivingani, D7
-17.429064,-66.121236, Av. Siglo XX #1290, K’ara K’ara, D7
-17.432415,-66.120443, Calle Villa Busch #1291, Arrumani, D7
-17.418783,-66.117702, Calle Ecológica #1292, Sivingani, D7
-17.431468,-66.123137, Calle Enrique Finot #1293, K’ara K’ara, D7
-17.418017,-66.121224, Calle Pucará #1294, Arrumani, D7
-17.430543,-66.119338, Av. Siglo XX #1295, Sivingani, D7
-17.431087,-66.117277, Calle Villa Busch #1296, K’ara K’ara, D7
-17.419263,-66.120626, Calle Ecológica #1297, Arrumani, D7
-17.414670,-66.119815, Calle Enrique Finot #1298, Sivingani, D7
