-17.487577,-66.112642, Calle Urcupiña #100, Pukara Oeste, D15
-17.467595,-66.137219, Calle Urcupiña #1620, Valle Hermoso Oeste, D15
-17.473534,-66.145728, Calle Achumani #1621, Pukara Oeste, D15
-17.471716,-66.127238, Calle Castrillo #1622, Khara Khara, D15
-17.455229,-66.134874, Calle Landaeta #1623, Valle Hermoso Oeste, D15
-17.473489,-66.138456, Calle Villazón #1624, Pukara Oeste, D15
-17.471544,-66.150080, Calle Urcupiña #1625, Khara Khara, D15
-17.463032,-66.153650, Calle Achumani #1626, Valle Hermoso Oeste, D15
-17.484151,-66.144234, Calle Castrillo #1627, Pukara Oeste, D15
-17.474224,-66.146112, Calle Landaeta #1628, Khara Khara, D15
-17.493086,-66.141406, Calle Villazón #1629, Valle Hermoso Oeste, D15
-17.481067,-66.131907, Calle Urcupiña #1630, Pukara Oeste, D15
-17.491470,-66.137842, Calle Achumani #1631, Khara Khara, D15
-17.482884,-66.143944, Calle Castrillo #1632, Valle Hermoso Oeste, D15
-17.489191,-66.132220, Calle Landaeta #1633, Pukara Oeste, D15
-17.460005,-66.135231, Calle Villazón #1634, Khara Khara, D15
-17.491959,-66.125579, Calle Urcupiña #1635, Valle Hermoso Oeste, D15
-17.467521,-66.132273, Calle Achumani #1636, Pukara Oeste, D15
-17.475707,-66.123073, Calle Castrillo #1637, Khara Khara, D15
-17.485225,-66.136610, Calle Landaeta #1638, Valle Hermoso Oeste, D15
-17.485647,-66.136178, Calle Villazón #1639, Pukara Oeste, D15
-17.449197,-66.140058, Calle Urcupiña #1640, Khara Khara, D15
-17.485880,-66.148633, Calle Achumani #1641, Valle Hermoso Oeste, D15
-17.465982,-66.151375, Calle Castrillo #1642, Pukara Oeste, D15
-17.466942,-66.135279, Calle Landaeta #1643, Khara Khara, D15
-17.476300,-66.145216, Calle Villazón #1644, Valle Hermoso Oeste, D15
-17.472742,-66.117102, Calle Urcupiña #1645, Pukara Oeste, D15
-17.475135,-66.118752, Calle Achumani #1646, Khara Khara, D15
-17.471622,-66.115839, Calle Castrillo #1647, Valle Hermoso Oeste, D15
-17.492012,-66.140127, Calle Landaeta #1648, Pukara Oeste, D15
-17.447961,-66.143694, Calle Villazón #1649, Khara Khara, D15
-17.469690,-66.128983, Calle Urcupiña #1650, Valle Hermoso Oeste, D15
-17.500054,-66.145284, Calle Achumani #1651, Pukara Oeste, D15
-17.464008,-66.149940, Calle Castrillo #1652, Khara Khara, D15
-17.496046,-66.141902, Calle Landaeta #1653, Valle Hermoso Oeste, D15
-17.463715,-66.125445, Calle Villazón #1654, Pukara Oeste, D15
-17.472460,-66.124693, Calle Urcupiña #1655, Khara Khara, D15
-17.473640,-66.146367, Calle Achumani #1656, Valle Hermoso Oeste, D15
-17.490843,-66.130935, Calle Castrillo #1657, Pukara Oeste, D15
-17.483569,-66.133729, Calle Landaeta #1658, Khara Khara, D15
-17.459268,-66.146162, Calle Villazón #1659, Valle Hermoso Oeste, D15
-17.466286,-66.132872, Calle Urcupiña #1660, Pukara Oeste, D15
-17.466013,-66.145834, Calle Achumani #1661, Khara Khara, D15
-17.465325,-66.148063, Calle Castrillo #1662, Valle Hermoso Oeste, D15
-17.473247,-66.150322, Calle Landaeta #1663, Pukara Oeste, D15
-17.477639,-66.121065, Calle Villazón #1664, Khara Khara, D15
-17.474829,-66.122812, Calle Urcupiña #1665, Valle Hermoso Oeste, D15
-17.453611,-66.134787, Calle Achumani #1666, Pukara Oeste, D15
-17.493597,-66.151313, Calle Castrillo #1667, Khara Khara, D15
-17.464727,-66.130542, Calle Landaeta #1668, Valle Hermoso Oeste, D15
-17.458802,-66.152527, Calle Villazón #1669, Pukara Oeste, D15
-17.477901,-66.131329, Calle Urcupiña #1670, Khara Khara, D15
-17.467981,-66.143650, Calle Achumani #1671, Valle Hermoso Oeste, D15
-17.468189,-66.133484, Calle Castrillo #1672, Pukara Oeste, D15
-17.458517,-66.130168, Calle Landaeta #1673, Khara Khara, D15
-17.453241,-66.145076, Calle Villazón #1674, Valle Hermoso Oeste, D15
-17.470929,-66.134019, Calle Urcupiña #1675, Pukara Oeste, D15
-17.454680,-66.131909, Calle Achumani #1676, Khara Khara, D15
-17.494115,-66.144030, Calle Castrillo #1677, Valle Hermoso Oeste, D15
-17.451288,-66.146378, Calle Landaeta #1678, Pukara Oeste, D15
-17.471035,-66.126406, Calle Villazón #1679, Khara Khara, D15
-17.483711,-66.119902, Calle Urcupiña #1680, Valle Hermoso Oeste, D15
-17.474902,-66.125616, Calle Achumani #1681, Pukara Oeste, D15
-17.455170,-66.136318, Calle Castrillo #1682, Khara Khara, D15
-17.453393,-66.145466, Calle Landaeta #1683, Valle Hermoso Oeste, D15
-17.452925,-66.144519, Calle Villazón #1684, Pukara Oeste, D15
-17.479516,-66.141663, Calle Urcupiña #1685, Khara Khara, D15
-17.471109,-66.120331, Calle Achumani #1686, Valle Hermoso Oeste, D15
-17.476189,-66.148489, Calle Castrillo #1687, Pukara Oeste, D15
-17.492790,-66.129125, Calle Landaeta #1688, Khara Khara, D15
-17.470955,-66.127160, Calle Villazón #1689, Valle Hermoso Oeste, D15
-17.485394,-66.136402, Calle Urcupiña #1690, Pukara Oeste, D15
-17.458136,-66.132392, Calle Achumani #1691, Khara Khara, D15
-17.447848,-66.141946, Calle Castrillo #1692, Valle Hermoso Oeste, D15
-17.495020,-66.137813, Calle Landaeta #1693, Pukara Oeste, D15
-17.497701,-66.142996, Calle Villazón #1694, Khara Khara, D15
-17.485807,-66.120794, Calle Urcupiña #1695, Valle Hermoso Oeste, D15
-17.471874,-66.123333, Calle Achumani #1696, Pukara Oeste, D15
-17.457471,-66.136199, Calle Castrillo #1697, Khara Khara, D15
-17.471901,-66.125703, Calle Landaeta #1698, Valle Hermoso Oeste, D15
-17.468046,-66.134708, Calle Villazón #1699, Pukara Oeste, D15
-17.501967,-66.138085, Calle Urcupiña #1700, Khara Khara, D15
-17.473844,-66.133207, Calle Achumani #1701, Valle Hermoso Oeste, D15
-17.456261,-66.148824, Calle Castrillo #1702, Pukara Oeste, D15
-17.503167,-66.147474, Calle Landaeta #1703, Khara Khara, D15
-17.466383,-66.122519, Calle Villazón #1704, Valle Hermoso Oeste, D15
-17.501381,-66.141102, Calle Urcupiña #1705, Pukara Oeste, D15
-17.487754,-66.146873, Calle Achumani #1706, Khara Khara, D15
-17.469727,-66.127148, Calle Castrillo #1707, Valle Hermoso Oeste, D15
-17.499824,-66.137134, Calle Landaeta #1708, Pukara Oeste, D15
-17.475557,-66.137497, Calle Villazón #1709, Khara Khara, D15
-17.484217,-66.138998, Calle Urcupiña #1710, Valle Hermoso Oeste, D15
-17.474927,-66.120681, Calle Achumani #1711, Pukara Oeste, D15
-17.463550,-66.144345, Calle Castrillo #1712, Khara Khara, D15
-17.483129,-66.141509, Calle Landaeta #1713, Valle Hermoso Oeste, D15
-17.484245,-66.124269, Calle Villazón #1714, Pukara Oeste, D15
-17.475622,-66.135808, Calle Urcupiña #1715, Khara Khara, D15
-17.459470,-66.128536, Calle Achumani #1716, Valle Hermoso Oeste, D15
-17.463667,-66.153672, Calle Castrillo #1717, Pukara Oeste, D15
-17.485835,-66.127958, Calle Landaeta #1718, Khara Khara, D15
-17.465032,-66.136165, Calle Villazón #1719, Valle Hermoso Oeste, D15
-17.467314,-66.144526, Calle Urcupiña #1720, Pukara Oeste, D15
-17.476085,-66.126272, Calle Achumani #1721, Khara Khara, D15
-17.499193,-66.150653, Calle Castrillo #1722, Valle Hermoso Oeste, D15
-17.471508,-66.138477, Calle Landaeta #1723, Pukara Oeste, D15
-17.489817,-66.134930, Calle Villazón #1724, Khara Khara, D15
-17.453950,-66.149449, Calle Urcupiña #1725, Valle Hermoso Oeste, D15
-17.492376,-66.141745, Calle Achumani #1726, Pukara Oeste, D15
-17.473972,-66.146945, Calle Castrillo #1727, Khara Khara, D15
-17.478538,-66.123878, Calle Landaeta #1728, Valle Hermoso Oeste, D15
-17.491756,-66.121113, Calle Villazón #1729, Pukara Oeste, D15
-17.474547,-66.147779, Calle Urcupiña #1730, Khara Khara, D15
-17.461671,-66.131528, Calle Achumani #1731, Valle Hermoso Oeste, D15
-17.472922,-66.133540, Calle Castrillo #1732, Pukara Oeste, D15
-17.478885,-66.151992, Calle Landaeta #1733, Khara Khara, D15
-17.498637,-66.143030, Calle Villazón #1734, Valle Hermoso Oeste, D15
-17.491706,-66.132701, Calle Urcupiña #1735, Pukara Oeste, D15
-17.464448,-66.134122, Calle Achumani #1736, Khara Khara, D15
-17.480526,-66.148158, Calle Castrillo #1737, Valle Hermoso Oeste, D15
-17.467371,-66.144304, Calle Landaeta #1738, Pukara Oeste, D15
-17.480284,-66.121899, Calle Villazón #1739, Khara Khara, D15
-17.499276,-66.142436, Calle Urcupiña #1740, Valle Hermoso Oeste, D15
-17.492092,-66.142782, Calle Achumani #1741, Pukara Oeste, D15
-17.469878,-66.121502, Calle Castrillo #1742, Khara Khara, D15
-17.494913,-66.139549, Calle Landaeta #1743, Valle Hermoso Oeste, D15
-17.468125,-66.150331, Calle Villazón #1744, Pukara Oeste, D15
-17.482789,-66.120204, Calle Urcupiña #1745, Khara Khara, D15
-17.459223,-66.135232, Calle Achumani #1746, Valle Hermoso Oeste, D15
-17.472152,-66.127727, Calle Castrillo #1747, Pukara Oeste, D15
-17.494588,-66.128618, Calle Landaeta #1748, Khara Khara, D15
-17.486295,-66.114288, Calle Villazón #1749, Valle Hermoso Oeste, D15
-17.477811,-66.143502, Calle Urcupiña #1750, Pukara Oeste, D15
-17.464078,-66.126642, Calle Achumani #1751, Khara Khara, D15
-17.486422,-66.120954, Calle Castrillo #1752, Valle Hermoso Oeste, D15
-17.487688,-66.138268, Calle Landaeta #1753, Pukara Oeste, D15
-17.480104,-66.144909, Calle Villazón #1754, Khara Khara, D15
-17.466690,-66.146056, Calle Urcupiña #1755, Valle Hermoso Oeste, D15
-17.486776,-66.114435, Calle Achumani #1756, Pukara Oeste, D15
-17.461953,-66.126301, Calle Castrillo #1757, Khara Khara, D15
-17.483280,-66.142127, Calle Landaeta #1758, Valle Hermoso Oeste, D15
-17.470667,-66.151674, Calle Villazón #1759, Pukara Oeste, D15
-17.474126,-66.148012, Calle Urcupiña #1760, Khara Khara, D15
-17.480132,-66.127486, Calle Achumani #1761, Valle Hermoso Oeste, D15
-17.492493,-66.127509, Calle Castrillo #1762, Pukara Oeste, D15
-17.448905,-66.144067, Calle Landaeta #1763, Khara Khara, D15
-17.457587,-66.139259, Calle Villazón #1764, Valle Hermoso Oeste, D15
-17.454013,-66.134433, Calle Urcupiña #1765, Pukara Oeste, D15
-17.478082,-66.133292, Calle Achumani #1766, Khara Khara, D15
-17.471625,-66.134570, Calle Castrillo #1767, Valle Hermoso Oeste, D15
-17.459380,-66.142215, Calle Landaeta #1768, Pukara Oeste, D15
-17.489922,-66.136457, Calle Villazón #1769, Khara Khara, D15
-17.495649,-66.148729, Calle Urcupiña #1770, Valle Hermoso Oeste, D15
-17.469401,-66.145216, Calle Achumani #1771, Pukara Oeste, D15
-17.495890,-66.132911, Calle Castrillo #1772, Khara Khara, D15
-17.465111,-66.151104, Calle Landaeta #1773, Valle Hermoso Oeste, D15
-17.490250,-66.138967, Calle Villazón #1774, Pukara Oeste, D15
-17.450996,-66.140683, Calle Urcupiña #1775, Khara Khara, D15
-17.502974,-66.147208, Calle Achumani #1776, Valle Hermoso Oeste, D15
-17.492722,-66.137960, Calle Castrillo #1777, Pukara Oeste, D15
-17.468013,-66.152316, Calle Landaeta #1778, Khara Khara, D15
-17.504174,-66.144106, Calle Villazón #1779, Valle Hermoso Oeste, D15
-17.488266,-66.113476, Calle Urcupiña #1780, Pukara Oeste, D15
-17.482372,-66.120116, Calle Achumani #1781, Khara Khara, D15
-17.472478,-66.140391, Calle Castrillo #1782, Valle Hermoso Oeste, D15
-17.453934,-66.147413, Calle Landaeta #1783, Pukara Oeste, D15
-17.471183,-66.140316, Calle Villazón #1784, Khara Khara, D15
-17.471017,-66.140582, Calle Urcupiña #1785, Valle Hermoso Oeste, D15
-17.460270,-66.134722, Calle Achumani #1786, Pukara Oeste, D15
-17.486754,-66.116778, Calle Castrillo #1787, Khara Khara, D15
-17.479779,-66.149282, Calle Landaeta #1788, Valle Hermoso Oeste, D15
-17.457331,-66.139637, Calle Villazón #1789, Pukara Oeste, D15
-17.464565,-66.152004, Calle Urcupiña #1790, Khara Khara, D15
-17.492632,-66.121736, Calle Achumani #1791, Valle Hermoso Oeste, D15
-17.480724,-66.114737, Calle Castrillo #1792, Pukara Oeste, D15
-17.491869,-66.124145, Calle Landaeta #1793, Khara Khara, D15
-17.494066,-66.144466, Calle Villazón #1794, Valle Hermoso Oeste, D15
-17.479620,-66.138897, Calle Urcupiña #1795, Pukara Oeste, D15
-17.475243,-66.124200, Calle Achumani #1796, Khara Khara, D15
-17.494206,-66.149942, Calle Castrillo #1797, Valle Hermoso Oeste, D15
-17.466382,-66.151039, Calle Landaeta #1798, Pukara Oeste, D15
-17.492033,-66.130743, Calle Villazón #1799, Khara Khara, D15
-17.465090,-66.131185, Calle Urcupiña #1800, Valle Hermoso Oeste, D15
-17.500118,-66.134087, Calle Achumani #1801, Pukara Oeste, D15
-17.468438,-66.145571, Calle Castrillo #1802, Khara Khara, D15
-17.488356,-66.122570, Calle Landaeta #1803, Valle Hermoso Oeste, D15
-17.497558,-66.136597, Calle Villazón #1804, Pukara Oeste, D15
-17.447077,-66.140711, Calle Urcupiña #1805, Khara Khara, D15
-17.487176,-66.151479, Calle Achumani #1806, Valle Hermoso Oeste, D15
-17.454626,-66.149136, Calle Castrillo #1807, Pukara Oeste, D15
-17.469512,-66.128504, Calle Landaeta #1808, Khara Khara, D15
-17.467149,-66.142128, Calle Villazón #1809, Valle Hermoso Oeste, D15
-17.500785,-66.146586, Calle Urcupiña #1810, Pukara Oeste, D15
-17.479123,-66.137677, Calle Achumani #1811, Khara Khara, D15
-17.479005,-66.145811, Calle Castrillo #1812, Valle Hermoso Oeste, D15
-17.455328,-66.131241, Calle Landaeta #1813, Pukara Oeste, D15
-17.484590,-66.147090, Calle Villazón #1814, Khara Khara, D15
-17.488197,-66.146888, Calle Urcupiña #1815, Valle Hermoso Oeste, D15
-17.486420,-66.146410, Calle Achumani #1816, Pukara Oeste, D15
-17.470744,-66.140406, Calle Castrillo #1817, Khara Khara, D15
-17.484319,-66.141914, Calle Landaeta #1818, Valle Hermoso Oeste, D15
-17.490064,-66.126017, Calle Villazón #1819, Pukara Oeste, D15
-17.480190,-66.121444, Calle Urcupiña #1820, Khara Khara, D15
-17.464537,-66.143632, Calle Achumani #1821, Valle Hermoso Oeste, D15
-17.469253,-66.128607, Calle Castrillo #1822, Pukara Oeste, D15
-17.491581,-66.125093, Calle Landaeta #1823, Khara Khara, D15
-17.485076,-66.148838, Calle Villazón #1824, Valle Hermoso Oeste, D15
-17.474899,-66.134419, Calle Urcupiña #1825, Pukara Oeste, D15
-17.464118,-66.126152, Calle Achumani #1826, Khara Khara, D15
-17.493085,-66.130924, Calle Castrillo #1827, Valle Hermoso Oeste, D15
-17.459355,-66.133192, Calle Landaeta #1828, Pukara Oeste, D15
-17.479201,-66.121078, Calle Villazón #1829, Khara Khara, D15
-17.455274,-66.141109, Calle Urcupiña #1830, Valle Hermoso Oeste, D15
-17.483730,-66.121798, Calle Achumani #1831, Pukara Oeste, D15
-17.462897,-66.126378, Calle Castrillo #1832, Khara Khara, D15
-17.468681,-66.153083, Calle Landaeta #1833, Valle Hermoso Oeste, D15
-17.448956,-66.142521, Calle Villazón #1834, Pukara Oeste, D15
-17.492278,-66.128157, Calle Urcupiña #1835, Khara Khara, D15
-17.451300,-66.142020, Calle Achumani #1836, Valle Hermoso Oeste, D15
-17.478393,-66.146309, Calle Castrillo #1837, Pukara Oeste, D15
-17.506058,-66.149838, Calle Landaeta #1838, Khara Khara, D15
-17.460718,-66.147402, Calle Villazón #1839, Valle Hermoso Oeste, D15
-17.482918,-66.110717, Calle Urcupiña #1840, Pukara Oeste, D15
-17.470258,-66.139057, Calle Achumani #1841, Khara Khara, D15
-17.486287,-66.134669, Calle Castrillo #1842, Valle Hermoso Oeste, D15
-17.460685,-66.150606, Calle Landaeta #1843, Pukara Oeste, D15
-17.460033,-66.128843, Calle Villazón #1844, Khara Khara, D15
-17.473772,-66.142245, Calle Urcupiña #1845, Valle Hermoso Oeste, D15
-17.495297,-66.147411, Calle Achumani #1846, Pukara Oeste, D15
-17.488025,-66.113096, Calle Castrillo #1847, Khara Khara, D15
-17.462834,-66.135664, Calle Landaeta #1848, Valle Hermoso Oeste, D15
-17.478483,-66.123857, Calle Villazón #1849, Pukara Oeste, D15
-17.486802,-66.138213, Calle Urcupiña #1850, Khara Khara, D15
-17.489108,-66.139403, Calle Achumani #1851, Valle Hermoso Oeste, D15
-17.477059,-66.118062, Calle Castrillo #1852, Pukara Oeste, D15
-17.487120,-66.151224, Calle Landaeta #1853, Khara Khara, D15
-17.459283,-66.127699, Calle Villazón #1854, Valle Hermoso Oeste, D15
-17.454249,-66.136271, Calle Urcupiña #1855, Pukara Oeste, D15
-17.494061,-66.135934, Calle Achumani #1856, Khara Khara, D15
-17.474714,-66.147699, Calle Castrillo #1857, Valle Hermoso Oeste, D15
-17.497559,-66.138872, Calle Landaeta #1858, Pukara Oeste, D15
-17.491411,-66.125863, Calle Villazón #1859, Khara Khara, D15
-17.504100,-66.150303, Calle Urcupiña #1860, Valle Hermoso Oeste, D15
-17.457654,-66.136627, Calle Achumani #1861, Pukara Oeste, D15
-17.480718,-66.125320, Calle Castrillo #1862, Khara Khara, D15
-17.489567,-66.140498, Calle Landaeta #1863, Valle Hermoso Oeste, D15
-17.448050,-66.143218, Calle Villazón #1864, Pukara Oeste, D15
-17.455168,-66.135711, Calle Urcupiña #1865, Khara Khara, D15
-17.477596,-66.138894, Calle Achumani #1866, Valle Hermoso Oeste, D15
-17.502529,-66.144737, Calle Castrillo #1867, Pukara Oeste, D15
-17.451299,-66.136984, Calle Landaeta #1868, Khara Khara, D15
-17.494779,-66.125509, Calle Villazón #1869, Valle Hermoso Oeste, D15
-17.494745,-66.144855, Calle Urcupiña #1870, Pukara Oeste, D15
-17.468530,-66.120713, Calle Achumani #1871, Khara Khara, D15
-17.469147,-66.146986, Calle Castrillo #1872, Valle Hermoso Oeste, D15
-17.474872,-66.145609, Calle Landaeta #1873, Pukara Oeste, D15
-17.492513,-66.146231, Calle Villazón #1874, Khara Khara, D15
-17.467251,-66.148831, Calle Urcupiña #1875, Valle Hermoso Oeste, D15
-17.455641,-66.131599, Calle Achumani #1876, Pukara Oeste, D15
-17.486466,-66.116769, Calle Castrillo #1877, Khara Khara, D15
-17.462898,-66.126313, Calle Landaeta #1878, Valle Hermoso Oeste, D15
-17.470526,-66.145015, Calle Villazón #1879, Pukara Oeste, D15
-17.471519,-66.144454, Calle Urcupiña #1880, Khara Khara, D15
-17.482968,-66.146788, Calle Achumani #1881, Valle Hermoso Oeste, D15
-17.464025,-66.152898, Calle Castrillo #1882, Pukara Oeste, D15
-17.472781,-66.132147, Calle Landaeta #1883, Khara Khara, D15
-17.474316,-66.149963, Calle Villazón #1884, Valle Hermoso Oeste, D15
-17.479016,-66.125199, Calle Urcupiña #1885, Pukara Oeste, D15
-17.452679,-66.147601, Calle Achumani #1886, Khara Khara, D15
-17.484123,-66.140769, Calle Castrillo #1887, Valle Hermoso Oeste, D15
-17.461698,-66.140678, Calle Landaeta #1888, Pukara Oeste, D15
-17.486152,-66.144679, Calle Villazón #1889, Khara Khara, D15
-17.472970,-66.119893, Calle Urcupiña #1890, Valle Hermoso Oeste, D15
-17.468063,-66.142898, Calle Achumani #1891, Pukara Oeste, D15
-17.477159,-66.149621, Calle Castrillo #1892, Khara Khara, D15
-17.499895,-66.141356, Calle Landaeta #1893, Valle Hermoso Oeste, D15
-17.447531,-66.140860, Calle Villazón #1894, Pukara Oeste, D15
-17.501804,-66.138816, Calle Urcupiña #1895, Khara Khara, D15
-17.456445,-66.153345, Calle Achumani #1896, Valle Hermoso Oeste, D15
-17.469342,-66.148051, Calle Castrillo #1897, Pukara Oeste, D15
-17.463889,-66.132057, Calle Landaeta #1898, Khara Khara, D15
-17.480937,-66.140386, Calle Villazón #1899, Valle Hermoso Oeste, D15
-17.492579,-66.122737, Calle Urcupiña #1900, Pukara Oeste, D15
-17.494573,-66.144526, Calle Achumani #1901, Khara Khara, D15
-17.451259,-66.142968, Calle Castrillo #1902, Valle Hermoso Oeste, D15
-17.463789,-66.132453, Calle Landaeta #1903, Pukara Oeste, D15
-17.468718,-66.150052, Calle Villazón #1904, Khara Khara, D15
-17.469953,-66.136230, Calle Urcupiña #1905, Valle Hermoso Oeste, D15
-17.491266,-66.122844, Calle Achumani #1906, Pukara Oeste, D15
-17.457918,-66.130895, Calle Castrillo #1907, Khara Khara, D15
-17.460409,-66.135210, Calle Landaeta #1908, Valle Hermoso Oeste, D15
-17.475108,-66.136051, Calle Villazón #1909, Pukara Oeste, D15
-17.486518,-66.139396, Calle Urcupiña #1910, Khara Khara, D15
-17.496493,-66.131425, Calle Achumani #1911, Valle Hermoso Oeste, D15
-17.500154,-66.136262, Calle Castrillo #1912, Pukara Oeste, D15
-17.479245,-66.112111, Calle Landaeta #1913, Khara Khara, D15
-17.460090,-66.144328, Calle Villazón #1914, Valle Hermoso Oeste, D15
-17.480767,-66.141366, Calle Urcupiña #1915, Pukara Oeste, D15
-17.460994,-66.141093, Calle Achumani #1916, Khara Khara, D15
-17.480504,-66.135132, Calle Castrillo #1917, Valle Hermoso Oeste, D15
-17.497841,-66.148678, Calle Landaeta #1918, Pukara Oeste, D15
-17.474746,-66.123484, Calle Villazón #1919, Khara Khara, D15
-17.488155,-66.144407, Calle Urcupiña #1920, Valle Hermoso Oeste, D15
-17.477132,-66.145013, Calle Achumani #1921, Pukara Oeste, D15
-17.485415,-66.111270, Calle Castrillo #1922, Khara Khara, D15
-17.496492,-66.148150, Calle Landaeta #1923, Valle Hermoso Oeste, D15
-17.496499,-66.128437, Calle Villazón #1924, Pukara Oeste, D15
-17.497667,-66.141361, Calle Urcupiña #1925, Khara Khara, D15
-17.484756,-66.109213, Calle Achumani #1926, Valle Hermoso Oeste, D15
-17.476953,-66.121388, Calle Castrillo #1927, Pukara Oeste, D15
-17.449697,-66.142208, Calle Landaeta #1928, Khara Khara, D15
-17.464503,-66.145350, Calle Villazón #1929, Valle Hermoso Oeste, D15
-17.495929,-66.141644, Calle Urcupiña #1930, Pukara Oeste, D15
-17.491151,-66.131229, Calle Achumani #1931, Khara Khara, D15
-17.477848,-66.150267, Calle Castrillo #1932, Valle Hermoso Oeste, D15
-17.469424,-66.134196, Calle Landaeta #1933, Pukara Oeste, D15
-17.458830,-66.138701, Calle Villazón #1934, Khara Khara, D15
-17.464375,-66.152671, Calle Urcupiña #1935, Valle Hermoso Oeste, D15
-17.490692,-66.124045, Calle Achumani #1936, Pukara Oeste, D15
-17.482767,-66.113428, Calle Castrillo #1937, Khara Khara, D15
-17.455640,-66.131580, Calle Landaeta #1938, Valle Hermoso Oeste, D15
-17.481445,-66.143963, Calle Villazón #1939, Pukara Oeste, D15
-17.481377,-66.137401, Calle Urcupiña #1940, Khara Khara, D15
-17.456954,-66.143520, Calle Achumani #1941, Valle Hermoso Oeste, D15
-17.479952,-66.121464, Calle Castrillo #1942, Pukara Oeste, D15
-17.474338,-66.125372, Calle Landaeta #1943, Khara Khara, D15
-17.491914,-66.131716, Calle Villazón #1944, Valle Hermoso Oeste, D15
-17.480636,-66.129312, Calle Urcupiña #1945, Pukara Oeste, D15
-17.486927,-66.137797, Calle Achumani #1946, Khara Khara, D15
-17.468606,-66.139463, Calle Castrillo #1947, Valle Hermoso Oeste, D15
-17.477692,-66.149058, Calle Landaeta #1948, Pukara Oeste, D15
-17.501831,-66.145803, Calle Villazón #1949, Khara Khara, D15
-17.492932,-66.123745, Calle Urcupiña #1950, Valle Hermoso Oeste, D15
-17.480620,-66.131666, Calle Achumani #1951, Pukara Oeste, D15
-17.460467,-66.147124, Calle Castrillo #1952, Khara Khara, D15
-17.493723,-66.138096, Calle Landaeta #1953, Valle Hermoso Oeste, D15
-17.472318,-66.138079, Calle Villazón #1954, Pukara Oeste, D15
-17.475781,-66.141754, Calle Urcupiña #1955, Khara Khara, D15
-17.497618,-66.134217, Calle Achumani #1956, Valle Hermoso Oeste, D15
-17.467685,-66.130400, Calle Castrillo #1957, Pukara Oeste, D15
-17.471814,-66.151586, Calle Landaeta #1958, Khara Khara, D15
-17.492913,-66.129426, Calle Villazón #1959, Valle Hermoso Oeste, D15
-17.502258,-66.148239, Calle Urcupiña #1960, Pukara Oeste, D15
-17.476286,-66.125257, Calle Achumani #1961, Khara Khara, D15
-17.494362,-66.139587, Calle Castrillo #1962, Valle Hermoso Oeste, D15
-17.461230,-66.136923, Calle Landaeta #1963, Pukara Oeste, D15
-17.481272,-66.126153, Calle Villazón #1964, Khara Khara, D15
-17.482388,-66.126575, Calle Urcupiña #1965, Valle Hermoso Oeste, D15
-17.453065,-66.144373, Calle Achumani #1966, Pukara Oeste, D15
-17.463224,-66.124805, Calle Castrillo #1967, Khara Khara, D15
-17.479839,-66.123854, Calle Landaeta #1968, Valle Hermoso Oeste, D15
-17.467080,-66.122614, Calle Villazón #1969, Pukara Oeste, D15
-17.479355,-66.146757, Calle Urcupiña #1970, Khara Khara, D15
-17.483807,-66.122530, Calle Achumani #1971, Valle Hermoso Oeste, D15
-17.457394,-66.150657, Calle Castrillo #1972, Pukara Oeste, D15
-17.483875,-66.130428, Calle Landaeta #1973, Khara Khara, D15
-17.488045,-66.140826, Calle Villazón #1974, Valle Hermoso Oeste, D15
-17.483044,-66.126310, Calle Urcupiña #1975, Pukara Oeste, D15
-17.479104,-66.138734, Calle Achumani #1976, Khara Khara, D15
-17.452258,-66.144691, Calle Castrillo #1977, Valle Hermoso Oeste, D15
-17.487471,-66.119704, Calle Landaeta #1978, Pukara Oeste, D15
-17.490725,-66.128808, Calle Villazón #1979, Khara Khara, D15
-17.462285,-66.130495, Calle Urcupiña #1980, Valle Hermoso Oeste, D15
-17.459339,-66.137706, Calle Achumani #1981, Pukara Oeste, D15
-17.500069,-66.143752, Calle Castrillo #1982, Khara Khara, D15
-17.494764,-66.127822, Calle Landaeta #1983, Valle Hermoso Oeste, D15
-17.475963,-66.143833, Calle Villazón #1984, Pukara Oeste, D15
-17.477426,-66.120997, Calle Urcupiña #1985, Khara Khara, D15
-17.487534,-66.148795, Calle Achumani #1986, Valle Hermoso Oeste, D15
-17.476362,-66.132805, Calle Castrillo #1987, Pukara Oeste, D15
-17.462384,-66.141815, Calle Landaeta #1988, Khara Khara, D15
-17.476981,-66.121368, Calle Villazón #1989, Valle Hermoso Oeste, D15
-17.489110,-66.133595, Calle Urcupiña #1990, Pukara Oeste, D15
-17.482157,-66.147263, Calle Achumani #1991, Khara Khara, D15
-17.481003,-66.146870, Calle Castrillo #1992, Valle Hermoso Oeste, D15
-17.502257,-66.150827, Calle Landaeta #1993, Pukara Oeste, D15
-17.482745,-66.116357, Calle Villazón #1994, Khara Khara, D15
-17.472679,-66.119024, Calle Urcupiña #1995, Valle Hermoso Oeste, D15
-17.468139,-66.125160, Calle Achumani #1996, Pukara Oeste, D15
-17.475850,-66.126202, Calle Castrillo #1997, Khara Khara, D15
-17.486476,-66.136825, Calle Landaeta #1998, Valle Hermoso Oeste, D15
-17.467364,-66.141777, Calle Villazón #1999, Pukara Oeste, D15
-17.476371,-66.114306, Calle Urcupiña #2000, Khara Khara, D15
-17.467615,-66.123903, Calle Achumani #2001, Valle Hermoso Oeste, D15
