-17.394985,-66.159656, Calle 14 de Septiembre #100, Sudeste, D10
-17.384129,-66.152498, Calle Altamirano #1466, Noreste, D10
-17.401515,-66.163853, Calle Gualberto Villarroel #1467, Noroeste, D10
-17.385124,-66.152709, Calle Avaroa #1468, Sudeste, D10
-17.385051,-66.160303, Calle Galindo #1469, Noreste, D10
-17.406050,-66.161066, Calle 14 de Septiembre #1470, Noroeste, D10
-17.398171,-66.162662, Calle Altamirano #1471, Sudeste, D10
-17.405942,-66.168168, Calle Gualberto Villarroel #1472, Noreste, D10
-17.402619,-66.164039, Calle Avaroa #1473, Noroeste, D10
-17.395506,-66.158935, Calle Galindo #1474, Sudeste, D10
-17.384489,-66.151494, Calle 14 de Septiembre #1475, Noreste, D10
-17.391859,-66.158265, Calle Altamirano #1476, Noroeste, D10
-17.388723,-66.161187, Calle Gualberto Villarroel #1477, Sudeste, D10
-17.398930,-66.165322, Calle Avaroa #1478, Noreste, D10
-17.382303,-66.156866, Calle Galindo #1479, Noroeste, D10
-17.394729,-66.164497, Calle 14 de Septiembre #1480, Sudeste, D10
-17.388210,-66.153322, Calle Altamirano #1481, Noreste, D10
-17.393121,-66.164895, Calle Gualberto Villarroel #1482, Noroeste, D10
-17.384128,-66.154302, Calle Avaroa #1483, Sudeste, D10
-17.388378,-66.161462, Calle Galindo #1484, Noreste, D10
-17.395457,-66.153512, Calle 14 de Septiembre #1485, Noroeste, D10
-17.404619,-66.156882, Calle Altamirano #1486, Sudeste, D10
-17.410295,-66.161442, Calle Gualberto Villarroel #1487, Noreste, D10
-17.398191,-66.151442, Calle Avaroa #1488, Noroeste, D10
-17.390173,-66.163766, Calle Galindo #1489, Sudeste, D10
-17.396059,-66.163821, Calle 14 de Septiembre #1490, Noreste, D10
-17.402505,-66.166302, Calle Altamirano #1491, Noroeste, D10
-17.389566,-66.150733, Calle Gualberto Villarroel #1492, Sudeste, D10
-17.402873,-66.160994, Calle Avaroa #1493, Noreste, D10
-17.384634,-66.160249, Calle Galindo #1494, Noroeste, D10
-17.405295,-66.169277, Calle 14 de Septiembre #1495, Sudeste, D10
-17.395892,-66.151413, Calle Altamirano #1496, Noreste, D10
-17.393131,-66.161201, Calle Gualberto Villarroel #1497, Noroeste, D10
-17.406074,-66.163937, Calle Avaroa #1498, Sudeste, D10
-17.382204,-66.156953, Calle Galindo #1499, Noreste, D10
-17.391116,-66.155372, Calle 14 de Septiembre #1500, Noroeste, D10
-17.383292,-66.156609, Calle Altamirano #1501, Sudeste, D10
-17.406142,-66.169030, Calle Gualberto Villarroel #1502, Noreste, D10
-17.400567,-66.165685, Calle Avaroa #1503, Noroeste, D10
-17.387453,-66.157553, Calle Galindo #1504, Sudeste, D10
-17.407825,-66.168777, Calle 14 de Septiembre #1505, Noreste, D10
-17.384812,-66.156296, Calle Altamirano #1506, Noroeste, D10
-17.392956,-66.159736, Calle Gualberto Villarroel #1507, Sudeste, D10
-17.410807,-66.160253, Calle Avaroa #1508, Noreste, D10
-17.402089,-66.163689, Calle Galindo #1509, Noroeste, D10
-17.383448,-66.153048, Calle 14 de Septiembre #1510, Sudeste, D10
-17.403740,-66.155952, Calle Altamirano #1511, Noreste, D10
-17.396186,-66.151330, Calle Gualberto Villarroel #1512, Noroeste, D10
-17.397332,-66.151191, Calle Avaroa #1513, Sudeste, D10
-17.391480,-66.158733, Calle Galindo #1514, Noreste, D10
-17.382397,-66.152187, Calle 14 de Septiembre #1515, Noroeste, D10
-17.395396,-66.162415, Calle Altamirano #1516, Sudeste, D10
-17.389262,-66.155740, Calle Gualberto Villarroel #1517, Noreste, D10
-17.391922,-66.150766, Calle Avaroa #1518, Noroeste, D10
-17.391055,-66.157494, Calle Galindo #1519, Sudeste, D10
-17.386658,-66.151423, Calle 14 de Septiembre #1520, Noreste, D10
-17.394693,-66.158564, Calle Altamirano #1521, Noroeste, D10
-17.390628,-66.151046, Calle Gualberto Villarroel #1522, Sudeste, D10
-17.392272,-66.164958, Calle Avaroa #1523, Noreste, D10
-17.385388,-66.160727, Calle Galindo #1524, Noroeste, D10
-17.404872,-66.160268, Calle 14 de Septiembre #1525, Sudeste, D10
-17.404739,-66.155640, Calle Altamirano #1526, Noreste, D10
-17.402020,-66.163428, Calle Gualberto Villarroel #1527, Noroeste, D10
-17.401729,-66.156904, Calle Avaroa #1528, Sudeste, D10
-17.391458,-66.150871, Calle Galindo #1529, Noreste, D10
-17.383942,-66.155184, Calle 14 de Septiembre #1530, Noroeste, D10
-17.398039,-66.152744, Calle Altamirano #1531, Sudeste, D10
-17.399843,-66.155938, Calle Gualberto Villarroel #1532, Noreste, D10
-17.396029,-66.161254, Calle Avaroa #1533, Noroeste, D10
-17.393322,-66.164734, Calle Galindo #1534, Sudeste, D10
-17.404589,-66.162117, Calle 14 de Septiembre #1535, Noreste, D10
-17.391324,-66.153358, Calle Altamirano #1536, Noroeste, D10
-17.387772,-66.158281, Calle Gualberto Villarroel #1537, Sudeste, D10
-17.396446,-66.165350, Calle Avaroa #1538, Noreste, D10
-17.394482,-66.153306, Calle Galindo #1539, Noroeste, D10
-17.408056,-66.164861, Calle 14 de Septiembre #1540, Sudeste, D10
-17.407572,-66.155918, Calle Altamirano #1541, Noreste, D10
-17.399261,-66.151494, Calle Gualberto Villarroel #1542, Noroeste, D10
-17.403011,-66.161894, Calle Avaroa #1543, Sudeste, D10
-17.391292,-66.153659, Calle Galindo #1544, Noreste, D10
-17.389190,-66.156537, Calle 14 de Septiembre #1545, Noroeste, D10
-17.395789,-66.152872, Calle Altamirano #1546, Sudeste, D10
-17.389877,-66.161418, Calle Gualberto Villarroel #1547, Noreste, D10
-17.406518,-66.167191, Calle Avaroa #1548, Noroeste, D10
-17.399448,-66.161152, Calle Galindo #1549, Sudeste, D10
-17.383475,-66.155293, Calle 14 de Septiembre #1550, Noreste, D10
-17.403157,-66.152160, Calle Altamirano #1551, Noroeste, D10
-17.406118,-66.159423, Calle Gualberto Villarroel #1552, Sudeste, D10
-17.387313,-66.161992, Calle Avaroa #1553, Noreste, D10
-17.388556,-66.154642, Calle Galindo #1554, Noroeste, D10
-17.398244,-66.153512, Calle 14 de Septiembre #1555, Sudeste, D10
-17.382549,-66.154520, Calle Altamirano #1556, Noreste, D10
-17.404620,-66.159434, Calle Gualberto Villarroel #1557, Noroeste, D10
-17.396475,-66.158345, Calle Avaroa #1558, Sudeste, D10
-17.397054,-66.165469, Calle Galindo #1559, Noreste, D10
-17.389153,-66.150682, Calle 14 de Septiembre #1560, Noroeste, D10
-17.385895,-66.160293, Calle Altamirano #1561, Sudeste, D10
-17.405928,-66.164966, Calle Gualberto Villarroel #1562, Noreste, D10
-17.406048,-66.167565, Calle Avaroa #1563, Noroeste, D10
-17.410125,-66.164322, Calle Galindo #1564, Sudeste, D10
-17.394985,-66.155340, Calle 14 de Septiembre #1565, Noreste, D10
-17.398230,-66.162421, Calle Altamirano #1566, Noroeste, D10
-17.398109,-66.148634, Calle Gualberto Villarroel #1567, Sudeste, D10
-17.391593,-66.154583, Calle Avaroa #1568, Noreste, D10
-17.388942,-66.154327, Calle Galindo #1569, Noroeste, D10
-17.401876,-66.160737, Calle 14 de Septiembre #1570, Sudeste, D10
-17.407812,-66.162249, Calle Altamirano #1571, Noreste, D10
-17.385184,-66.154066, Calle Gualberto Villarroel #1572, Noroeste, D10
-17.402539,-66.153437, Calle Avaroa #1573, Sudeste, D10
-17.388734,-66.151467, Calle Galindo #1574, Noreste, D10
-17.406012,-66.162509, Calle 14 de Septiembre #1575, Noroeste, D10
-17.387757,-66.159564, Calle Altamirano #1576, Sudeste, D10
-17.388731,-66.163019, Calle Gualberto Villarroel #1577, Noreste, D10
-17.403936,-66.154424, Calle Avaroa #1578, Noroeste, D10
-17.399614,-66.153808, Calle Galindo #1579, Sudeste, D10
-17.398318,-66.149355, Calle 14 de Septiembre #1580, Noreste, D10
-17.384383,-66.158935, Calle Altamirano #1581, Noroeste, D10
-17.396076,-66.164617, Calle Gualberto Villarroel #1582, Sudeste, D10
-17.390867,-66.151149, Calle Avaroa #1583, Noreste, D10
-17.388606,-66.160368, Calle Galindo #1584, Noroeste, D10
-17.385604,-66.159957, Calle 14 de Septiembre #1585, Sudeste, D10
-17.391214,-66.152435, Calle Altamirano #1586, Noreste, D10
-17.404043,-66.152030, Calle Gualberto Villarroel #1587, Noroeste, D10
-17.394231,-66.165317, Calle Avaroa #1588, Sudeste, D10
-17.382691,-66.158297, Calle Galindo #1589, Noreste, D10
-17.388334,-66.152753, Calle 14 de Septiembre #1590, Noroeste, D10
-17.383645,-66.157300, Calle Altamirano #1591, Sudeste, D10
-17.393941,-66.156041, Calle Gualberto Villarroel #1592, Noreste, D10
-17.407369,-66.162624, Calle Avaroa #1593, Noroeste, D10
-17.403879,-66.162708, Calle Galindo #1594, Sudeste, D10
-17.395344,-66.155032, Calle 14 de Septiembre #1595, Noreste, D10
-17.409380,-66.164900, Calle Altamirano #1596, Noroeste, D10
-17.382822,-66.154620, Calle Gualberto Villarroel #1597, Sudeste, D10
-17.410528,-66.160001, Calle Avaroa #1598, Noreste, D10
-17.410000,-66.161453, Calle Galindo #1599, Noroeste, D10
-17.397182,-66.156269, Calle 14 de Septiembre #1600, Sudeste, D10
-17.405644,-66.169303, Calle Altamirano #1601, Noreste, D10
-17.401083,-66.155517, Calle Gualberto Villarroel #1602, Noroeste, D10
-17.391681,-66.158561, Calle Avaroa #1603, Sudeste, D10
-17.384661,-66.152823, Calle Galindo #1604, Noreste, D10
-17.391549,-66.153246, Calle 14 de Septiembre #1605, Noroeste, D10
-17.389900,-66.159535, Calle Altamirano #1606, Sudeste, D10
-17.408933,-66.157375, Calle Gualberto Villarroel #1607, Noreste, D10
-17.404705,-66.163908, Calle Avaroa #1608, Noroeste, D10
-17.407186,-66.163956, Calle Galindo #1609, Sudeste, D10
-17.394689,-66.154918, Calle 14 de Septiembre #1610, Noreste, D10
-17.381211,-66.153879, Calle Altamirano #1611, Noroeste, D10
-17.395427,-66.158806, Calle Gualberto Villarroel #1612, Sudeste, D10
-17.406141,-66.162398, Calle Avaroa #1613, Noreste, D10
-17.381700,-66.152504, Calle Galindo #1614, Noroeste, D10
-17.395368,-66.164618, Calle 14 de Septiembre #1615, Sudeste, D10
-17.401738,-66.155576, Calle Altamirano #1616, Noreste, D10
-17.405901,-66.166881, Calle Gualberto Villarroel #1617, Noroeste, D10
-17.383394,-66.157283, Calle Avaroa #1618, Sudeste, D10
-17.403312,-66.154042, Calle Galindo #1619, Noreste, D10
-17.393962,-66.153134, Calle 14 de Septiembre #1620, Noroeste, D10
-17.399886,-66.160169, Calle Altamirano #1621, Sudeste, D10
-17.407641,-66.155728, Calle Gualberto Villarroel #1622, Noreste, D10
-17.402771,-66.160951, Calle Avaroa #1623, Noroeste, D10
-17.394894,-66.154392, Calle Galindo #1624, Sudeste, D10
-17.391208,-66.151961, Calle 14 de Septiembre #1625, Noreste, D10
-17.401825,-66.160599, Calle Altamirano #1626, Noroeste, D10
-17.396224,-66.156482, Calle Gualberto Villarroel #1627, Sudeste, D10
-17.391449,-66.150302, Calle Avaroa #1628, Noreste, D10
-17.395110,-66.164956, Calle Galindo #1629, Noroeste, D10
-17.393952,-66.154577, Calle 14 de Septiembre #1630, Sudeste, D10
-17.393241,-66.158224, Calle Altamirano #1631, Noreste, D10
-17.390614,-66.151883, Calle Gualberto Villarroel #1632, Noroeste, D10
-17.388662,-66.152450, Calle Avaroa #1633, Sudeste, D10
-17.399514,-66.157036, Calle Galindo #1634, Noreste, D10
-17.394166,-66.158409, Calle 14 de Septiembre #1635, Noroeste, D10
-17.388183,-66.153845, Calle Altamirano #1636, Sudeste, D10
-17.390276,-66.158549, Calle Gualberto Villarroel #1637, Noreste, D10
-17.407586,-66.157942, Calle Avaroa #1638, Noroeste, D10
-17.399346,-66.165984, Calle Galindo #1639, Sudeste, D10
-17.388415,-66.158948, Calle 14 de Septiembre #1640, Noreste, D10
-17.405924,-66.165802, Calle Altamirano #1641, Noroeste, D10
-17.398058,-66.156038, Calle Gualberto Villarroel #1642, Sudeste, D10
-17.408596,-66.161074, Calle Avaroa #1643, Noreste, D10
-17.390789,-66.163383, Calle Galindo #1644, Noroeste, D10
-17.392814,-66.159198, Calle 14 de Septiembre #1645, Sudeste, D10
-17.394288,-66.164883, Calle Altamirano #1646, Noreste, D10
-17.395190,-66.155011, Calle Gualberto Villarroel #1647, Noroeste, D10
-17.410148,-66.158974, Calle Avaroa #1648, Sudeste, D10
-17.387661,-66.161781, Calle Galindo #1649, Noreste, D10
-17.411452,-66.156758, Calle 14 de Septiembre #1650, Noroeste, D10
-17.385443,-66.159891, Calle Altamirano #1651, Sudeste, D10
-17.403431,-66.164306, Calle Gualberto Villarroel #1652, Noreste, D10
-17.406008,-66.166566, Calle Avaroa #1653, Noroeste, D10
-17.396971,-66.166116, Calle Galindo #1654, Sudeste, D10
-17.380836,-66.153313, Calle 14 de Septiembre #1655, Noreste, D10
-17.390756,-66.154529, Calle Altamirano #1656, Noroeste, D10
-17.386271,-66.162052, Calle Gualberto Villarroel #1657, Sudeste, D10
-17.384979,-66.156048, Calle Avaroa #1658, Noreste, D10
-17.404748,-66.158117, Calle Galindo #1659, Noroeste, D10
-17.390896,-66.157241, Calle 14 de Septiembre #1660, Sudeste, D10
-17.382088,-66.154919, Calle Altamirano #1661, Noreste, D10
-17.398498,-66.148711, Calle Gualberto Villarroel #1662, Noroeste, D10
-17.381837,-66.154169, Calle Avaroa #1663, Sudeste, D10
-17.404919,-66.156809, Calle Galindo #1664, Noreste, D10
-17.404912,-66.160047, Calle 14 de Septiembre #1665, Noroeste, D10
-17.409942,-66.158653, Calle Altamirano #1666, Sudeste, D10
-17.395511,-66.164903, Calle Gualberto Villarroel #1667, Noreste, D10
-17.408208,-66.164728, Calle Avaroa #1668, Noroeste, D10
-17.398364,-66.161268, Calle Galindo #1669, Sudeste, D10
-17.392792,-66.154317, Calle 14 de Septiembre #1670, Noreste, D10
-17.399005,-66.165028, Calle Altamirano #1671, Noroeste, D10
-17.408497,-66.161440, Calle Gualberto Villarroel #1672, Sudeste, D10
-17.406562,-66.156910, Calle Avaroa #1673, Noreste, D10
-17.389396,-66.155230, Calle Galindo #1674, Noroeste, D10
-17.402429,-66.161473, Calle 14 de Septiembre #1675, Sudeste, D10
-17.396989,-66.156052, Calle Altamirano #1676, Noreste, D10
-17.381529,-66.153728, Calle Gualberto Villarroel #1677, Noroeste, D10
-17.390049,-66.151015, Calle Avaroa #1678, Sudeste, D10
-17.390984,-66.153920, Calle Galindo #1679, Noreste, D10
-17.400413,-66.159849, Calle 14 de Septiembre #1680, Noroeste, D10
-17.407205,-66.165144, Calle Altamirano #1681, Sudeste, D10
-17.391679,-66.160308, Calle Gualberto Villarroel #1682, Noreste, D10
-17.406331,-66.163869, Calle Avaroa #1683, Noroeste, D10
-17.393347,-66.149987, Calle Galindo #1684, Sudeste, D10
-17.381891,-66.153792, Calle 14 de Septiembre #1685, Noreste, D10
-17.401451,-66.163860, Calle Altamirano #1686, Noroeste, D10
-17.409890,-66.158245, Calle Gualberto Villarroel #1687, Sudeste, D10
-17.381464,-66.153130, Calle Avaroa #1688, Noreste, D10
-17.393271,-66.163833, Calle Galindo #1689, Noroeste, D10
-17.394646,-66.151331, Calle 14 de Septiembre #1690, Sudeste, D10
-17.388010,-66.162870, Calle Altamirano #1691, Noreste, D10
-17.398250,-66.158813, Calle Gualberto Villarroel #1692, Noroeste, D10
-17.394613,-66.154954, Calle Avaroa #1693, Sudeste, D10
-17.396773,-66.157791, Calle Galindo #1694, Noreste, D10
-17.400035,-66.160549, Calle 14 de Septiembre #1695, Noroeste, D10
-17.392856,-66.164664, Calle Altamirano #1696, Sudeste, D10
-17.396895,-66.155644, Calle Gualberto Villarroel #1697, Noreste, D10
-17.407897,-66.162444, Calle Avaroa #1698, Noroeste, D10
-17.380747,-66.152376, Calle Galindo #1699, Sudeste, D10
-17.397111,-66.159605, Calle 14 de Septiembre #1700, Noreste, D10
-17.400953,-66.160255, Calle Altamirano #1701, Noroeste, D10
-17.404868,-66.156585, Calle Gualberto Villarroel #1702, Sudeste, D10
-17.399626,-66.167199, Calle Avaroa #1703, Noreste, D10
-17.393777,-66.154108, Calle Galindo #1704, Noroeste, D10
-17.399512,-66.155066, Calle 14 de Septiembre #1705, Sudeste, D10
-17.397667,-66.159121, Calle Altamirano #1706, Noreste, D10
-17.404191,-66.158468, Calle Gualberto Villarroel #1707, Noroeste, D10
-17.395421,-66.163463, Calle Avaroa #1708, Sudeste, D10
-17.387135,-66.160258, Calle Galindo #1709, Noreste, D10
-17.410199,-66.157674, Calle 14 de Septiembre #1710, Noroeste, D10
-17.380598,-66.154056, Calle Altamirano #1711, Sudeste, D10
-17.400940,-66.166929, Calle Gualberto Villarroel #1712, Noreste, D10
-17.403318,-66.157831, Calle Avaroa #1713, Noroeste, D10
-17.385690,-66.156499, Calle Galindo #1714, Sudeste, D10
-17.393036,-66.150403, Calle 14 de Septiembre #1715, Noreste, D10
-17.395275,-66.158635, Calle Altamirano #1716, Noroeste, D10
-17.405022,-66.166925, Calle Gualberto Villarroel #1717, Sudeste, D10
-17.399400,-66.153667, Calle Avaroa #1718, Noreste, D10
-17.398950,-66.158444, Calle Galindo #1719, Noroeste, D10
-17.396859,-66.156010, Calle 14 de Septiembre #1720, Sudeste, D10
-17.391505,-66.153945, Calle Altamirano #1721, Noreste, D10
-17.382418,-66.156929, Calle Gualberto Villarroel #1722, Noroeste, D10
-17.399672,-66.167118, Calle Avaroa #1723, Sudeste, D10
-17.394559,-66.149706, Calle Galindo #1724, Noreste, D10
-17.393612,-66.152631, Calle 14 de Septiembre #1725, Noroeste, D10
-17.395100,-66.160931, Calle Altamirano #1726, Sudeste, D10
-17.409767,-66.162841, Calle Gualberto Villarroel #1727, Noreste, D10
-17.382113,-66.157841, Calle Avaroa #1728, Noroeste, D10
-17.382827,-66.157646, Calle Galindo #1729, Sudeste, D10
-17.384375,-66.161223, Calle 14 de Septiembre #1730, Noreste, D10
-17.404325,-66.167835, Calle Altamirano #1731, Noroeste, D10
-17.393708,-66.151869, Calle Gualberto Villarroel #1732, Sudeste, D10
-17.391173,-66.154361, Calle Avaroa #1733, Noreste, D10
-17.403552,-66.154584, Calle Galindo #1734, Noroeste, D10
-17.400646,-66.160856, Calle 14 de Septiembre #1735, Sudeste, D10
-17.402905,-66.161460, Calle Altamirano #1736, Noreste, D10
-17.390492,-66.155134, Calle Gualberto Villarroel #1737, Noroeste, D10
-17.404432,-66.161623, Calle Avaroa #1738, Sudeste, D10
-17.405852,-66.166396, Calle Galindo #1739, Noreste, D10
-17.397908,-66.163386, Calle 14 de Septiembre #1740, Noroeste, D10
-17.384479,-66.156092, Calle Altamirano #1741, Sudeste, D10
-17.404699,-66.164369, Calle Gualberto Villarroel #1742, Noreste, D10
-17.387705,-66.156111, Calle Avaroa #1743, Noroeste, D10
-17.404275,-66.156756, Calle Galindo #1744, Sudeste, D10
-17.407965,-66.161658, Calle 14 de Septiembre #1745, Noreste, D10
-17.405354,-66.166149, Calle Altamirano #1746, Noroeste, D10
-17.407149,-66.158530, Calle Gualberto Villarroel #1747, Sudeste, D10
-17.399023,-66.165295, Calle Avaroa #1748, Noreste, D10
-17.398575,-66.151613, Calle Galindo #1749, Noroeste, D10
-17.404180,-66.157382, Calle 14 de Septiembre #1750, Sudeste, D10
-17.386196,-66.153010, Calle Altamirano #1751, Noreste, D10
-17.389391,-66.160390, Calle Gualberto Villarroel #1752, Noroeste, D10
-17.403281,-66.153631, Calle Avaroa #1753, Sudeste, D10
-17.402862,-66.160724, Calle Galindo #1754, Noreste, D10
-17.404108,-66.155451, Calle 14 de Septiembre #1755, Noroeste, D10
-17.394930,-66.150867, Calle Altamirano #1756, Sudeste, D10
-17.398436,-66.163195, Calle Gualberto Villarroel #1757, Noreste, D10
-17.382138,-66.154329, Calle Avaroa #1758, Noroeste, D10
-17.395006,-66.160862, Calle Galindo #1759, Sudeste, D10
-17.390907,-66.155563, Calle 14 de Septiembre #1760, Noreste, D10
-17.392910,-66.162614, Calle Altamirano #1761, Noroeste, D10
-17.382195,-66.155803, Calle Gualberto Villarroel #1762, Sudeste, D10
-17.402883,-66.163578, Calle Avaroa #1763, Noreste, D10
-17.399731,-66.161957, Calle Galindo #1764, Noroeste, D10
-17.384051,-66.156805, Calle 14 de Septiembre #1765, Sudeste, D10
-17.390388,-66.155960, Calle Altamirano #1766, Noreste, D10
-17.400087,-66.154757, Calle Gualberto Villarroel #1767, Noroeste, D10
-17.386445,-66.152284, Calle Avaroa #1768, Sudeste, D10
-17.381195,-66.155593, Calle Galindo #1769, Noreste, D10
-17.390574,-66.158594, Calle 14 de Septiembre #1770, Noroeste, D10
-17.389931,-66.162194, Calle Altamirano #1771, Sudeste, D10
-17.404707,-66.155592, Calle Gualberto Villarroel #1772, Noreste, D10
-17.409722,-66.161977, Calle Avaroa #1773, Noroeste, D10
-17.386624,-66.160123, Calle Galindo #1774, Sudeste, D10
-17.387590,-66.152671, Calle 14 de Septiembre #1775, Noreste, D10
-17.407386,-66.167345, Calle Altamirano #1776, Noroeste, D10
-17.396298,-66.163406, Calle Gualberto Villarroel #1777, Sudeste, D10
-17.406614,-66.165528, Calle Avaroa #1778, Noreste, D10
-17.395449,-66.162700, Calle Galindo #1779, Noroeste, D10
-17.398735,-66.151187, Calle 14 de Septiembre #1780, Sudeste, D10
-17.390530,-66.150845, Calle Altamirano #1781, Noreste, D10
-17.394765,-66.165213, Calle Gualberto Villarroel #1782, Noroeste, D10
-17.411084,-66.156621, Calle Avaroa #1783, Sudeste, D10
-17.401012,-66.157170, Calle Galindo #1784, Noreste, D10
-17.409118,-66.166224, Calle 14 de Septiembre #1785, Noroeste, D10
-17.384131,-66.155349, Calle Altamirano #1786, Sudeste, D10
-17.403936,-66.155360, Calle Gualberto Villarroel #1787, Noreste, D10
-17.408008,-66.161401, Calle Avaroa #1788, Noroeste, D10
-17.403985,-66.156522, Calle Galindo #1789, Sudeste, D10
-17.391219,-66.150823, Calle 14 de Septiembre #1790, Noreste, D10
-17.404568,-66.156990, Calle Altamirano #1791, Noroeste, D10
-17.387205,-66.160922, Calle Gualberto Villarroel #1792, Sudeste, D10
-17.408536,-66.157741, Calle Avaroa #1793, Noreste, D10
-17.394913,-66.164213, Calle Galindo #1794, Noroeste, D10
-17.390558,-66.161514, Calle 14 de Septiembre #1795, Sudeste, D10
-17.409572,-66.160411, Calle Altamirano #1796, Noreste, D10
-17.392348,-66.156587, Calle Gualberto Villarroel #1797, Noroeste, D10
-17.390568,-66.151669, Calle Avaroa #1798, Sudeste, D10
-17.400336,-66.157277, Calle Galindo #1799, Noreste, D10
-17.405682,-66.159955, Calle 14 de Septiembre #1800, Noroeste, D10
-17.380552,-66.152746, Calle Altamirano #1801, Sudeste, D10
-17.398497,-66.163882, Calle Gualberto Villarroel #1802, Noreste, D10
-17.389110,-66.152063, Calle Avaroa #1803, Noroeste, D10
-17.402389,-66.164407, Calle Galindo #1804, Sudeste, D10
-17.405287,-66.155176, Calle 14 de Septiembre #1805, Noreste, D10
-17.398834,-66.154438, Calle Altamirano #1806, Noroeste, D10
-17.385244,-66.155242, Calle Gualberto Villarroel #1807, Sudeste, D10
-17.405850,-66.159334, Calle Avaroa #1808, Noreste, D10
-17.381280,-66.156548, Calle Galindo #1809, Noroeste, D10
-17.408039,-66.155428, Calle 14 de Septiembre #1810, Sudeste, D10
-17.396617,-66.166273, Calle Altamirano #1811, Noreste, D10
-17.382412,-66.156263, Calle Gualberto Villarroel #1812, Noroeste, D10
-17.406024,-66.165143, Calle Avaroa #1813, Sudeste, D10
-17.394737,-66.149992, Calle Galindo #1814, Noreste, D10
-17.403497,-66.166756, Calle 14 de Septiembre #1815, Noroeste, D10
-17.397816,-66.159455, Calle Altamirano #1816, Sudeste, D10
-17.388758,-66.151950, Calle Gualberto Villarroel #1817, Noreste, D10
-17.399453,-66.165544, Calle Avaroa #1818, Noroeste, D10
-17.397244,-66.158938, Calle Galindo #1819, Sudeste, D10
-17.393037,-66.158218, Calle 14 de Septiembre #1820, Noreste, D10
-17.394236,-66.161670, Calle Altamirano #1821, Noroeste, D10
-17.386569,-66.151390, Calle Gualberto Villarroel #1822, Sudeste, D10
-17.400854,-66.152421, Calle Avaroa #1823, Noreste, D10
-17.394101,-66.151960, Calle Galindo #1824, Noroeste, D10
-17.401803,-66.161470, Calle 14 de Septiembre #1825, Sudeste, D10
-17.406373,-66.167537, Calle Altamirano #1826, Noreste, D10
-17.401399,-66.155504, Calle Gualberto Villarroel #1827, Noroeste, D10
-17.385890,-66.159939, Calle Avaroa #1828, Sudeste, D10
-17.400008,-66.162125, Calle Galindo #1829, Noreste, D10
-17.400123,-66.159446, Calle 14 de Septiembre #1830, Noroeste, D10
-17.406441,-66.155657, Calle Altamirano #1831, Sudeste, D10
-17.400734,-66.152375, Calle Gualberto Villarroel #1832, Noreste, D10
-17.401388,-66.165849, Calle Avaroa #1833, Noroeste, D10
-17.384986,-66.154623, Calle Galindo #1834, Sudeste, D10
-17.408447,-66.165204, Calle 14 de Septiembre #1835, Noreste, D10
-17.400038,-66.162566, Calle Altamirano #1836, Noroeste, D10
-17.397655,-66.158388, Calle Gualberto Villarroel #1837, Sudeste, D10
-17.392442,-66.158067, Calle Avaroa #1838, Noreste, D10
-17.385869,-66.153145, Calle Galindo #1839, Noroeste, D10
-17.391034,-66.158679, Calle 14 de Septiembre #1840, Sudeste, D10
-17.395817,-66.160809, Calle Altamirano #1841, Noreste, D10
-17.403522,-66.164644, Calle Gualberto Villarroel #1842, Noroeste, D10
-17.405421,-66.166351, Calle Avaroa #1843, Sudeste, D10
-17.392324,-66.153061, Calle Galindo #1844, Noreste, D10
-17.404461,-66.167895, Calle 14 de Septiembre #1845, Noroeste, D10
-17.401742,-66.157283, Calle Altamirano #1846, Sudeste, D10
-17.397690,-66.157701, Calle Gualberto Villarroel #1847, Noreste, D10
-17.404151,-66.167708, Calle Avaroa #1848, Noroeste, D10
-17.388465,-66.158463, Calle Galindo #1849, Sudeste, D10
-17.386643,-66.162435, Calle 14 de Septiembre #1850, Noreste, D10
-17.398387,-66.152214, Calle Altamirano #1851, Noroeste, D10
-17.397738,-66.148848, Calle Gualberto Villarroel #1852, Sudeste, D10
-17.390579,-66.153632, Calle Avaroa #1853, Noreste, D10
-17.394637,-66.153748, Calle Galindo #1854, Noroeste, D10
-17.409096,-66.165487, Calle 14 de Septiembre #1855, Sudeste, D10
-17.398801,-66.154991, Calle Altamirano #1856, Noreste, D10
-17.405667,-66.155313, Calle Gualberto Villarroel #1857, Noroeste, D10
-17.409692,-66.155287, Calle Avaroa #1858, Sudeste, D10
-17.389371,-66.150973, Calle Galindo #1859, Noreste, D10
-17.395561,-66.159206, Calle 14 de Septiembre #1860, Noroeste, D10
-17.398462,-66.150683, Calle Altamirano #1861, Sudeste, D10
-17.385393,-66.152252, Calle Gualberto Villarroel #1862, Noreste, D10
-17.404903,-66.156303, Calle Avaroa #1863, Noroeste, D10
-17.392757,-66.162175, Calle Galindo #1864, Sudeste, D10
-17.393979,-66.160731, Calle 14 de Septiembre #1865, Noreste, D10
-17.410200,-66.160488, Calle Altamirano #1866, Noroeste, D10
-17.400347,-66.156943, Calle Gualberto Villarroel #1867, Sudeste, D10
-17.407493,-66.157087, Calle Avaroa #1868, Noreste, D10
-17.382266,-66.159931, Calle Galindo #1869, Noroeste, D10
-17.398566,-66.153912, Calle 14 de Septiembre #1870, Sudeste, D10
-17.393062,-66.150177, Calle Altamirano #1871, Noreste, D10
-17.386835,-66.158433, Calle Gualberto Villarroel #1872, Noroeste, D10
