-17.378292,-66.142300, Calle Saturnino #100, Muyurina, D11
-17.388663,-66.137642, Calle Arce #921, Alalay, D11
-17.395019,-66.134258, Calle Roma #922, Muyurina, D11
-17.391646,-66.139410, Calle Ork’o #923, Las Cuadras, D11
-17.378259,-66.144597, Calle Cochabamba #924, Alalay, D11
-17.393995,-66.148503, Calle Saturnino #925, Muyurina, D11
-17.380372,-66.146890, Calle Arce #926, Las Cuadras, D11
-17.387163,-66.143064, Calle Roma #927, Alalay, D11
-17.382974,-66.144152, Calle Ork’o #928, Muyurina, D11
-17.387395,-66.142272, Calle Cochabamba #929, Las Cuadras, D11
-17.388555,-66.137460, Calle Saturnino #930, Alalay, D11
-17.377224,-66.132312, Calle Arce #931, Muyurina, D11
-17.382316,-66.139128, Calle Roma #932, Las Cuadras, D11
-17.397852,-66.146065, Calle Ork’o #933, Alalay, D11
-17.388086,-66.137395, Calle Cochabamba #934, Muyurina, D11
-17.379557,-66.134763, Calle Saturnino #935, Las Cuadras, D11
-17.377520,-66.135757, Calle Arce #936, Alalay, D11
-17.386679,-66.140173, Calle Roma #937, Muyurina, D11
-17.390679,-66.135881, Calle Ork’o #938, Las Cuadras, D11
-17.392751,-66.139620, Calle Cochabamba #939, Alalay, D11
-17.391914,-66.136578, Calle Saturnino #940, Muyurina, D11
-17.391720,-66.137138, Calle Arce #941, Las Cuadras, D11
-17.385805,-66.139686, Calle Roma #942, Alalay, D11
-17.388133,-66.137273, Calle Ork’o #943, Muyurina, D11
-17.378806,-66.147547, Calle Cochabamba #944, Las Cuadras, D11
-17.382111,-66.151233, Calle Saturnino #945, Alalay, D11
-17.392147,-66.134916, Calle Arce #946, Muyurina, D11
-17.378398,-66.145946, Calle Roma #947, Las Cuadras, D11
-17.384311,-66.150586, Calle Ork’o #948, Alalay, D11
-17.392056,-66.137596, Calle Cochabamba #949, Muyurina, D11
-17.378423,-66.133656, Calle Saturnino #950, Las Cuadras, D11
-17.394195,-66.146944, Calle Arce #951, Alalay, D11
-17.381021,-66.148004, Calle Roma #952, Muyurina, D11
-17.396901,-66.133442, Calle Ork’o #953, Las Cuadras, D11
-17.393826,-66.132300, Calle Cochabamba #954, Alalay, D11
-17.378280,-66.140871, Calle Saturnino #955, Muyurina, D11
-17.377113,-66.135263, Calle Arce #956, Las Cuadras, D11
-17.379167,-66.137161, Calle Roma #957, Alalay, D11
-17.386658,-66.148721, Calle Ork’o #958, Muyurina, D11
-17.390348,-66.137019, Calle Cochabamba #959, Las Cuadras, D11
-17.386876,-66.143145, Calle Saturnino #960, Alalay, D11
-17.393688,-66.139436, Calle Arce #961, Muyurina, D11
-17.389778,-66.137272, Calle Roma #962, Las Cuadras, D11
-17.395079,-66.133423, Calle Ork’o #963, Alalay, D11
-17.387422,-66.138608, Calle Cochabamba #964, Muyurina, D11
-17.393998,-66.134826, Calle Saturnino #965, Las Cuadras, D11
-17.382824,-66.145128, Calle Arce #966, Alalay, D11
-17.398194,-66.143467, Calle Roma #967, Muyurina, D11
-17.394944,-66.140611, Calle Ork’o #968, Las Cuadras, D11
-17.388606,-66.142173, Calle Cochabamba #969, Alalay, D11
-17.391891,-66.137073, Calle Saturnino #970, Muyurina, D11
-17.389860,-66.133762, Calle Arce #971, Las Cuadras, D11
-17.390097,-66.136801, Calle Roma #972, Alalay, D11
-17.390761,-66.147741, Calle Ork’o #973, Muyurina, D11
-17.388311,-66.139722, Calle Cochabamba #974, Las Cuadras, D11
-17.379972,-66.143363, Calle Saturnino #975, Alalay, D11
-17.392525,-66.142229, Calle Arce #976, Muyurina, D11
-17.383389,-66.150064, Calle Roma #977, Las Cuadras, D11
-17.387454,-66.144413, Calle Ork’o #978, Alalay, D11
-17.382894,-66.149490, Calle Cochabamba #979, Muyurina, D11
-17.386180,-66.143745, Calle Saturnino #980, Las Cuadras, D11
-17.380162,-66.131494, Calle Arce #981, Alalay, D11
-17.393230,-66.134206, Calle Roma #982, Muyurina, D11
-17.391709,-66.141281, Calle Ork’o #983, Las Cuadras, D11
-17.396492,-66.137327, Calle Cochabamba #984, Alalay, D11
-17.387949,-66.136778, Calle Saturnino #985, Muyurina, D11
-17.389915,-66.136431, Calle Arce #986, Las Cuadras, D11
-17.385943,-66.145153, Calle Roma #987, Alalay, D11
-17.383575,-66.150005, Calle Ork’o #988, Muyurina, D11
-17.390976,-66.138619, Calle Cochabamba #989, Las Cuadras, D11
-17.378741,-66.147345, Calle Saturnino #990, Alalay, D11
-17.381276,-66.141131, Calle Arce #991, Muyurina, D11
-17.379378,-66.141291, Calle Roma #992, Las Cuadras, D11
-17.391330,-66.136233, Calle Ork’o #993, Alalay, D11
-17.380767,-66.136893, Calle Cochabamba #994, Muyurina, D11
-17.383579,-66.139429, Calle Saturnino #995, Las Cuadras, D11
-17.397340,-66.146583, Calle Arce #996, Alalay, D11
-17.393875,-66.139378, Calle Roma #997, Muyurina, D11
-17.377378,-66.140719, Calle Ork’o #998, Las Cuadras, D11
-17.380884,-66.145815, Calle Cochabamba #999, Alalay, D11
-17.380293,-66.143782, Calle Saturnino #1000, Muyurina, D11
-17.396106,-66.138443, Calle Arce #1001, Las Cuadras, D11
-17.381223,-66.142915, Calle Roma #1002, Alalay, D11
-17.385409,-66.143095, Calle Ork’o #1003, Muyurina, D11
-17.392279,-66.143379, Calle Cochabamba #1004, Las Cuadras, D11
-17.390267,-66.142877, Calle Saturnino #1005, Alalay, D11
-17.382377,-66.141098, Calle Arce #1006, Muyurina, D11
-17.388957,-66.140122, Calle Roma #1007, Las Cuadras, D11
-17.376990,-66.134093, Calle Ork’o #1008, Alalay, D11
-17.380467,-66.151602, Calle Cochabamba #1009, Muyurina, D11
-17.380500,-66.144297, Calle Saturnino #1010, Las Cuadras, D11
-17.387651,-66.145473, Calle Arce #1011, Alalay, D11
-17.379667,-66.139822, Calle Roma #1012, Muyurina, D11
-17.376509,-66.137243, Calle Ork’o #1013, Las Cuadras, D11
-17.390523,-66.143162, Calle Cochabamba #1014, Alalay, D11
-17.387548,-66.138075, Calle Saturnino #1015, Muyurina, D11
-17.379102,-66.130688, Calle Arce #1016, Las Cuadras, D11
-17.381635,-66.149750, Calle Roma #1017, Alalay, D11
-17.388031,-66.147657, Calle Ork’o #1018, Muyurina, D11
-17.382275,-66.148429, Calle Cochabamba #1019, Las Cuadras, D11
-17.387399,-66.138134, Calle Saturnino #1020, Alalay, D11
-17.395020,-66.137105, Calle Arce #1021, Muyurina, D11
-17.380750,-66.131105, Calle Roma #1022, Las Cuadras, D11
-17.390408,-66.144537, Calle Ork’o #1023, Alalay, D11
-17.387970,-66.148585, Calle Cochabamba #1024, Muyurina, D11
-17.392500,-66.137536, Calle Saturnino #1025, Las Cuadras, D11
-17.397433,-66.140288, Calle Arce #1026, Alalay, D11
-17.387054,-66.144906, Calle Roma #1027, Muyurina, D11
-17.381855,-66.150995, Calle Ork’o #1028, Las Cuadras, D11
-17.385610,-66.146338, Calle Cochabamba #1029, Alalay, D11
-17.394451,-66.143037, Calle Saturnino #1030, Muyurina, D11
-17.394984,-66.142104, Calle Arce #1031, Las Cuadras, D11
-17.390838,-66.140703, Calle Roma #1032, Alalay, D11
-17.393921,-66.144718, Calle Ork’o #1033, Muyurina, D11
-17.392439,-66.139449, Calle Cochabamba #1034, Las Cuadras, D11
-17.397130,-66.143850, Calle Saturnino #1035, Alalay, D11
-17.392190,-66.134413, Calle Arce #1036, Muyurina, D11
-17.374578,-66.133473, Calle Roma #1037, Las Cuadras, D11
-17.391535,-66.138765, Calle Ork’o #1038, Alalay, D11
-17.391186,-66.144952, Calle Cochabamba #1039, Muyurina, D11
-17.375311,-66.132837, Calle Saturnino #1040, Las Cuadras, D11
-17.395079,-66.137246, Calle Arce #1041, Alalay, D11
-17.394715,-66.145243, Calle Roma #1042, Muyurina, D11
-17.382373,-66.149298, Calle Ork’o #1043, Las Cuadras, D11
-17.390838,-66.141289, Calle Cochabamba #1044, Alalay, D11
-17.390300,-66.147609, Calle Saturnino #1045, Muyurina, D11
-17.390115,-66.145074, Calle Arce #1046, Las Cuadras, D11
-17.395258,-66.141293, Calle Roma #1047, Alalay, D11
-17.379345,-66.134486, Calle Ork’o #1048, Muyurina, D11
-17.388623,-66.149503, Calle Cochabamba #1049, Las Cuadras, D11
-17.379909,-66.147436, Calle Saturnino #1050, Alalay, D11
-17.394017,-66.148423, Calle Arce #1051, Muyurina, D11
-17.394676,-66.144822, Calle Roma #1052, Las Cuadras, D11
-17.393346,-66.140257, Calle Ork’o #1053, Alalay, D11
-17.379654,-66.148744, Calle Cochabamba #1054, Muyurina, D11
-17.382112,-66.143104, Calle Saturnino #1055, Las Cuadras, D11
-17.392617,-66.136272, Calle Arce #1056, Alalay, D11
-17.392029,-66.149036, Calle Roma #1057, Muyurina, D11
-17.395491,-66.129824, Calle Ork’o #1058, Las Cuadras, D11
-17.394212,-66.134135, Calle Cochabamba #1059, Alalay, D11
-17.376455,-66.138529, Calle Saturnino #1060, Muyurina, D11
-17.386285,-66.147998, Calle Arce #1061, Las Cuadras, D11
-17.391234,-66.142865, Calle Roma #1062, Alalay, D11
-17.396754,-66.144272, Calle Ork’o #1063, Muyurina, D11
-17.384809,-66.148267, Calle Cochabamba #1064, Las Cuadras, D11
-17.391028,-66.138906, Calle Saturnino #1065, Alalay, D11
-17.383719,-66.146895, Calle Arce #1066, Muyurina, D11
-17.384671,-66.146680, Calle Roma #1067, Las Cuadras, D11
-17.388076,-66.142788, Calle Ork’o #1068, Alalay, D11
-17.386643,-66.150056, Calle Cochabamba #1069, Muyurina, D11
-17.377652,-66.135514, Calle Saturnino #1070, Las Cuadras, D11
-17.384499,-66.141032, Calle Arce #1071, Alalay, D11
-17.388815,-66.141933, Calle Roma #1072, Muyurina, D11
-17.386581,-66.149155, Calle Ork’o #1073, Las Cuadras, D11
-17.378530,-66.141210, Calle Cochabamba #1074, Alalay, D11
-17.386036,-66.141411, Calle Saturnino #1075, Muyurina, D11
-17.382220,-66.145885, Calle Arce #1076, Las Cuadras, D11
-17.381180,-66.139758, Calle Roma #1077, Alalay, D11
-17.398157,-66.143151, Calle Ork’o #1078, Muyurina, D11
-17.395336,-66.146457, Calle Cochabamba #1079, Las Cuadras, D11
-17.380433,-66.145040, Calle Saturnino #1080, Alalay, D11
-17.395062,-66.134880, Calle Arce #1081, Muyurina, D11
-17.384895,-66.139766, Calle Roma #1082, Las Cuadras, D11
-17.385917,-66.150164, Calle Ork’o #1083, Alalay, D11
-17.388712,-66.141360, Calle Cochabamba #1084, Muyurina, D11
-17.382706,-66.149500, Calle Saturnino #1085, Las Cuadras, D11
-17.387810,-66.139432, Calle Arce #1086, Alalay, D11
-17.392912,-66.145300, Calle Roma #1087, Muyurina, D11
-17.382032,-66.145651, Calle Ork’o #1088, Las Cuadras, D11
-17.388131,-66.142610, Calle Cochabamba #1089, Alalay, D11
-17.387809,-66.137552, Calle Saturnino #1090, Muyurina, D11
-17.383766,-66.149934, Calle Arce #1091, Las Cuadras, D11
-17.380008,-66.143445, Calle Roma #1092, Alalay, D11
-17.379767,-66.138406, Calle Ork’o #1093, Muyurina, D11
-17.392460,-66.135199, Calle Cochabamba #1094, Las Cuadras, D11
-17.393886,-66.143025, Calle Saturnino #1095, Alalay, D11
-17.393925,-66.130209, Calle Arce #1096, Muyurina, D11
-17.394873,-66.147063, Calle Roma #1097, Las Cuadras, D11
-17.377306,-66.142312, Calle Ork’o #1098, Alalay, D11
-17.377783,-66.139990, Calle Cochabamba #1099, Muyurina, D11
-17.387576,-66.144278, Calle Saturnino #1100, Las Cuadras, D11
-17.388928,-66.144261, Calle Arce #1101, Alalay, D11
-17.392931,-66.148693, Calle Roma #1102, Muyurina, D11
-17.393419,-66.131339, Calle Ork’o #1103, Las Cuadras, D11
-17.393196,-66.132137, Calle Cochabamba #1104, Alalay, D11
-17.377705,-66.143941, Calle Saturnino #1105, Muyurina, D11
-17.382703,-66.144854, Calle Arce #1106, Las Cuadras, D11
-17.390747,-66.132842, Calle Roma #1107, Alalay, D11
-17.397838,-66.145610, Calle Ork’o #1108, Muyurina, D11
-17.393537,-66.140599, Calle Cochabamba #1109, Las Cuadras, D11
-17.392440,-66.139238, Calle Saturnino #1110, Alalay, D11
-17.377124,-66.140930, Calle Arce #1111, Muyurina, D11
-17.386907,-66.138912, Calle Roma #1112, Las Cuadras, D11
-17.395706,-66.141191, Calle Ork’o #1113, Alalay, D11
-17.394813,-66.143976, Calle Cochabamba #1114, Muyurina, D11
-17.377596,-66.132465, Calle Saturnino #1115, Las Cuadras, D11
-17.384863,-66.139333, Calle Arce #1116, Alalay, D11
-17.395988,-66.129145, Calle Roma #1117, Muyurina, D11
-17.378665,-66.147124, Calle Ork’o #1118, Las Cuadras, D11
-17.382283,-66.144681, Calle Cochabamba #1119, Alalay, D11
-17.378177,-66.139888, Calle Saturnino #1120, Muyurina, D11
-17.392430,-66.147396, Calle Arce #1121, Las Cuadras, D11
-17.386893,-66.143569, Calle Roma #1122, Alalay, D11
-17.388227,-66.139929, Calle Ork’o #1123, Muyurina, D11
-17.395331,-66.137708, Calle Cochabamba #1124, Las Cuadras, D11
-17.379783,-66.148965, Calle Saturnino #1125, Alalay, D11
-17.381037,-66.135411, Calle Arce #1126, Muyurina, D11
-17.380400,-66.141966, Calle Roma #1127, Las Cuadras, D11
-17.389894,-66.140920, Calle Ork’o #1128, Alalay, D11
-17.383409,-66.140312, Calle Cochabamba #1129, Muyurina, D11
-17.381390,-66.138961, Calle Saturnino #1130, Las Cuadras, D11
-17.390457,-66.141057, Calle Arce #1131, Alalay, D11
-17.388123,-66.141792, Calle Roma #1132, Muyurina, D11
-17.387950,-66.149349, Calle Ork’o #1133, Las Cuadras, D11
-17.376591,-66.135126, Calle Cochabamba #1134, Alalay, D11
-17.392650,-66.144421, Calle Saturnino #1135, Muyurina, D11
-17.382113,-66.136374, Calle Arce #1136, Las Cuadras, D11
-17.396449,-66.131037, Calle Roma #1137, Alalay, D11
-17.392296,-66.144121, Calle Ork’o #1138, Muyurina, D11
-17.383427,-66.142878, Calle Cochabamba #1139, Las Cuadras, D11
-17.382782,-66.146434, Calle Saturnino #1140, Alalay, D11
-17.384587,-66.142409, Calle Arce #1141, Muyurina, D11
-17.394506,-66.135525, Calle Roma #1142, Las Cuadras, D11
-17.386759,-66.150113, Calle Ork’o #1143, Alalay, D11
-17.376729,-66.136392, Calle Cochabamba #1144, Muyurina, D11
-17.380556,-66.130345, Calle Saturnino #1145, Las Cuadras, D11
-17.379903,-66.150877, Calle Arce #1146, Alalay, D11
-17.390399,-66.143700, Calle Roma #1147, Muyurina, D11
-17.386169,-66.145107, Calle Ork’o #1148, Las Cuadras, D11
-17.394213,-66.129603, Calle Cochabamba #1149, Alalay, D11
-17.379723,-66.132490, Calle Saturnino #1150, Muyurina, D11
-17.396166,-66.147506, Calle Arce #1151, Las Cuadras, D11
-17.380875,-66.139065, Calle Roma #1152, Alalay, D11
-17.376089,-66.134462, Calle Ork’o #1153, Muyurina, D11
-17.391676,-66.142198, Calle Cochabamba #1154, Las Cuadras, D11
-17.381908,-66.142238, Calle Saturnino #1155, Alalay, D11
-17.381598,-66.135813, Calle Arce #1156, Muyurina, D11
-17.381716,-66.134313, Calle Roma #1157, Las Cuadras, D11
-17.374779,-66.134564, Calle Ork’o #1158, Alalay, D11
-17.394670,-66.138988, Calle Cochabamba #1159, Muyurina, D11
-17.389645,-66.145243, Calle Saturnino #1160, Las Cuadras, D11
-17.377083,-66.132275, Calle Arce #1161, Alalay, D11
-17.381331,-66.132388, Calle Roma #1162, Muyurina, D11
-17.379770,-66.151285, Calle Ork’o #1163, Las Cuadras, D11
-17.391819,-66.136335, Calle Cochabamba #1164, Alalay, D11
-17.381848,-66.143087, Calle Saturnino #1165, Muyurina, D11
-17.383862,-66.139572, Calle Arce #1166, Las Cuadras, D11
-17.380010,-66.149593, Calle Roma #1167, Alalay, D11
-17.381753,-66.133765, Calle Ork’o #1168, Muyurina, D11
-17.393790,-66.136183, Calle Cochabamba #1169, Las Cuadras, D11
-17.396531,-66.146136, Calle Saturnino #1170, Alalay, D11
-17.377103,-66.132728, Calle Arce #1171, Muyurina, D11
-17.382803,-66.144711, Calle Roma #1172, Las Cuadras, D11
-17.393860,-66.130940, Calle Ork’o #1173, Alalay, D11
-17.380255,-66.136327, Calle Cochabamba #1174, Muyurina, D11
-17.396205,-66.137822, Calle Saturnino #1175, Las Cuadras, D11
-17.378938,-66.145981, Calle Arce #1176, Alalay, D11
-17.391958,-66.140071, Calle Roma #1177, Muyurina, D11
-17.392483,-66.135037, Calle Ork’o #1178, Las Cuadras, D11
-17.384949,-66.145259, Calle Cochabamba #1179, Alalay, D11
-17.390735,-66.143828, Calle Saturnino #1180, Muyurina, D11
-17.385437,-66.149178, Calle Arce #1181, Las Cuadras, D11
-17.394308,-66.136894, Calle Roma #1182, Alalay, D11
-17.395946,-66.147669, Calle Ork’o #1183, Muyurina, D11
-17.379711,-66.150420, Calle Cochabamba #1184, Las Cuadras, D11
-17.382571,-66.148632, Calle Saturnino #1185, Alalay, D11
-17.382552,-66.145396, Calle Arce #1186, Muyurina, D11
-17.390253,-66.137165, Calle Roma #1187, Las Cuadras, D11
-17.380105,-66.147543, Calle Ork’o #1188, Alalay, D11
-17.389403,-66.144521, Calle Cochabamba #1189, Muyurina, D11
-17.394986,-66.131496, Calle Saturnino #1190, Las Cuadras, D11
-17.395029,-66.141021, Calle Arce #1191, Alalay, D11
-17.375807,-66.133657, Calle Roma #1192, Muyurina, D11
-17.383014,-66.142153, Calle Ork’o #1193, Las Cuadras, D11
-17.381868,-66.139864, Calle Cochabamba #1194, Alalay, D11
-17.386713,-66.146580, Calle Saturnino #1195, Muyurina, D11
-17.398382,-66.145383, Calle Arce #1196, Las Cuadras, D11
-17.397397,-66.144295, Calle Roma #1197, Alalay, D11
-17.391390,-66.141092, Calle Ork’o #1198, Muyurina, D11
-17.376445,-66.135322, Calle Cochabamba #1199, Las Cuadras, D11
-17.389260,-66.145846, Calle Saturnino #1200, Alalay, D11
-17.380707,-66.148416, Calle Arce #1201, Muyurina, D11
-17.395165,-66.146611, Calle Roma #1202, Las Cuadras, D11
-17.380723,-66.142985, Calle Ork’o #1203, Alalay, D11
-17.377237,-66.141519, Calle Cochabamba #1204, Muyurina, D11
-17.376585,-66.134027, Calle Saturnino #1205, Las Cuadras, D11
-17.381562,-66.139427, Calle Arce #1206, Alalay, D11
-17.392981,-66.144285, Calle Roma #1207, Muyurina, D11
-17.395649,-66.136977, Calle Ork’o #1208, Las Cuadras, D11
-17.381592,-66.133184, Calle Cochabamba #1209, Alalay, D11
-17.395145,-66.143635, Calle Saturnino #1210, Muyurina, D11
-17.381151,-66.147138, Calle Arce #1211, Las Cuadras, D11
-17.395667,-66.140943, Calle Roma #1212, Alalay, D11
-17.390163,-66.148607, Calle Ork’o #1213, Muyurina, D11
-17.377986,-66.133069, Calle Cochabamba #1214, Las Cuadras, D11
-17.395357,-66.134546, Calle Saturnino #1215, Alalay, D11
-17.387823,-66.146147, Calle Arce #1216, Muyurina, D11
-17.380959,-66.145733, Calle Roma #1217, Las Cuadras, D11
-17.393904,-66.139886, Calle Ork’o #1218, Alalay, D11
-17.383442,-66.144965, Calle Cochabamba #1219, Muyurina, D11
-17.386306,-66.150081, Calle Saturnino #1220, Las Cuadras, D11
-17.394505,-66.129982, Calle Arce #1221, Alalay, D11
-17.393763,-66.134556, Calle Roma #1222, Muyurina, D11
-17.393066,-66.139347, Calle Ork’o #1223, Las Cuadras, D11
-17.381996,-66.145981, Calle Cochabamba #1224, Alalay, D11
-17.394089,-66.134874, Calle Saturnino #1225, Muyurina, D11
-17.392734,-66.147748, Calle Arce #1226, Las Cuadras, D11
-17.377531,-66.132320, Calle Roma #1227, Alalay, D11
-17.395116,-66.141678, Calle Ork’o #1228, Muyurina, D11
-17.392095,-66.138978, Calle Cochabamba #1229, Las Cuadras, D11
-17.380432,-66.133251, Calle Saturnino #1230, Alalay, D11
-17.386681,-66.148843, Calle Arce #1231, Muyurina, D11
-17.395515,-66.139835, Calle Roma #1232, Las Cuadras, D11
-17.390652,-66.136043, Calle Ork’o #1233, Alalay, D11
-17.390258,-66.141116, Calle Cochabamba #1234, Muyurina, D11
-17.385463,-66.150134, Calle Saturnino #1235, Las Cuadras, D11
-17.395119,-66.146737, Calle Arce #1236, Alalay, D11
-17.390592,-66.139838, Calle Roma #1237, Muyurina, D11
-17.386141,-66.140958, Calle Ork’o #1238, Las Cuadras, D11
-17.384041,-66.149799, Calle Cochabamba #1239, Alalay, D11
-17.395423,-66.132623, Calle Saturnino #1240, Muyurina, D11
-17.375104,-66.133979, Calle Arce #1241, Las Cuadras, D11
-17.387145,-66.141267, Calle Roma #1242, Alalay, D11
-17.389916,-66.145973, Calle Ork’o #1243, Muyurina, D11
-17.392844,-66.143394, Calle Cochabamba #1244, Las Cuadras, D11
-17.386508,-66.149934, Calle Saturnino #1245, Alalay, D11
-17.390464,-66.135087, Calle Arce #1246, Muyurina, D11
-17.393771,-66.132791, Calle Roma #1247, Las Cuadras, D11
-17.388881,-66.143144, Calle Ork’o #1248, Alalay, D11
-17.378188,-66.136587, Calle Cochabamba #1249, Muyurina, D11
-17.393670,-66.143276, Calle Saturnino #1250, Las Cuadras, D11
-17.380370,-66.148420, Calle Arce #1251, Alalay, D11
-17.376288,-66.136758, Calle Roma #1252, Muyurina, D11
-17.381420,-66.149741, Calle Ork’o #1253, Las Cuadras, D11
-17.395239,-66.137480, Calle Cochabamba #1254, Alalay, D11
-17.383276,-66.143902, Calle Saturnino #1255, Muyurina, D11
-17.392202,-66.139191, Calle Arce #1256, Las Cuadras, D11
-17.395462,-66.138103, Calle Roma #1257, Alalay, D11
-17.393595,-66.138824, Calle Ork’o #1258, Muyurina, D11
-17.395734,-66.132266, Calle Cochabamba #1259, Las Cuadras, D11
-17.387812,-66.143094, Calle Saturnino #1260, Alalay, D11
-17.391451,-66.140166, Calle Arce #1261, Muyurina, D11
-17.385465,-66.148620, Calle Roma #1262, Las Cuadras, D11
-17.398073,-66.141774, Calle Ork’o #1263, Alalay, D11
-17.388950,-66.140710, Calle Cochabamba #1264, Muyurina, D11
-17.379965,-66.138647, Calle Saturnino #1265, Las Cuadras, D11
-17.389630,-66.132713, Calle Arce #1266, Alalay, D11
-17.396161,-66.130789, Calle Roma #1267, Muyurina, D11
-17.387652,-66.136970, Calle Ork’o #1268, Las Cuadras, D11
-17.390709,-66.134392, Calle Cochabamba #1269, Alalay, D11
-17.397414,-66.138973, Calle Saturnino #1270, Muyurina, D11
-17.386506,-66.145668, Calle Arce #1271, Las Cuadras, D11
-17.380196,-66.131664, Calle Roma #1272, Alalay, D11
-17.391218,-66.148511, Calle Ork’o #1273, Muyurina, D11
-17.397494,-66.142143, Calle Cochabamba #1274, Las Cuadras, D11
-17.391694,-66.139806, Calle Saturnino #1275, Alalay, D11
-17.381892,-66.139153, Calle Arce #1276, Muyurina, D11
-17.387151,-66.146748, Calle Roma #1277, Las Cuadras, D11
-17.382178,-66.146163, Calle Ork’o #1278, Alalay, D11
-17.394220,-66.129867, Calle Cochabamba #1279, Muyurina, D11
-17.383927,-66.144667, Calle Saturnino #1280, Las Cuadras, D11
-17.391531,-66.145246, Calle Arce #1281, Alalay, D11
-17.388139,-66.142004, Calle Roma #1282, Muyurina, D11
-17.397419,-66.144071, Calle Ork’o #1283, Las Cuadras, D11
-17.395462,-66.145418, Calle Cochabamba #1284, Alalay, D11
-17.380994,-66.142929, Calle Saturnino #1285, Muyurina, D11
-17.387150,-66.142700, Calle Arce #1286, Las Cuadras, D11
-17.393382,-66.139430, Calle Roma #1287, Alalay, D11
-17.379216,-66.145094, Calle Ork’o #1288, Muyurina, D11
-17.398093,-66.144826, Calle Cochabamba #1289, Las Cuadras, D11
-17.376856,-66.139334, Calle Saturnino #1290, Alalay, D11
-17.379459,-66.142154, Calle Arce #1291, Muyurina, D11
-17.379520,-66.141212, Calle Roma #1292, Las Cuadras, D11
-17.393156,-66.139064, Calle Ork’o #1293, Alalay, D11
-17.383755,-66.149159, Calle Cochabamba #1294, Muyurina, D11
-17.379567,-66.136835, Calle Saturnino #1295, Las Cuadras, D11
-17.396067,-66.137432, Calle Arce #1296, Alalay, D11
-17.393193,-66.135536, Calle Roma #1297, Muyurina, D11
-17.380899,-66.138116, Calle Ork’o #1298, Las Cuadras, D11
-17.392200,-66.135525, Calle Cochabamba #1299, Alalay, D11
-17.391741,-66.135384, Calle Saturnino #1300, Muyurina, D11
-17.382531,-66.138575, Calle Arce #1301, Las Cuadras, D11
-17.390762,-66.135433, Calle Roma #1302, Alalay, D11
-17.391862,-66.131534, Calle Ork’o #1303, Muyurina, D11
-17.383167,-66.145869, Calle Cochabamba #1304, Las Cuadras, D11
-17.377804,-66.136672, Calle Saturnino #1305, Alalay, D11
-17.385254,-66.146067, Calle Arce #1306, Muyurina, D11
-17.379563,-66.135055, Calle Roma #1307, Las Cuadras, D11
-17.394221,-66.130037, Calle Ork’o #1308, Alalay, D11
-17.379458,-66.130970, Calle Cochabamba #1309, Muyurina, D11
-17.378769,-66.134432, Calle Saturnino #1310, Las Cuadras, D11
-17.383578,-66.146424, Calle Arce #1311, Alalay, D11
-17.382609,-66.142841, Calle Roma #1312, Muyurina, D11
-17.393735,-66.133658, Calle Ork’o #1313, Las Cuadras, D11
-17.396449,-66.131686, Calle Cochabamba #1314, Alalay, D11
-17.392652,-66.136649, Calle Saturnino #1315, Muyurina, D11
-17.388709,-66.143078, Calle Arce #1316, Las Cuadras, D11
-17.385581,-66.140885, Calle Roma #1317, Alalay, D11
-17.375277,-66.136104, Calle Ork’o #1318, Muyurina, D11
-17.385664,-66.149491, Calle Cochabamba #1319, Las Cuadras, D11
-17.393664,-66.130543, Calle Saturnino #1320, Alalay, D11
-17.393824,-66.138201, Calle Arce #1321, Muyurina, D11
-17.390287,-66.136697, Calle Roma #1322, Las Cuadras, D11
-17.381074,-66.138603, Calle Ork’o #1323, Alalay, D11
-17.389842,-66.133104, Calle Cochabamba #1324, Muyurina, D11
-17.395872,-66.144640, Calle Saturnino #1325, Las Cuadras, D11
-17.393010,-66.139777, Calle Arce #1326, Alalay, D11
-17.388943,-66.138565, Calle Roma #1327, Muyurina, D11
-17.392287,-66.145067, Calle Ork’o #1328, Las Cuadras, D11
-17.396516,-66.137283, Calle Cochabamba #1329, Alalay, D11
-17.390666,-66.142532, Calle Saturnino #1330, Muyurina, D11
-17.384810,-66.149470, Calle Arce #1331, Las Cuadras, D11
-17.377117,-66.136388, Calle Roma #1332, Alalay, D11
-17.394801,-66.136980, Calle Ork’o #1333, Muyurina, D11
-17.389953,-66.140229, Calle Cochabamba #1334, Las Cuadras, D11
-17.383436,-66.150083, Calle Saturnino #1335, Alalay, D11
-17.381863,-66.135312, Calle Arce #1336, Muyurina, D11
-17.381916,-66.134726, Calle Roma #1337, Las Cuadras, D11
-17.378909,-66.146730, Calle Ork’o #1338, Alalay, D11
-17.398330,-66.145037, Calle Cochabamba #1339, Muyurina, D11
-17.388682,-66.137318, Calle Saturnino #1340, Las Cuadras, D11
-17.392015,-66.134885, Calle Arce #1341, Alalay, D11
-17.393218,-66.139212, Calle Roma #1342, Muyurina, D11
-17.377580,-66.137513, Calle Ork’o #1343, Las Cuadras, D11
-17.382590,-66.141285, Calle Cochabamba #1344, Alalay, D11
-17.381440,-66.137397, Calle Saturnino #1345, Muyurina, D11
-17.395366,-66.133516, Calle Arce #1346, Las Cuadras, D11
-17.382996,-66.144303, Calle Roma #1347, Alalay, D11
-17.388708,-66.140075, Calle Ork’o #1348, Muyurina, D11
-17.386137,-66.147523, Calle Cochabamba #1349, Las Cuadras, D11
