-17.452167,-66.107179, Calle El Alto #100, Valle Hermoso Sur, D14
-17.427970,-66.108278, Calle Villa San Miguel #1556, Pukara Sur, D14
-17.429327,-66.114406, Calle Ferroviaria #1557, Ch’aqui Mayu, D14
-17.442541,-66.108914, Calle El Inca #1558, Valle Hermoso Sur, D14
-17.437162,-66.105505, Calle Andes #1559, Pukara Sur, D14
-17.439380,-66.108972, Calle El Alto #1560, Ch’aqui Mayu, D14
-17.440464,-66.113293, Calle Villa San Miguel #1561, Valle Hermoso Sur, D14
-17.439202,-66.118389, Calle Ferroviaria #1562, Pukara Sur, D14
-17.429586,-66.107656, Calle El Inca #1563, Ch’aqui Mayu, D14
-17.452499,-66.108684, Calle Andes #1564, Valle Hermoso Sur, D14
-17.433903,-66.113110, Calle El Alto #1565, Pukara Sur, D14
-17.451592,-66.117493, Calle Villa San Miguel #1566, Ch’aqui Mayu, D14
-17.437740,-66.115456, Calle Ferroviaria #1567, Valle Hermoso Sur, D14
-17.443080,-66.118204, Calle El Inca #1568, Pukara Sur, D14
-17.439052,-66.114623, Calle Andes #1569, Ch’aqui Mayu, D14
-17.454871,-66.114050, Calle El Alto #1570, Valle Hermoso Sur, D14
-17.424866,-66.110251, Calle Villa San Miguel #1571, Pukara Sur, D14
-17.430907,-66.108722, Calle Ferroviaria #1572, Ch’aqui Mayu, D14
-17.457554,-66.112969, Calle El Inca #1573, Valle Hermoso Sur, D14
-17.433604,-66.114472, Calle Andes #1574, Pukara Sur, D14
-17.457150,-66.112829, Calle El Alto #1575, Ch’aqui Mayu, D14
-17.431504,-66.108463, Calle Villa San Miguel #1576, Valle Hermoso Sur, D14
-17.443625,-66.105342, Calle Ferroviaria #1577, Pukara Sur, D14
-17.442979,-66.108776, Calle El Inca #1578, Ch’aqui Mayu, D14
-17.440121,-66.114701, Calle Andes #1579, Valle Hermoso Sur, D14
-17.430789,-66.109516, Calle El Alto #1580, Pukara Sur, D14
-17.430012,-66.110708, Calle Villa San Miguel #1581, Ch’aqui Mayu, D14
-17.434893,-66.110778, Calle Ferroviaria #1582, Valle Hermoso Sur, D14
-17.434728,-66.104596, Calle El Inca #1583, Pukara Sur, D14
-17.458683,-66.115073, Calle Andes #1584, Ch’aqui Mayu, D14
-17.448916,-66.114917, Calle El Alto #1585, Valle Hermoso Sur, D14
-17.439344,-66.115424, Calle Villa San Miguel #1586, Pukara Sur, D14
-17.447487,-66.112830, Calle Ferroviaria #1587, Ch’aqui Mayu, D14
-17.440202,-66.107804, Calle El Inca #1588, Valle Hermoso Sur, D14
-17.437862,-66.108221, Calle Andes #1589, Pukara Sur, D14
-17.439923,-66.118468, Calle El Alto #1590, Ch’aqui Mayu, D14
-17.425065,-66.112706, Calle Villa San Miguel #1591, Valle Hermoso Sur, D14
-17.447131,-66.112467, Calle Ferroviaria #1592, Pukara Sur, D14
-17.445745,-66.116361, Calle El Inca #1593, Ch’aqui Mayu, D14
-17.444300,-66.105150, Calle Andes #1594, Valle Hermoso Sur, D14
-17.436999,-66.115146, Calle El Alto #1595, Pukara Sur, D14
-17.437611,-66.109869, Calle Villa San Miguel #1596, Ch’aqui Mayu, D14
-17.431352,-66.109126, Calle Ferroviaria #1597, Valle Hermoso Sur, D14
-17.433256,-66.112103, Calle El Inca #1598, Pukara Sur, D14
-17.447044,-66.107982, Calle Andes #1599, Ch’aqui Mayu, D14
-17.439223,-66.109176, Calle El Alto #1600, Valle Hermoso Sur, D14
-17.431544,-66.106264, Calle Villa San Miguel #1601, Pukara Sur, D14
-17.439530,-66.117550, Calle Ferroviaria #1602, Ch’aqui Mayu, D14
-17.456031,-66.110668, Calle El Inca #1603, Valle Hermoso Sur, D14
-17.432902,-66.113062, Calle Andes #1604, Pukara Sur, D14
-17.426653,-66.107289, Calle El Alto #1605, Ch’aqui Mayu, D14
-17.451356,-66.113507, Calle Villa San Miguel #1606, Valle Hermoso Sur, D14
-17.446636,-66.110621, Calle Ferroviaria #1607, Pukara Sur, D14
-17.447104,-66.107205, Calle El Inca #1608, Ch’aqui Mayu, D14
-17.428621,-66.110004, Calle Andes #1609, Valle Hermoso Sur, D14
-17.433327,-66.107724, Calle El Alto #1610, Pukara Sur, D14
-17.441176,-66.105406, Calle Villa San Miguel #1611, Ch’aqui Mayu, D14
-17.444152,-66.109600, Calle Ferroviaria #1612, Valle Hermoso Sur, D14
-17.443840,-66.105801, Calle El Inca #1613, Pukara Sur, D14
-17.433628,-66.113378, Calle Andes #1614, Ch’aqui Mayu, D14
-17.425144,-66.110637, Calle El Alto #1615, Valle Hermoso Sur, D14
-17.438400,-66.112968, Calle Villa San Miguel #1616, Pukara Sur, D14
-17.441475,-66.118910, Calle Ferroviaria #1617, Ch’aqui Mayu, D14
-17.427851,-66.111808, Calle El Inca #1618, Valle Hermoso Sur, D14
-17.443540,-66.110194, Calle Andes #1619, Pukara Sur, D14
-17.445485,-66.105334, Calle El Alto #1620, Ch’aqui Mayu, D14
-17.433508,-66.111185, Calle Villa San Miguel #1621, Valle Hermoso Sur, D14
-17.427703,-66.110524, Calle Ferroviaria #1622, Pukara Sur, D14
-17.441322,-66.112351, Calle El Inca #1623, Ch’aqui Mayu, D14
-17.442303,-66.113254, Calle Andes #1624, Valle Hermoso Sur, D14
-17.437669,-66.115039, Calle El Alto #1625, Pukara Sur, D14
-17.450429,-66.109001, Calle Villa San Miguel #1626, Ch’aqui Mayu, D14
-17.447306,-66.110785, Calle Ferroviaria #1627, Valle Hermoso Sur, D14
-17.442001,-66.114326, Calle El Inca #1628, Pukara Sur, D14
-17.446126,-66.108329, Calle Andes #1629, Ch’aqui Mayu, D14
-17.435939,-66.107948, Calle El Alto #1630, Valle Hermoso Sur, D14
-17.449659,-66.110122, Calle Villa San Miguel #1631, Pukara Sur, D14
-17.435578,-66.114582, Calle Ferroviaria #1632, Ch’aqui Mayu, D14
-17.445275,-66.110036, Calle El Inca #1633, Valle Hermoso Sur, D14
-17.456265,-66.110380, Calle Andes #1634, Pukara Sur, D14
-17.450855,-66.108639, Calle El Alto #1635, Ch’aqui Mayu, D14
-17.453727,-66.113513, Calle Villa San Miguel #1636, Valle Hermoso Sur, D14
-17.444445,-66.110177, Calle Ferroviaria #1637, Pukara Sur, D14
-17.458487,-66.115502, Calle El Inca #1638, Ch’aqui Mayu, D14
-17.420510,-66.110946, Calle Andes #1639, Valle Hermoso Sur, D14
-17.441398,-66.112954, Calle El Alto #1640, Pukara Sur, D14
-17.438615,-66.115227, Calle Villa San Miguel #1641, Ch’aqui Mayu, D14
-17.434008,-66.113673, Calle Ferroviaria #1642, Valle Hermoso Sur, D14
-17.451589,-66.117507, Calle El Inca #1643, Pukara Sur, D14
-17.452720,-66.115487, Calle Andes #1644, Ch’aqui Mayu, D14
-17.432066,-66.106792, Calle El Alto #1645, Valle Hermoso Sur, D14
-17.441769,-66.113366, Calle Villa San Miguel #1646, Pukara Sur, D14
-17.441968,-66.106583, Calle Ferroviaria #1647, Ch’aqui Mayu, D14
-17.422123,-66.109568, Calle El Inca #1648, Valle Hermoso Sur, D14
-17.451329,-66.111831, Calle Andes #1649, Pukara Sur, D14
-17.438114,-66.111292, Calle El Alto #1650, Ch’aqui Mayu, D14
-17.423761,-66.112681, Calle Villa San Miguel #1651, Valle Hermoso Sur, D14
-17.444622,-66.109056, Calle Ferroviaria #1652, Pukara Sur, D14
-17.426824,-66.115116, Calle El Inca #1653, Ch’aqui Mayu, D14
-17.443006,-66.118162, Calle Andes #1654, Valle Hermoso Sur, D14
-17.444050,-66.110075, Calle El Alto #1655, Pukara Sur, D14
-17.442695,-66.108600, Calle Villa San Miguel #1656, Ch’aqui Mayu, D14
-17.452073,-66.109135, Calle Ferroviaria #1657, Valle Hermoso Sur, D14
-17.449091,-66.108603, Calle El Inca #1658, Pukara Sur, D14
-17.436299,-66.107522, Calle Andes #1659, Ch’aqui Mayu, D14
-17.440715,-66.110116, Calle El Alto #1660, Valle Hermoso Sur, D14
-17.442516,-66.106611, Calle Villa San Miguel #1661, Pukara Sur, D14
-17.445645,-66.108830, Calle Ferroviaria #1662, Ch’aqui Mayu, D14
-17.451105,-66.106275, Calle El Inca #1663, Valle Hermoso Sur, D14
-17.438546,-66.105242, Calle Andes #1664, Pukara Sur, D14
-17.443190,-66.111012, Calle El Alto #1665, Ch’aqui Mayu, D14
-17.459495,-66.114183, Calle Villa San Miguel #1666, Valle Hermoso Sur, D14
-17.444986,-66.105704, Calle Ferroviaria #1667, Pukara Sur, D14
-17.432152,-66.114416, Calle El Inca #1668, Ch’aqui Mayu, D14
-17.437120,-66.104456, Calle Andes #1669, Valle Hermoso Sur, D14
-17.436704,-66.111262, Calle El Alto #1670, Pukara Sur, D14
-17.446542,-66.107684, Calle Villa San Miguel #1671, Ch’aqui Mayu, D14
-17.449725,-66.112722, Calle Ferroviaria #1672, Valle Hermoso Sur, D14
-17.451893,-66.106799, Calle El Inca #1673, Pukara Sur, D14
-17.455554,-66.115021, Calle Andes #1674, Ch’aqui Mayu, D14
-17.438529,-66.113611, Calle El Alto #1675, Valle Hermoso Sur, D14
-17.447472,-66.111036, Calle Villa San Miguel #1676, Pukara Sur, D14
-17.450504,-66.110585, Calle Ferroviaria #1677, Ch’aqui Mayu, D14
-17.436157,-66.103782, Calle El Inca #1678, Valle Hermoso Sur, D14
-17.436435,-66.113888, Calle Andes #1679, Pukara Sur, D14
-17.428226,-66.109000, Calle El Alto #1680, Ch’aqui Mayu, D14
-17.447780,-66.115081, Calle Villa San Miguel #1681, Valle Hermoso Sur, D14
-17.433039,-66.106862, Calle Ferroviaria #1682, Pukara Sur, D14
-17.431482,-66.110031, Calle El Inca #1683, Ch’aqui Mayu, D14
-17.450137,-66.107508, Calle Andes #1684, Valle Hermoso Sur, D14
-17.452577,-66.111987, Calle El Alto #1685, Pukara Sur, D14
-17.448910,-66.110559, Calle Villa San Miguel #1686, Ch’aqui Mayu, D14
-17.439594,-66.115075, Calle Ferroviaria #1687, Valle Hermoso Sur, D14
-17.436108,-66.110729, Calle El Inca #1688, Pukara Sur, D14
-17.443181,-66.107992, Calle Andes #1689, Ch’aqui Mayu, D14
-17.426719,-66.113125, Calle El Alto #1690, Valle Hermoso Sur, D14
-17.450676,-66.109320, Calle Villa San Miguel #1691, Pukara Sur, D14
-17.442949,-66.111685, Calle Ferroviaria #1692, Ch’aqui Mayu, D14
-17.432780,-66.110868, Calle El Inca #1693, Valle Hermoso Sur, D14
-17.438107,-66.114860, Calle Andes #1694, Pukara Sur, D14
-17.425157,-66.113229, Calle El Alto #1695, Ch’aqui Mayu, D14
-17.430808,-66.115071, Calle Villa San Miguel #1696, Valle Hermoso Sur, D14
-17.447965,-66.109507, Calle Ferroviaria #1697, Pukara Sur, D14
-17.438562,-66.117181, Calle El Inca #1698, Ch’aqui Mayu, D14
-17.429914,-66.115315, Calle Andes #1699, Valle Hermoso Sur, D14
-17.427994,-66.113927, Calle El Alto #1700, Pukara Sur, D14
-17.438416,-66.113529, Calle Villa San Miguel #1701, Ch’aqui Mayu, D14
-17.449614,-66.110756, Calle Ferroviaria #1702, Valle Hermoso Sur, D14
-17.438620,-66.112078, Calle El Inca #1703, Pukara Sur, D14
-17.434360,-66.112150, Calle Andes #1704, Ch’aqui Mayu, D14
-17.432611,-66.111869, Calle El Alto #1705, Valle Hermoso Sur, D14
-17.428390,-66.110531, Calle Villa San Miguel #1706, Pukara Sur, D14
-17.434823,-66.109727, Calle Ferroviaria #1707, Ch’aqui Mayu, D14
-17.439399,-66.111784, Calle El Inca #1708, Valle Hermoso Sur, D14
-17.445694,-66.109278, Calle Andes #1709, Pukara Sur, D14
-17.428503,-66.115491, Calle El Alto #1710, Ch’aqui Mayu, D14
-17.451281,-66.112609, Calle Villa San Miguel #1711, Valle Hermoso Sur, D14
-17.435511,-66.117445, Calle Ferroviaria #1712, Pukara Sur, D14
-17.427668,-66.110580, Calle El Inca #1713, Ch’aqui Mayu, D14
-17.449900,-66.113898, Calle Andes #1714, Valle Hermoso Sur, D14
-17.429794,-66.105831, Calle El Alto #1715, Pukara Sur, D14
-17.437209,-66.104569, Calle Villa San Miguel #1716, Ch’aqui Mayu, D14
-17.432081,-66.107482, Calle Ferroviaria #1717, Valle Hermoso Sur, D14
-17.431150,-66.108461, Calle El Inca #1718, Pukara Sur, D14
-17.449947,-66.115602, Calle Andes #1719, Ch’aqui Mayu, D14
-17.427704,-66.115406, Calle El Alto #1720, Valle Hermoso Sur, D14
-17.427218,-66.113515, Calle Villa San Miguel #1721, Pukara Sur, D14
-17.454002,-66.110306, Calle Ferroviaria #1722, Ch’aqui Mayu, D14
-17.431570,-66.106727, Calle El Inca #1723, Valle Hermoso Sur, D14
-17.432631,-66.107898, Calle Andes #1724, Pukara Sur, D14
-17.441347,-66.111503, Calle El Alto #1725, Ch’aqui Mayu, D14
-17.438747,-66.107266, Calle Villa San Miguel #1726, Valle Hermoso Sur, D14
-17.450945,-66.114530, Calle Ferroviaria #1727, Pukara Sur, D14
-17.438044,-66.111059, Calle El Inca #1728, Ch’aqui Mayu, D14
-17.439359,-66.117396, Calle Andes #1729, Valle Hermoso Sur, D14
-17.427582,-66.111860, Calle El Alto #1730, Pukara Sur, D14
-17.439379,-66.107869, Calle Villa San Miguel #1731, Ch’aqui Mayu, D14
-17.438916,-66.109578, Calle Ferroviaria #1732, Valle Hermoso Sur, D14
-17.444145,-66.109772, Calle El Inca #1733, Pukara Sur, D14
-17.445282,-66.109883, Calle Andes #1734, Ch’aqui Mayu, D14
-17.438218,-66.111642, Calle El Alto #1735, Valle Hermoso Sur, D14
-17.440713,-66.114267, Calle Villa San Miguel #1736, Pukara Sur, D14
-17.440456,-66.104406, Calle Ferroviaria #1737, Ch’aqui Mayu, D14
-17.446630,-66.113293, Calle El Inca #1738, Valle Hermoso Sur, D14
-17.429938,-66.107591, Calle Andes #1739, Pukara Sur, D14
-17.452481,-66.111503, Calle El Alto #1740, Ch’aqui Mayu, D14
-17.433686,-66.112620, Calle Villa San Miguel #1741, Valle Hermoso Sur, D14
-17.443080,-66.116861, Calle Ferroviaria #1742, Pukara Sur, D14
-17.426189,-66.108451, Calle El Inca #1743, Ch’aqui Mayu, D14
-17.436612,-66.114252, Calle Andes #1744, Valle Hermoso Sur, D14
-17.441190,-66.108103, Calle El Alto #1745, Pukara Sur, D14
-17.421589,-66.110665, Calle Villa San Miguel #1746, Ch’aqui Mayu, D14
-17.450312,-66.115592, Calle Ferroviaria #1747, Valle Hermoso Sur, D14
-17.427785,-66.112419, Calle El Inca #1748, Pukara Sur, D14
-17.429482,-66.105863, Calle Andes #1749, Ch’aqui Mayu, D14
-17.427408,-66.113636, Calle El Alto #1750, Valle Hermoso Sur, D14
-17.435197,-66.103500, Calle Villa San Miguel #1751, Pukara Sur, D14
-17.452814,-66.116764, Calle Ferroviaria #1752, Ch’aqui Mayu, D14
-17.426586,-66.115396, Calle El Inca #1753, Valle Hermoso Sur, D14
-17.432325,-66.113186, Calle Andes #1754, Pukara Sur, D14
-17.445679,-66.110561, Calle El Alto #1755, Ch’aqui Mayu, D14
-17.455030,-66.115579, Calle Villa San Miguel #1756, Valle Hermoso Sur, D14
-17.456078,-66.114375, Calle Ferroviaria #1757, Pukara Sur, D14
-17.443960,-66.112246, Calle El Inca #1758, Ch’aqui Mayu, D14
-17.444850,-66.112000, Calle Andes #1759, Valle Hermoso Sur, D14
-17.431351,-66.107160, Calle El Alto #1760, Pukara Sur, D14
-17.443949,-66.108422, Calle Villa San Miguel #1761, Ch’aqui Mayu, D14
-17.454630,-66.110784, Calle Ferroviaria #1762, Valle Hermoso Sur, D14
-17.428205,-66.114235, Calle El Inca #1763, Pukara Sur, D14
-17.425679,-66.108620, Calle Andes #1764, Ch’aqui Mayu, D14
-17.438709,-66.105344, Calle El Alto #1765, Valle Hermoso Sur, D14
-17.451882,-66.116639, Calle Villa San Miguel #1766, Pukara Sur, D14
-17.454646,-66.113709, Calle Ferroviaria #1767, Ch’aqui Mayu, D14
-17.441289,-66.111764, Calle El Inca #1768, Valle Hermoso Sur, D14
-17.435943,-66.116125, Calle Andes #1769, Pukara Sur, D14
-17.423555,-66.110764, Calle El Alto #1770, Ch’aqui Mayu, D14
-17.440082,-66.104645, Calle Villa San Miguel #1771, Valle Hermoso Sur, D14
-17.450596,-66.116985, Calle Ferroviaria #1772, Pukara Sur, D14
-17.428937,-66.110361, Calle El Inca #1773, Ch’aqui Mayu, D14
-17.448424,-66.110130, Calle Andes #1774, Valle Hermoso Sur, D14
-17.443064,-66.108654, Calle El Alto #1775, Pukara Sur, D14
-17.452869,-66.115834, Calle Villa San Miguel #1776, Ch’aqui Mayu, D14
-17.432759,-66.110782, Calle Ferroviaria #1777, Valle Hermoso Sur, D14
-17.433717,-66.103399, Calle El Inca #1778, Pukara Sur, D14
-17.426519,-66.107403, Calle Andes #1779, Ch’aqui Mayu, D14
-17.452500,-66.114450, Calle El Alto #1780, Valle Hermoso Sur, D14
-17.437014,-66.107749, Calle Villa San Miguel #1781, Pukara Sur, D14
-17.425045,-66.110002, Calle Ferroviaria #1782, Ch’aqui Mayu, D14
-17.453129,-66.111816, Calle El Inca #1783, Valle Hermoso Sur, D14
-17.443916,-66.110959, Calle Andes #1784, Pukara Sur, D14
-17.439477,-66.111341, Calle El Alto #1785, Ch’aqui Mayu, D14
-17.436538,-66.116033, Calle Villa San Miguel #1786, Valle Hermoso Sur, D14
-17.427536,-66.113304, Calle Ferroviaria #1787, Pukara Sur, D14
-17.441009,-66.110774, Calle El Inca #1788, Ch’aqui Mayu, D14
-17.435980,-66.108940, Calle Andes #1789, Valle Hermoso Sur, D14
-17.431243,-66.105567, Calle El Alto #1790, Pukara Sur, D14
-17.452246,-66.118258, Calle Villa San Miguel #1791, Ch’aqui Mayu, D14
-17.453855,-66.113035, Calle Ferroviaria #1792, Valle Hermoso Sur, D14
-17.446510,-66.111386, Calle El Inca #1793, Pukara Sur, D14
-17.424972,-66.112221, Calle Andes #1794, Ch’aqui Mayu, D14
-17.435661,-66.104398, Calle El Alto #1795, Valle Hermoso Sur, D14
-17.438687,-66.112263, Calle Villa San Miguel #1796, Pukara Sur, D14
-17.454749,-66.113856, Calle Ferroviaria #1797, Ch’aqui Mayu, D14
-17.427167,-66.112340, Calle El Inca #1798, Valle Hermoso Sur, D14
-17.439469,-66.117942, Calle Andes #1799, Pukara Sur, D14
-17.442446,-66.113947, Calle El Alto #1800, Ch’aqui Mayu, D14
-17.436777,-66.108100, Calle Villa San Miguel #1801, Valle Hermoso Sur, D14
-17.444874,-66.108597, Calle Ferroviaria #1802, Pukara Sur, D14
-17.437821,-66.115890, Calle El Inca #1803, Ch’aqui Mayu, D14
-17.446221,-66.107196, Calle Andes #1804, Valle Hermoso Sur, D14
-17.438487,-66.105653, Calle El Alto #1805, Pukara Sur, D14
-17.445381,-66.111336, Calle Villa San Miguel #1806, Ch’aqui Mayu, D14
-17.428131,-66.111106, Calle Ferroviaria #1807, Valle Hermoso Sur, D14
-17.442179,-66.110832, Calle El Inca #1808, Pukara Sur, D14
-17.444068,-66.117135, Calle Andes #1809, Ch’aqui Mayu, D14
-17.431650,-66.110732, Calle El Alto #1810, Valle Hermoso Sur, D14
-17.435775,-66.109523, Calle Villa San Miguel #1811, Pukara Sur, D14
-17.449283,-66.109697, Calle Ferroviaria #1812, Ch’aqui Mayu, D14
-17.442890,-66.105279, Calle El Inca #1813, Valle Hermoso Sur, D14
-17.424881,-66.113794, Calle Andes #1814, Pukara Sur, D14
-17.438118,-66.109243, Calle El Alto #1815, Ch’aqui Mayu, D14
-17.456462,-66.112300, Calle Villa San Miguel #1816, Valle Hermoso Sur, D14
-17.443688,-66.113948, Calle Ferroviaria #1817, Pukara Sur, D14
-17.455003,-66.115325, Calle El Inca #1818, Ch’aqui Mayu, D14
-17.438842,-66.114729, Calle Andes #1819, Valle Hermoso Sur, D14
-17.454425,-66.116970, Calle El Alto #1820, Pukara Sur, D14
-17.451403,-66.107484, Calle Villa San Miguel #1821, Ch’aqui Mayu, D14
-17.448462,-66.110276, Calle Ferroviaria #1822, Valle Hermoso Sur, D14
-17.437245,-66.111152, Calle El Inca #1823, Pukara Sur, D14
-17.431617,-66.109414, Calle Andes #1824, Ch’aqui Mayu, D14
-17.449644,-66.114872, Calle El Alto #1825, Valle Hermoso Sur, D14
-17.439736,-66.110894, Calle Villa San Miguel #1826, Pukara Sur, D14
-17.452015,-66.115873, Calle Ferroviaria #1827, Ch’aqui Mayu, D14
-17.428559,-66.112014, Calle El Inca #1828, Valle Hermoso Sur, D14
-17.443369,-66.105924, Calle Andes #1829, Pukara Sur, D14
-17.438040,-66.106391, Calle El Alto #1830, Ch’aqui Mayu, D14
-17.437387,-66.109906, Calle Villa San Miguel #1831, Valle Hermoso Sur, D14
-17.453986,-66.110226, Calle Ferroviaria #1832, Pukara Sur, D14
-17.434487,-66.111891, Calle El Inca #1833, Ch’aqui Mayu, D14
-17.458297,-66.112697, Calle Andes #1834, Valle Hermoso Sur, D14
-17.429223,-66.105790, Calle El Alto #1835, Pukara Sur, D14
-17.444089,-66.117071, Calle Villa San Miguel #1836, Ch’aqui Mayu, D14
-17.439927,-66.115117, Calle Ferroviaria #1837, Valle Hermoso Sur, D14
-17.432842,-66.104234, Calle El Inca #1838, Pukara Sur, D14
-17.456733,-66.113499, Calle Andes #1839, Ch’aqui Mayu, D14
-17.450800,-66.114690, Calle El Alto #1840, Valle Hermoso Sur, D14
-17.437428,-66.104428, Calle Villa San Miguel #1841, Pukara Sur, D14
-17.427354,-66.111157, Calle Ferroviaria #1842, Ch’aqui Mayu, D14
-17.436175,-66.114880, Calle El Inca #1843, Valle Hermoso Sur, D14
-17.432338,-66.103695, Calle Andes #1844, Pukara Sur, D14
-17.436327,-66.113173, Calle El Alto #1845, Ch’aqui Mayu, D14
-17.443885,-66.107079, Calle Villa San Miguel #1846, Valle Hermoso Sur, D14
-17.428228,-66.106605, Calle Ferroviaria #1847, Pukara Sur, D14
-17.455721,-66.116738, Calle El Inca #1848, Ch’aqui Mayu, D14
-17.432918,-66.107701, Calle Andes #1849, Valle Hermoso Sur, D14
-17.432758,-66.106873, Calle El Alto #1850, Pukara Sur, D14
-17.454648,-66.109554, Calle Villa San Miguel #1851, Ch’aqui Mayu, D14
-17.437551,-66.104628, Calle Ferroviaria #1852, Valle Hermoso Sur, D14
-17.435043,-66.103710, Calle El Inca #1853, Pukara Sur, D14
-17.441528,-66.112649, Calle Andes #1854, Ch’aqui Mayu, D14
-17.441206,-66.109253, Calle El Alto #1855, Valle Hermoso Sur, D14
-17.450518,-66.113675, Calle Villa San Miguel #1856, Pukara Sur, D14
-17.431688,-66.111905, Calle Ferroviaria #1857, Ch’aqui Mayu, D14
-17.430329,-66.109804, Calle El Inca #1858, Valle Hermoso Sur, D14
-17.441089,-66.116418, Calle Andes #1859, Pukara Sur, D14
-17.436550,-66.114670, Calle El Alto #1860, Ch’aqui Mayu, D14
-17.437717,-66.107028, Calle Villa San Miguel #1861, Valle Hermoso Sur, D14
-17.428422,-66.111118, Calle Ferroviaria #1862, Pukara Sur, D14
-17.422684,-66.110435, Calle El Inca #1863, Ch’aqui Mayu, D14
-17.433119,-66.113294, Calle Andes #1864, Valle Hermoso Sur, D14
-17.447228,-66.113586, Calle El Alto #1865, Pukara Sur, D14
-17.435855,-66.108411, Calle Villa San Miguel #1866, Ch’aqui Mayu, D14
-17.430198,-66.112717, Calle Ferroviaria #1867, Valle Hermoso Sur, D14
-17.436791,-66.111868, Calle El Inca #1868, Pukara Sur, D14
-17.435210,-66.116049, Calle Andes #1869, Ch’aqui Mayu, D14
-17.455405,-66.110701, Calle El Alto #1870, Valle Hermoso Sur, D14
-17.434227,-66.111484, Calle Villa San Miguel #1871, Pukara Sur, D14
-17.439708,-66.110513, Calle Ferroviaria #1872, Ch’aqui Mayu, D14
-17.442161,-66.110374, Calle El Inca #1873, Valle Hermoso Sur, D14
-17.432201,-66.104007, Calle Andes #1874, Pukara Sur, D14
-17.441301,-66.115681, Calle El Alto #1875, Ch’aqui Mayu, D14
-17.444533,-66.109720, Calle Villa San Miguel #1876, Valle Hermoso Sur, D14
-17.425928,-66.112010, Calle Ferroviaria #1877, Pukara Sur, D14
-17.435861,-66.103626, Calle El Inca #1878, Ch’aqui Mayu, D14
-17.427415,-66.110036, Calle Andes #1879, Valle Hermoso Sur, D14
-17.431056,-66.104878, Calle El Alto #1880, Pukara Sur, D14
-17.427923,-66.113867, Calle Villa San Miguel #1881, Ch’aqui Mayu, D14
-17.446769,-66.109754, Calle Ferroviaria #1882, Valle Hermoso Sur, D14
-17.427576,-66.115340, Calle El Inca #1883, Pukara Sur, D14
-17.432109,-66.114258, Calle Andes #1884, Ch’aqui Mayu, D14
-17.433429,-66.106006, Calle El Alto #1885, Valle Hermoso Sur, D14
-17.449542,-66.110650, Calle Villa San Miguel #1886, Pukara Sur, D14
-17.447588,-66.108443, Calle Ferroviaria #1887, Ch’aqui Mayu, D14
-17.458465,-66.112498, Calle El Inca #1888, Valle Hermoso Sur, D14
-17.457322,-66.112510, Calle Andes #1889, Pukara Sur, D14
-17.444303,-66.118383, Calle El Alto #1890, Ch’aqui Mayu, D14
-17.444706,-66.116196, Calle Villa San Miguel #1891, Valle Hermoso Sur, D14
-17.420672,-66.110225, Calle Ferroviaria #1892, Pukara Sur, D14
-17.433751,-66.107461, Calle El Inca #1893, Ch’aqui Mayu, D14
-17.441982,-66.114588, Calle Andes #1894, Valle Hermoso Sur, D14
-17.441252,-66.114220, Calle El Alto #1895, Pukara Sur, D14
-17.452318,-66.113296, Calle Villa San Miguel #1896, Ch’aqui Mayu, D14
-17.441355,-66.105948, Calle Ferroviaria #1897, Valle Hermoso Sur, D14
-17.429661,-66.108948, Calle El Inca #1898, Pukara Sur, D14
-17.438516,-66.114044, Calle Andes #1899, Ch’aqui Mayu, D14
-17.437899,-66.118106, Calle El Alto #1900, Valle Hermoso Sur, D14
-17.436297,-66.117066, Calle Villa San Miguel #1901, Pukara Sur, D14
-17.450898,-66.109530, Calle Ferroviaria #1902, Ch’aqui Mayu, D14
-17.421820,-66.110109, Calle El Inca #1903, Valle Hermoso Sur, D14
-17.439740,-66.106197, Calle Andes #1904, Pukara Sur, D14
-17.431691,-66.107475, Calle El Alto #1905, Ch’aqui Mayu, D14
-17.427863,-66.111765, Calle Villa San Miguel #1906, Valle Hermoso Sur, D14
-17.426257,-66.114603, Calle Ferroviaria #1907, Pukara Sur, D14
-17.429114,-66.115079, Calle El Inca #1908, Ch’aqui Mayu, D14
-17.437710,-66.115543, Calle Andes #1909, Valle Hermoso Sur, D14
-17.440483,-66.116816, Calle El Alto #1910, Pukara Sur, D14
-17.435895,-66.115920, Calle Villa San Miguel #1911, Ch’aqui Mayu, D14
-17.444554,-66.105233, Calle Ferroviaria #1912, Valle Hermoso Sur, D14
-17.440859,-66.119225, Calle El Inca #1913, Pukara Sur, D14
-17.452910,-66.112272, Calle Andes #1914, Ch’aqui Mayu, D14
-17.431452,-66.112928, Calle El Alto #1915, Valle Hermoso Sur, D14
-17.436346,-66.118037, Calle Villa San Miguel #1916, Pukara Sur, D14
-17.437118,-66.116442, Calle Ferroviaria #1917, Ch’aqui Mayu, D14
-17.437588,-66.105156, Calle El Inca #1918, Valle Hermoso Sur, D14
-17.438416,-66.111741, Calle Andes #1919, Pukara Sur, D14
-17.426870,-66.113061, Calle El Alto #1920, Ch’aqui Mayu, D14
-17.438933,-66.106634, Calle Villa San Miguel #1921, Valle Hermoso Sur, D14
-17.437804,-66.114447, Calle Ferroviaria #1922, Pukara Sur, D14
-17.438717,-66.113154, Calle El Inca #1923, Ch’aqui Mayu, D14
